segment,origin,destination,bearing_deg,length_cm,target,target_bearing_deg,separation_deg,target_dist_cm
seg1,human_start,shelf_3,-150.3,1209,shelf_6,-39.5,110.8,1101
seg1,human_start,shelf_3,-150.3,1209,shelf_4,-28.1,122.2,850
seg1,human_start,shelf_3,-150.3,1209,shelf_7,-6.7,143.5,856
seg1,human_start,shelf_3,-150.3,1209,shelf_5,-48.2,102.1,1275
seg1,human_start,shelf_3,-150.3,1209,kitting_table_0,-153.4,3.2,112
seg1,human_start,shelf_3,-150.3,1209,coffee_machine_0,-99.9,50.3,812
seg1,human_start,shelf_3,-150.3,1209,ac_switch_0,0.0,150.3,300
seg2,kitting_table_0,coffee_machine_0,-93.1,751,shelf_3,-149.9,56.9,1098
seg2,kitting_table_0,coffee_machine_0,-93.1,751,shelf_6,-34.4,58.7,1151
seg2,kitting_table_0,coffee_machine_0,-93.1,751,shelf_4,-22.4,70.7,919
seg2,kitting_table_0,coffee_machine_0,-93.1,751,shelf_7,-3.0,90.0,951
seg2,kitting_table_0,coffee_machine_0,-93.1,751,shelf_5,-43.5,49.6,1309
seg2,kitting_table_0,coffee_machine_0,-93.1,751,ac_switch_0,7.1,100.2,403
seg3a,coffee_machine_0,wander_0,5.8,398,shelf_3,167.6,161.8,932
seg3a,coffee_machine_0,wander_0,5.8,398,shelf_6,5.8,0.0,995
seg3a,coffee_machine_0,wander_0,5.8,398,shelf_4,24.2,18.4,976
seg3a,coffee_machine_0,wander_0,5.8,398,shelf_7,35.3,29.5,1212
seg3a,coffee_machine_0,wander_0,5.8,398,shelf_5,-8.6,14.4,1001
seg3a,coffee_machine_0,wander_0,5.8,398,kitting_table_0,86.9,81.2,751
seg3a,coffee_machine_0,wander_0,5.8,398,ac_switch_0,61.2,55.4,913
seg3b,wander_0,wander_1,-110.3,363,shelf_3,173.0,76.7,1316
seg3b,wander_0,wander_1,-110.3,363,shelf_6,5.8,116.1,597
seg3b,wander_0,wander_1,-110.3,363,shelf_4,36.1,146.4,611
seg3b,wander_0,wander_1,-110.3,363,shelf_7,48.0,158.3,888
seg3b,wander_0,wander_1,-110.3,363,shelf_5,-17.7,92.6,624
seg3b,wander_0,wander_1,-110.3,363,kitting_table_0,116.6,133.0,794
seg3b,wander_0,wander_1,-110.3,363,coffee_machine_0,-174.2,63.9,398
seg3b,wander_0,wander_1,-110.3,363,ac_switch_0,86.7,163.0,761
seg4,wander_1,shelf_6,29.1,824,shelf_3,157.0,128.0,1282
seg4,wander_1,shelf_6,29.1,824,shelf_4,48.5,19.4,935
seg4,wander_1,shelf_6,29.1,824,shelf_7,54.2,25.2,1232
seg4,wander_1,shelf_6,29.1,824,shelf_5,11.8,17.3,735
seg4,wander_1,shelf_6,29.1,824,kitting_table_0,102.4,73.3,1075
seg4,wander_1,shelf_6,29.1,824,coffee_machine_0,132.0,102.9,404
seg4,wander_1,shelf_6,29.1,824,ac_switch_0,81.2,52.2,1113
