condition,segment,human_task,human_action,first_step,last_step,ir_ticks,most_likely_first,conf_first,most_likely_last,conf_last,most_likely_at_max,conf_max,step_of_max,ticks_at_or_above_theta,deliver_item_above_theta,p_coffee_max,p_unknown_min,p_unknown_max,winner_sequence
s40_on,seg1_deliver_item_3,item_3,move_to,0,59,60,coffee_break,0.1994,item_3,0.647,item_3,0.647,55,0,-,0.1994,0.0809,0.1994,coffee_break@0 > item_3@1
s40_on,seg1_deliver_item_3,item_3,pick_up,60,61,2,item_3,0.5691,item_3,0.5691,item_3,0.5691,60,0,-,0.1423,0.1423,0.1423,item_3@60
s40_on,seg1_deliver_item_3,item_3,move_to,62,114,53,item_3,0.5691,item_3,0.5691,item_3,0.5691,62,0,-,0.1423,0.1423,0.1423,item_3@62
s40_on,seg1_deliver_item_3,item_3,place,115,116,2,item_3,0.5023,item_3,0.5023,item_3,0.5023,115,0,-,0.0628,0.0628,0.0628,item_3@115
s40_on,seg2_coffee,coffee_break,-,117,117,1,item_3,0.5023,item_3,0.5023,item_3,0.5023,117,0,-,0.0628,0.0628,0.0628,item_3@117
s40_on,seg2_coffee,coffee_break,move_to,118,154,37,item_6,0.5691,item_6,0.6756,item_6,0.6756,142,0,-,0.045,0.0379,0.045,item_6@118
s40_on,seg2_coffee,coffee_break,wait_at,155,185,31,item_6,0.6756,item_6,0.6756,item_6,0.6756,155,0,-,0.045,0.045,0.045,item_6@155
s40_on,seg3a_toward_shelf_6,ac_activation,-,186,186,1,item_6,0.6756,item_6,0.6756,item_6,0.6756,186,0,-,0.045,0.045,0.045,item_6@186
s40_on,seg3a_toward_shelf_6,ac_activation,move_to,187,206,20,item_6,0.8261,item_6,0.9035,item_6,0.9035,188,20,item_6,0.0137,0.0075,0.0137,item_6@187
s40_on,seg3a_toward_shelf_6,ac_activation,wait_at,207,208,2,item_6,0.9035,item_6,0.9035,item_6,0.9035,207,2,item_6,0.0075,0.0075,0.0075,item_6@207
s40_on,seg3b_turn_away,ac_activation,-,209,209,1,item_6,0.9035,item_6,0.9035,item_6,0.9035,209,1,item_6,0.0075,0.0075,0.0075,item_6@209
s40_on,seg3b_turn_away,ac_activation,move_to,210,227,18,item_6,0.9415,item_6,0.9415,item_6,0.9415,210,18,item_6,0.0062,0.0062,0.0062,item_6@210
s40_on,seg3b_turn_away,ac_activation,wait_at,228,229,2,item_6,0.9415,item_6,0.9415,item_6,0.9415,228,2,item_6,0.0062,0.0062,0.0062,item_6@228
s40_on,seg4_deliver_item_6,item_6,-,230,230,1,item_6,0.9415,item_6,0.9415,item_6,0.9415,230,1,item_6,0.0062,0.0062,0.0062,item_6@230
s40_on,seg4_deliver_item_6,item_6,move_to,231,271,41,item_6,0.9678,item_6,0.9678,item_6,0.9678,231,41,item_6,0.0016,0.0016,0.0016,item_6@231
s40_on,seg4_deliver_item_6,item_6,pick_up,272,273,2,item_6,0.9863,item_6,0.9863,item_6,0.9863,272,2,item_6,0.0032,0.0032,0.0032,item_6@272
s40_on,seg4_deliver_item_6,item_6,move_to,274,330,57,item_6,0.9863,item_6,0.9863,item_6,0.9863,274,57,item_6,0.0032,0.0032,0.0032,item_6@274
s40_on,seg4_deliver_item_6,item_6,place,331,332,2,item_6,0.8229,item_6,0.8229,item_6,0.8229,331,2,item_6,0.0027,0.0027,0.0027,item_6@331
s40_on,done,-,-,333,378,46,item_6,0.8229,item_6,0.8229,item_6,0.8229,333,46,item_6,0.0027,0.0027,0.0027,item_6@333
