step,segment,human_task,human_action,human_action_index,human_micro,human_x,human_y,human_holding,robot_task,robot_holding,ir_called,most_likely,confidence,p_item_3,p_item_6,p_item_4,p_item_7,p_item_5,p_ac_activation,p_coffee_break,p_unknown
0,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,82.6,540.1,,deliver_item,,True,item_4,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1
1,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,65.3,530.2,,deliver_item,,True,item_3,0.3118,0.3118,0.1035,0.1526,0.0726,0.1257,0.0779,0.0779,0.0779
2,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,47.9,520.2,,deliver_item,,True,item_3,0.3118,0.3118,0.1035,0.1526,0.0726,0.1257,0.0779,0.0779,0.0779
3,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,30.5,510.3,,deliver_item,,True,item_3,0.3118,0.3118,0.1035,0.1526,0.0726,0.1257,0.0779,0.0779,0.0779
4,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,13.2,500.4,,deliver_item,,True,item_3,0.3118,0.3118,0.1035,0.1526,0.0726,0.1257,0.0779,0.0779,0.0779
5,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-4.2,490.5,,deliver_item,,True,item_3,0.3513,0.3513,0.1166,0.086,0.0409,0.1417,0.0878,0.0878,0.0878
6,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-21.6,480.5,,deliver_item,,True,item_3,0.3513,0.3513,0.1166,0.086,0.0409,0.1417,0.0878,0.0878,0.0878
7,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-38.9,470.6,,deliver_item,,True,item_3,0.3513,0.3513,0.1166,0.086,0.0409,0.1417,0.0878,0.0878,0.0878
8,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-56.3,460.7,,deliver_item,,True,item_3,0.3513,0.3513,0.1166,0.086,0.0409,0.1417,0.0878,0.0878,0.0878
9,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-73.6,450.8,,deliver_item,,True,item_3,0.3513,0.3513,0.1166,0.086,0.0409,0.1417,0.0878,0.0878,0.0878
