condition,hyp,task,inadmissible,calls,phase1_shelf,phase1_table_delivered_decoy,phase1_container_is_agent_fallback_item_pos,phase2_var_target_NEUTRAL,no_item_binding_NEUTRAL,phase1_item_pos
s00_off,item_3,deliver_item,False,134,39,60,0,35,0,0
s00_off,item_4,deliver_item,False,134,123,0,11,0,0,0
s00_off,item_6,deliver_item,False,134,60,47,27,0,0,0
s00_off,item_7,deliver_item,False,134,6,104,24,0,0,0
s00_off,item_2,deliver_item,False,134,104,1,0,29,0,0
s00_on,item_3,deliver_item,False,134,39,60,0,35,0,0
s00_on,item_4,deliver_item,True,0,0,0,0,0,0,0
s00_on,item_6,deliver_item,True,0,0,0,0,0,0,0
s00_on,item_7,deliver_item,True,0,0,0,0,0,0,0
s00_on,item_2,deliver_item,False,134,104,1,0,29,0,0
s10_off,item_0,deliver_item,False,218,218,0,0,0,0,0
s10_off,item_1,deliver_item,False,218,122,59,37,0,0,0
s10_off,item_2,deliver_item,False,218,29,147,0,42,0,0
s10_off,item_3,deliver_item,False,218,218,0,0,0,0,0
s10_off,item_4,deliver_item,False,218,217,0,0,1,0,0
s10_off,item_5,deliver_item,False,218,218,0,0,0,0,0
s10_off,item_6,deliver_item,False,218,218,0,0,0,0,0
s10_off,item_7,deliver_item,False,218,31,141,46,0,0,0
s10_off,coffee_break,coffee_break,False,218,0,0,0,0,218,0
s10_on,item_0,deliver_item,True,0,0,0,0,0,0,0
s10_on,item_1,deliver_item,True,0,0,0,0,0,0,0
s10_on,item_2,deliver_item,False,218,29,147,0,42,0,0
s10_on,item_3,deliver_item,False,218,218,0,0,0,0,0
s10_on,item_4,deliver_item,False,218,217,0,0,1,0,0
s10_on,item_5,deliver_item,True,0,0,0,0,0,0,0
s10_on,item_6,deliver_item,False,218,218,0,0,0,0,0
s10_on,item_7,deliver_item,True,0,0,0,0,0,0,0
s10_on,coffee_break,coffee_break,False,218,0,0,0,0,218,0
s20_off,item_4,deliver_item,False,114,103,0,11,0,0,0
s20_off,item_3,deliver_item,False,114,20,64,0,30,0,0
s20_off,item_6,deliver_item,False,114,38,38,38,0,0,0
s20_off,item_7,deliver_item,False,114,114,0,0,0,0,0
s20_off,item_2,deliver_item,False,114,82,1,0,31,0,0
s20_on,item_4,deliver_item,True,0,0,0,0,0,0,0
s20_on,item_3,deliver_item,False,114,20,64,0,30,0,0
s20_on,item_6,deliver_item,True,0,0,0,0,0,0,0
s20_on,item_7,deliver_item,True,0,0,0,0,0,0,0
s20_on,item_2,deliver_item,False,114,82,1,0,31,0,0
s30_off,item_3,deliver_item,False,113,37,43,0,33,0,0
s30_off,item_4,deliver_item,False,113,111,0,2,0,0,0
s30_off,item_6,deliver_item,False,113,113,0,0,0,0,0
s30_off,item_7,deliver_item,False,113,91,1,0,21,0,0
s30_off,item_2,deliver_item,False,113,53,24,36,0,0,0
s30_on,item_3,deliver_item,False,113,37,43,0,33,0,0
s30_on,item_4,deliver_item,True,0,0,0,0,0,0,0
s30_on,item_6,deliver_item,True,0,0,0,0,0,0,0
s30_on,item_7,deliver_item,False,113,91,1,0,21,0,0
s30_on,item_2,deliver_item,True,0,0,0,0,0,0,0
