condition,hyp,zone,first_step,last_step,human_task_at_start,human_action_at_start,hyp_is_human_task
s00_off,item_2,zone_SE,16,21,item_3,move_to,False
s00_off,item_4,zone_SE,16,21,item_3,move_to,False
s00_off,item_3,zone_SW,22,40,item_3,move_to,True
s00_off,item_6,zone_SW,22,77,item_3,move_to,False
s00_off,item_3,zone_NW,78,80,item_3,place,True
s00_off,item_7,zone_NW,78,80,item_3,place,False
s00_off,item_2,zone_SE,103,110,item_2,move_to,True
s00_off,item_4,zone_SE,103,141,item_2,move_to,False
s00_on,item_2,zone_SE,16,21,item_3,move_to,False
s00_on,item_3,zone_SW,22,40,item_3,move_to,True
s00_on,item_3,zone_NW,78,80,item_3,place,True
s00_on,item_2,zone_SE,103,110,item_2,move_to,True
s10_off,item_1,zone_SW,0,74,item_2,move_to,False
s10_off,item_2,zone_SW,0,30,item_2,move_to,True
s10_off,item_6,zone_SW,0,74,item_2,move_to,False
s10_off,item_0,zone_NW,75,106,item_2,place,False
s10_off,item_2,zone_NW,75,106,item_2,place,True
s10_off,item_7,zone_NW,83,106,coffee_break,move_to,False
s10_off,item_1,zone_SW,107,141,coffee_break,move_to,False
s10_off,item_6,zone_SW,107,208,coffee_break,move_to,False
s10_off,item_4,zone_SE,209,256,item_4,move_to,True
s10_off,item_5,zone_SE,209,257,item_4,move_to,False
s10_on,item_2,zone_SW,0,30,item_2,move_to,True
s10_on,item_6,zone_SW,0,74,item_2,move_to,False
s10_on,item_2,zone_NW,75,106,item_2,place,True
s10_on,item_6,zone_SW,107,208,coffee_break,move_to,False
s10_on,item_4,zone_SE,209,256,item_4,move_to,True
s20_off,item_2,zone_SE,4,10,item_3,move_to,False
s20_off,item_7,zone_SE,4,10,item_3,move_to,False
s20_off,item_3,zone_SW,11,21,item_3,move_to,True
s20_off,item_4,zone_SW,11,53,item_3,move_to,False
s20_off,item_6,zone_SW,11,53,item_3,move_to,False
s20_off,item_3,zone_NW,54,56,item_3,place,True
s20_off,item_2,zone_SE,82,88,item_2,move_to,True
s20_off,item_7,zone_SE,82,121,item_2,move_to,False
s20_on,item_2,zone_SE,4,10,item_3,move_to,False
s20_on,item_3,zone_SW,11,21,item_3,move_to,True
s20_on,item_3,zone_NW,54,56,item_3,place,True
s20_on,item_2,zone_SE,82,88,item_2,move_to,True
s30_off,item_2,zone_SE,19,22,item_3,move_to,False
s30_off,item_4,zone_SE,19,22,item_3,move_to,False
s30_off,item_6,zone_SE,19,22,item_3,move_to,False
s30_off,item_3,zone_SW,23,38,item_3,move_to,True
s30_off,item_3,zone_NW,74,167,item_3,place,True
s30_off,item_7,zone_NW,74,97,item_3,place,False
s30_off,item_2,zone_NW,95,167,item_7,move_to,False
s30_off,item_7,zone_NW,121,167,item_7,place,True
s30_off,item_4,zone_NW,165,167,-,,False
s30_on,item_3,zone_SW,23,38,item_3,move_to,True
s30_on,item_3,zone_NW,74,167,item_3,place,True
s30_on,item_7,zone_NW,74,97,item_3,place,False
s30_on,item_7,zone_NW,121,167,item_7,place,True
