condition,first_moving_step,last_moving_step,n_moving_ticks,human_task_at_start,human_action_at_start,distinct_human_actions_spanned,distinct_human_tasks_spanned,closed_by,closing_microaction
s00_off,1,39,39,item_3,move_to,1,1,stationary,stand
s00_off,43,76,34,item_3,move_to,1,1,stationary,stand
s00_off,81,109,29,item_2,move_to,1,1,stationary,stand
s00_off,113,140,28,item_2,move_to,1,1,stationary,stand
s00_on,1,39,39,item_3,move_to,1,1,stationary,stand
s00_on,43,76,34,item_3,move_to,1,1,stationary,stand
s00_on,81,109,29,item_2,move_to,1,1,stationary,stand
s00_on,113,140,28,item_2,move_to,1,1,stationary,stand
s10_off,1,29,29,item_2,move_to,1,1,stationary,stand
s10_off,33,73,41,item_2,move_to,1,1,stationary,stand
s10_off,78,127,50,coffee_break,move_to,1,1,stationary,stand
s10_off,161,255,95,item_4,move_to,1,1,stationary,stand
s10_on,1,29,29,item_2,move_to,1,1,stationary,stand
s10_on,33,73,41,item_2,move_to,1,1,stationary,stand
s10_on,78,127,50,coffee_break,move_to,1,1,stationary,stand
s10_on,161,255,95,item_4,move_to,1,1,stationary,stand
s20_off,1,20,20,item_3,move_to,1,1,stationary,stand
s20_off,24,52,29,item_3,move_to,1,1,stationary,stand
s20_off,57,87,31,item_2,move_to,1,1,stationary,stand
s20_off,91,120,30,item_2,move_to,1,1,stationary,stand
s20_on,1,20,20,item_3,move_to,1,1,stationary,stand
s20_on,24,52,29,item_3,move_to,1,1,stationary,stand
s20_on,57,87,31,item_2,move_to,1,1,stationary,stand
s20_on,91,120,30,item_2,move_to,1,1,stationary,stand
s30_off,1,37,37,item_3,move_to,1,1,stationary,stand
s30_off,41,72,32,item_3,move_to,1,1,stationary,stand
s30_off,77,96,20,item_7,move_to,1,1,stationary,stand
s30_off,100,119,20,item_7,move_to,1,1,stationary,stand
s30_on,1,37,37,item_3,move_to,1,1,stationary,stand
s30_on,41,72,32,item_3,move_to,1,1,stationary,stand
s30_on,77,96,20,item_7,move_to,1,1,stationary,stand
s30_on,100,119,20,item_7,move_to,1,1,stationary,stand
