condition,human_task,action_index,action,completion_predicate,first_tick_executing,last_tick_executing,first_tick_predicate_true,ticks_predicate_true
s00_off,item_3,0,move_to,"at(human_0, item_3)",0,39,39,4
s00_off,item_3,1,pick_up,"holding(human_0, item_3)",40,41,41,37
s00_off,item_3,2,move_to,"at(human_0, kitting_table_0)",42,76,76,4
s00_off,item_3,3,place,"obj_at(item_3, kitting_table_0)",77,78,78,2
s00_off,item_2,0,move_to,"at(human_0, item_2)",81,109,109,4
s00_off,item_2,1,pick_up,"holding(human_0, item_2)",110,111,111,31
s00_off,item_2,2,move_to,"at(human_0, kitting_table_0)",112,140,140,4
s00_off,item_2,3,place,"obj_at(item_2, kitting_table_0)",141,142,142,2
s00_on,item_3,0,move_to,"at(human_0, item_3)",0,39,39,4
s00_on,item_3,1,pick_up,"holding(human_0, item_3)",40,41,41,37
s00_on,item_3,2,move_to,"at(human_0, kitting_table_0)",42,76,76,4
s00_on,item_3,3,place,"obj_at(item_3, kitting_table_0)",77,78,78,2
s00_on,item_2,0,move_to,"at(human_0, item_2)",81,109,109,4
s00_on,item_2,1,pick_up,"holding(human_0, item_2)",110,111,111,31
s00_on,item_2,2,move_to,"at(human_0, kitting_table_0)",112,140,140,4
s00_on,item_2,3,place,"obj_at(item_2, kitting_table_0)",141,142,142,2
s10_off,item_2,0,move_to,"at(human_0, item_2)",0,29,29,4
s10_off,item_2,1,pick_up,"holding(human_0, item_2)",30,31,31,44
s10_off,item_2,2,move_to,"at(human_0, kitting_table_0)",32,73,73,4
s10_off,item_2,3,place,"obj_at(item_2, kitting_table_0)",74,75,75,2
s10_off,coffee_break,0,move_to,"at(human_0, coffee_machine_0)",78,127,127,33
s10_off,coffee_break,1,wait_at,ProcessCompletion,128,158,,0
s10_off,item_4,0,move_to,"at(human_0, item_4)",161,255,255,2
s10_off,item_4,1,pick_up,"holding(human_0, item_4)",256,257,257,1
s10_off,item_4,2,move_to,"at(human_0, kitting_table_0)",,,,0
s10_off,item_4,3,place,"obj_at(item_4, kitting_table_0)",,,,0
s10_on,item_2,0,move_to,"at(human_0, item_2)",0,29,29,4
s10_on,item_2,1,pick_up,"holding(human_0, item_2)",30,31,31,44
s10_on,item_2,2,move_to,"at(human_0, kitting_table_0)",32,73,73,4
s10_on,item_2,3,place,"obj_at(item_2, kitting_table_0)",74,75,75,2
s10_on,coffee_break,0,move_to,"at(human_0, coffee_machine_0)",78,127,127,33
s10_on,coffee_break,1,wait_at,ProcessCompletion,128,158,,0
s10_on,item_4,0,move_to,"at(human_0, item_4)",161,255,255,2
s10_on,item_4,1,pick_up,"holding(human_0, item_4)",256,257,257,1
s10_on,item_4,2,move_to,"at(human_0, kitting_table_0)",,,,0
s10_on,item_4,3,place,"obj_at(item_4, kitting_table_0)",,,,0
s20_off,item_3,0,move_to,"at(human_0, item_3)",0,20,20,4
s20_off,item_3,1,pick_up,"holding(human_0, item_3)",21,22,22,32
s20_off,item_3,2,move_to,"at(human_0, kitting_table_0)",23,52,52,4
s20_off,item_3,3,place,"obj_at(item_3, kitting_table_0)",53,54,54,2
s20_off,item_2,0,move_to,"at(human_0, item_2)",57,87,87,4
s20_off,item_2,1,pick_up,"holding(human_0, item_2)",88,89,89,33
s20_off,item_2,2,move_to,"at(human_0, kitting_table_0)",90,120,120,4
s20_off,item_2,3,place,"obj_at(item_2, kitting_table_0)",121,122,122,2
s20_on,item_3,0,move_to,"at(human_0, item_3)",0,20,20,4
s20_on,item_3,1,pick_up,"holding(human_0, item_3)",21,22,22,32
s20_on,item_3,2,move_to,"at(human_0, kitting_table_0)",23,52,52,4
s20_on,item_3,3,place,"obj_at(item_3, kitting_table_0)",53,54,54,2
s20_on,item_2,0,move_to,"at(human_0, item_2)",57,87,87,4
s20_on,item_2,1,pick_up,"holding(human_0, item_2)",88,89,89,33
s20_on,item_2,2,move_to,"at(human_0, kitting_table_0)",90,120,120,4
s20_on,item_2,3,place,"obj_at(item_2, kitting_table_0)",121,122,122,2
s30_off,item_3,0,move_to,"at(human_0, item_3)",0,37,37,4
s30_off,item_3,1,pick_up,"holding(human_0, item_3)",38,39,39,35
s30_off,item_3,2,move_to,"at(human_0, kitting_table_0)",40,72,72,4
s30_off,item_3,3,place,"obj_at(item_3, kitting_table_0)",73,74,74,2
s30_off,item_7,0,move_to,"at(human_0, item_7)",77,96,96,4
s30_off,item_7,1,pick_up,"holding(human_0, item_7)",97,98,98,23
s30_off,item_7,2,move_to,"at(human_0, kitting_table_0)",99,119,119,4
s30_off,item_7,3,place,"obj_at(item_7, kitting_table_0)",120,121,121,2
s30_on,item_3,0,move_to,"at(human_0, item_3)",0,37,37,4
s30_on,item_3,1,pick_up,"holding(human_0, item_3)",38,39,39,35
s30_on,item_3,2,move_to,"at(human_0, kitting_table_0)",40,72,72,4
s30_on,item_3,3,place,"obj_at(item_3, kitting_table_0)",73,74,74,2
s30_on,item_7,0,move_to,"at(human_0, item_7)",77,96,96,4
s30_on,item_7,1,pick_up,"holding(human_0, item_7)",97,98,98,23
s30_on,item_7,2,move_to,"at(human_0, kitting_table_0)",99,119,119,4
s30_on,item_7,3,place,"obj_at(item_7, kitting_table_0)",120,121,121,2
