condition,step,event,kind,microaction,most_likely,confidence,prev_most_likely,prev_confidence,human_task,human_action,correct,leg_start,zone_boosted_now,zone_boosted_prev,n_refuted_now,n_refuted_prev,held_item
s00_off,0,first,stationary,step,item_3,0.16666666666666666,,,item_3,move_to,True,,,,0,0,
s00_off,16,most_likely_change,moving,step,item_4,0.26858015578117805,item_3,0.21373035670492332,item_3,move_to,False,,"item_2,item_4",,0,0,
s00_off,22,most_likely_change,moving,step,item_3,0.30263678972931696,item_4,0.2701459255880906,item_3,move_to,True,,"item_3,item_6","item_2,item_4",0,0,
s00_off,41,theta_up,discrete,grasp,item_3,0.7968000000000001,item_3,0.3079841092975623,item_3,pick_up,True,,,"item_3,item_6",4,0,item_3
s00_off,78,most_likely_change+theta_down,discrete,release,item_7,0.35072255626066684,item_3,0.7968000000000001,item_3,place,False,,"item_3,item_7",,0,4,
s00_off,81,most_likely_change,moving,step,item_2,0.2913129031499918,item_7,0.35072255626066684,item_2,move_to,True,leg_start,,"item_3,item_7",0,0,
s00_off,111,theta_up,discrete,grasp,item_2,0.9702336701231381,item_2,0.3962143823050864,item_2,pick_up,True,,,"item_2,item_4",4,0,item_2
s00_off,142,most_likely_change+theta_down,discrete,release,item_4,0.3663822778892812,item_2,0.9702336701231381,item_2,place,False,,,,0,4,
s00_on,0,first,stationary,step,unknown,0.33233333333333337,,,item_3,move_to,False,,,,0,0,
s00_on,1,most_likely_change,moving,step,item_3,0.5071053859821012,unknown,0.33233333333333337,item_3,move_to,True,leg_start,,,0,0,
s00_on,16,most_likely_change,moving,step,item_2,0.5323491660461078,item_3,0.5071053859821013,item_3,move_to,False,,item_2,,0,0,
s00_on,22,most_likely_change,moving,step,item_3,0.6722721353650831,item_2,0.5323491660461079,item_3,move_to,True,,item_3,item_2,0,0,
s00_on,41,theta_up,discrete,grasp,item_3,0.7968000000000001,item_3,0.6722721353650831,item_3,pick_up,True,,,item_3,4,0,item_3
s00_on,78,most_likely_change+theta_down,discrete,release,item_2,0.5097017532072488,item_3,0.7968000000000001,item_3,place,False,,item_3,,0,4,
s00_on,81,theta_up,moving,step,item_2,0.8563920867918478,item_2,0.5097017532072488,item_2,move_to,True,leg_start,,item_3,0,0,
s00_on,142,theta_down,discrete,release,item_2,0.6321829903688692,item_2,0.9702336701231381,item_2,place,True,,,,0,4,
s10_off,0,first,stationary,step,item_1,0.15384615384615385,,,item_2,move_to,False,,"item_1,item_2,item_6",,0,0,
s10_off,1,most_likely_change,moving,step,item_2,0.2995069155470162,item_1,0.15384615384615385,item_2,move_to,True,leg_start,"item_1,item_2,item_6","item_1,item_2,item_6",0,0,
s10_off,75,most_likely_change,discrete,release,item_0,0.4602191187491476,item_2,0.6619999999999999,item_2,place,False,,"item_0,item_2",,0,7,
s10_off,161,most_likely_change,moving,step,item_6,0.47834352919111434,item_0,0.39270749707884084,item_4,move_to,False,leg_start,item_6,item_6,0,0,
s10_off,209,most_likely_change,moving,step,item_0,0.32723732194282434,item_6,0.4854767746642777,item_4,move_to,False,,"item_4,item_5",item_6,0,0,
s10_off,257,most_likely_change+theta_up,discrete,grasp,item_4,0.7691176597820565,item_0,0.32723732194282434,item_4,pick_up,True,,,"item_4,item_5",7,0,item_4
s10_on,0,first,stationary,step,item_6,0.249,,,item_2,move_to,False,,"item_2,item_6",,0,0,
s10_on,1,most_likely_change,moving,step,item_2,0.5212420028294505,item_6,0.249,item_2,move_to,True,leg_start,"item_2,item_6","item_2,item_6",0,0,
s10_on,78,most_likely_change,moving,step,item_6,0.7299126222850879,item_2,0.3987663225411972,coffee_break,move_to,False,leg_start,item_2,item_2,0,0,
s10_on,107,theta_up,moving,step,item_6,0.8530357543432591,item_6,0.729912622285088,coffee_break,move_to,False,,item_6,item_2,0,0,
s10_on,209,theta_down,moving,step,item_6,0.7375742438867894,item_6,0.8823777681095117,item_4,move_to,False,,item_4,item_6,0,0,
s10_on,257,most_likely_change+theta_up,discrete,grasp,item_4,0.7691176597820564,item_6,0.7375742438867894,item_4,pick_up,True,,,item_4,7,0,item_4
s20_off,0,first,stationary,step,item_4,0.16666666666666666,,,item_3,move_to,False,,,,0,0,
s20_off,1,most_likely_change,moving,step,item_3,0.24846212098018342,item_4,0.16666666666666666,item_3,move_to,True,leg_start,,,0,0,
s20_off,22,theta_up,discrete,grasp,item_3,0.7968000000000001,item_3,0.2857554094706045,item_3,pick_up,True,,,"item_3,item_4,item_6",4,0,item_3
s20_off,54,most_likely_change+theta_down,discrete,release,item_6,0.2773165104617541,item_3,0.7968000000000001,item_3,place,False,,item_3,,0,4,
s20_off,57,most_likely_change,moving,step,item_4,0.3048561595709148,item_6,0.2773165104617541,item_2,move_to,False,leg_start,,item_3,0,0,
s20_off,82,most_likely_change,moving,step,item_7,0.32006051457412027,item_4,0.3430550378836259,item_2,move_to,False,,"item_2,item_7",,0,0,
s20_off,89,most_likely_change+theta_up,discrete,grasp,item_2,0.9284457996228852,item_7,0.32006051457412027,item_2,pick_up,True,,,"item_2,item_7",4,0,item_2
s20_off,122,most_likely_change+theta_down,discrete,release,item_4,0.5624133454002084,item_2,0.9284457996228852,item_2,place,False,,,,0,4,
s20_on,0,first,stationary,step,unknown,0.33233333333333337,,,item_3,move_to,False,,,,0,0,
s20_on,1,most_likely_change,moving,step,item_3,0.6405883392371471,unknown,0.33233333333333337,item_3,move_to,True,leg_start,,,0,0,
s20_on,11,theta_up,moving,step,item_3,0.7800086980552775,item_3,0.53522629188004,item_3,move_to,True,,item_3,item_2,0,0,
s20_on,54,theta_down,discrete,release,item_3,0.6413674337782264,item_3,0.7968000000000001,item_3,place,True,,item_3,,0,4,
s20_on,57,most_likely_change,moving,step,item_2,0.7425072981037245,item_3,0.6413674337782264,item_2,move_to,True,leg_start,,item_3,0,0,
s20_on,82,theta_up,moving,step,item_2,0.851137304242884,item_2,0.7425072981037246,item_2,move_to,True,,item_2,,0,0,
s20_on,122,most_likely_change+theta_down,discrete,release,item_3,0.5001646016880159,item_2,0.9284457996228852,item_2,place,False,,,,0,4,
s30_off,0,first,stationary,step,item_3,0.16666666666666666,,,item_3,move_to,True,,,,0,0,
s30_off,19,most_likely_change,moving,step,item_4,0.25853643538090937,item_3,0.21495580063631556,item_3,move_to,False,,"item_2,item_4,item_6",,0,0,
s30_off,23,most_likely_change,moving,step,item_3,0.3538495812337133,item_4,0.25853643538090937,item_3,move_to,True,,item_3,"item_2,item_4,item_6",0,0,
s30_off,39,theta_up,discrete,grasp,item_3,0.7968000000000001,item_3,0.3538495812337133,item_3,pick_up,True,,,item_3,4,0,item_3
s30_off,74,most_likely_change+theta_down,discrete,release,item_7,0.38202593479215374,item_3,0.7968000000000001,item_3,place,False,,"item_3,item_7",,0,4,
s30_off,98,theta_up,discrete,grasp,item_7,0.9761417100602781,item_7,0.6149121893154779,item_7,pick_up,True,,,"item_2,item_3,item_7",4,0,item_7
s30_off,121,theta_down,discrete,release,item_7,0.31109570124416863,item_7,0.9761417100602781,item_7,place,True,,"item_2,item_3,item_7",,0,4,
s30_off,165,most_likely_change,stationary,stand,item_4,0.3078269017974,item_7,0.31109570124416863,-,,False,,"item_2,item_3,item_4,item_7","item_2,item_3,item_7",0,0,
s30_on,0,first,stationary,step,unknown,0.33233333333333337,,,item_3,move_to,False,,,,0,0,
s30_on,1,most_likely_change,moving,step,item_3,0.4707208186662485,unknown,0.33233333333333337,item_3,move_to,True,leg_start,,,0,0,
s30_on,39,theta_up,discrete,grasp,item_3,0.7968000000000001,item_3,0.6395067103248168,item_3,pick_up,True,,,item_3,4,0,item_3
s30_on,74,most_likely_change+theta_down,discrete,release,item_7,0.7297689747169405,item_3,0.7968000000000001,item_3,place,False,,"item_3,item_7",,0,4,
s30_on,77,theta_up,moving,step,item_7,0.9174321016943597,item_7,0.7297689747169405,item_7,move_to,True,leg_start,"item_3,item_7","item_3,item_7",0,0,
