condition,step,microaction,human_task,human_action,likelihood_values,origin_passed,confidence,most_likely
s00_off,41,grasp,item_3,pick_up,{1.0: 5},"[-284.09919128368006, -287.7686086797539]",0.797,item_3
s00_off,78,release,item_3,place,{1.0: 5},"[-7.399352322317554, 333.38934153802757]",0.351,item_7
s00_off,111,grasp,item_2,pick_up,{1.0: 5},"[389.8553747310403, -89.20819966845187]",0.97,item_2
s00_off,142,release,item_2,place,{1.0: 5},"[18.10570867556487, 329.60224168615736]",0.366,item_4
s00_on,41,grasp,item_3,pick_up,{1.0: 2},"[-284.09919128368006, -287.7686086797539]",0.797,item_3
s00_on,78,release,item_3,place,{1.0: 2},"[-7.399352322317554, 333.38934153802757]",0.51,item_2
s00_on,111,grasp,item_2,pick_up,{1.0: 2},"[389.8553747310403, -89.20819966845187]",0.97,item_2
s00_on,142,release,item_2,place,{1.0: 2},"[18.10570867556487, 329.60224168615736]",0.632,item_2
s10_off,31,grasp,item_2,pick_up,{1.0: 9},"[-926.7373437486307, -12.68872159165602]",0.662,item_2
s10_off,75,release,item_2,place,{1.0: 9},"[-213.68596372913578, 392.2282198325006]",0.46,item_0
s10_off,257,grasp,item_4,pick_up,{1.0: 9},"[933.981637302747, -299.7230641533652]",0.769,item_4
s10_on,31,grasp,item_2,pick_up,{1.0: 5},"[-926.7373437486307, -12.68872159165602]",0.662,item_2
s10_on,75,release,item_2,place,{1.0: 5},"[-213.68596372913578, 392.2282198325006]",0.399,item_2
s10_on,257,grasp,item_4,pick_up,{1.0: 5},"[933.981637302747, -299.7230641533652]",0.769,item_4
s20_off,22,grasp,item_3,pick_up,{1.0: 5},"[-155.10533927300781, -174.2770563829523]",0.797,item_3
s20_off,54,release,item_3,place,{1.0: 5},"[-3.873221195299976, 385.65941006813546]",0.277,item_6
s20_off,89,grasp,item_2,pick_up,{1.0: 5},"[392.55259057061767, -91.04445583367698]",0.928,item_2
s20_off,122,release,item_2,place,{1.0: 5},"[17.90026237056196, 377.6085426356359]",0.562,item_4
s20_on,22,grasp,item_3,pick_up,{1.0: 2},"[-155.10533927300781, -174.2770563829523]",0.797,item_3
s20_on,54,release,item_3,place,{1.0: 2},"[-3.873221195299976, 385.65941006813546]",0.641,item_3
s20_on,89,grasp,item_2,pick_up,{1.0: 2},"[392.55259057061767, -91.04445583367698]",0.928,item_2
s20_on,122,release,item_2,place,{1.0: 2},"[17.90026237056196, 377.6085426356359]",0.5,item_3
s30_off,39,grasp,item_3,pick_up,{1.0: 5},"[-186.54014374500463, -283.84817249400555]",0.797,item_3
s30_off,74,release,item_3,place,{1.0: 5},"[-5.85187901941282, 330.11579305320356]",0.382,item_7
s30_off,98,grasp,item_7,pick_up,{1.0: 5},"[-385.6898823643436, 204.72404206879315]",0.976,item_7
s30_off,121,release,item_7,place,{1.0: 5},"[-11.363540249915332, 345.71974980215634]",0.311,item_7
s30_on,39,grasp,item_3,pick_up,{1.0: 2},"[-186.54014374500463, -283.84817249400555]",0.797,item_3
s30_on,74,release,item_3,place,{1.0: 2},"[-5.85187901941282, 330.11579305320356]",0.73,item_7
s30_on,98,grasp,item_7,pick_up,{1.0: 2},"[-385.6898823643436, 204.72404206879315]",0.976,item_7
s30_on,121,release,item_7,place,{1.0: 2},"[-11.363540249915332, 345.71974980215634]",0.757,item_7
