step,segment,human_task,human_action,human_action_index,human_micro,human_x,human_y,human_holding,robot_task,robot_holding,ir_called,most_likely,confidence,p_ac_activation,p_coffee_break,p_item_3,p_item_4,p_item_5,p_item_6,p_item_7,p_unknown
0,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,82.6,540.1,,deliver_item,,True,item_3,0.2668,0.0476,0.2197,0.2668,0.1349,0.1095,0.0906,0.0642,0.0667
1,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,65.3,530.2,,deliver_item,,True,item_3,0.2668,0.0476,0.2197,0.2668,0.1349,0.1095,0.0906,0.0642,0.0667
2,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,47.9,520.2,,deliver_item,,True,item_3,0.2668,0.0476,0.2197,0.2668,0.1349,0.1095,0.0906,0.0642,0.0667
3,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,30.5,510.3,,deliver_item,,True,item_3,0.2668,0.0476,0.2197,0.2668,0.1349,0.1095,0.0906,0.0642,0.0667
4,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,13.2,500.4,,deliver_item,,True,item_3,0.2668,0.0476,0.2197,0.2668,0.1349,0.1095,0.0906,0.0642,0.0667
5,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-4.2,490.5,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
6,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-21.6,480.5,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
7,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-38.9,470.6,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
8,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-56.3,460.7,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
9,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-73.6,450.8,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
10,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-91.0,440.8,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
11,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-108.4,430.9,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
12,seg1_deliver_item_3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",move_to,0,step,-125.7,421.0,,deliver_item,,True,item_3,0.3043,0.0272,0.2507,0.3043,0.0769,0.1249,0.1033,0.0366,0.0761
