condition,task:actions,count
s00_off,deliver_item:2,68
s00_off,deliver_item:4,505
s00_off,deliver_item:6,256
s00_on,deliver_item:2,68
s00_on,deliver_item:4,202
s00_on,deliver_item:6,64
s20_off,deliver_item:2,65
s20_off,deliver_item:4,675
s20_off,deliver_item:6,244
s20_on,deliver_item:2,65
s20_on,deliver_item:4,270
s20_on,deliver_item:6,61
s30_off,deliver_item:2,58
s30_off,deliver_item:4,550
s30_off,deliver_item:6,216
s30_on,deliver_item:2,58
s30_on,deliver_item:4,220
s30_on,deliver_item:6,54
s40_off,ac_activation:2,379
s40_off,coffee_break:2,379
s40_off,deliver_item:2,114
s40_off,deliver_item:4,1325
s40_off,deliver_item:6,440
s40_on,ac_activation:2,379
s40_on,coffee_break:2,379
s40_on,deliver_item:2,114
s40_on,deliver_item:4,530
s40_on,deliver_item:6,110
