condition,hypothesis,kind,target,start,end
s00_off,d(item_2),phase1,item_2,16,21
s00_off,d(item_4),phase1,item_4,16,21
s00_off,d(item_3),phase1,item_3,22,40
s00_off,d(item_6),phase1,item_6,22,40
s00_off,d(item_3),phase2_table,kitting_table_0,58,77
s00_off,d(item_3),phase1,item_3,78,80
s00_off,d(item_6),robot_carried,item_6,78,80
s00_off,d(item_7),phase1,item_7,78,80
s00_off,d(item_2),phase1,item_2,103,110
s00_off,d(item_4),phase1,item_4,103,110
s00_off,d(item_4),robot_carried,item_4,147,165
s00_on,d(item_2),phase1,item_2,16,21
s00_on,d(item_3),phase1,item_3,22,40
s00_on,d(item_3),phase2_table,kitting_table_0,58,77
s00_on,d(item_3),phase1,item_3,78,80
s00_on,d(item_2),phase1,item_2,103,110
s20_off,d(item_2),phase1,item_2,4,10
s20_off,d(item_7),phase1,item_7,4,10
s20_off,d(item_3),phase1,item_3,11,21
s20_off,d(item_4),phase1,item_4,11,21
s20_off,d(item_6),phase1,item_6,11,21
s20_off,d(item_3),phase2_table,kitting_table_0,33,53
s20_off,d(item_3),phase1,item_3,54,56
s20_off,d(item_2),phase1,item_2,82,88
s20_off,d(item_7),phase1,item_7,82,88
s20_on,d(item_2),phase1,item_2,4,10
s20_on,d(item_3),phase1,item_3,11,21
s20_on,d(item_3),phase2_table,kitting_table_0,33,53
s20_on,d(item_3),phase1,item_3,54,56
s20_on,d(item_2),phase1,item_2,82,88
s30_off,d(item_2),phase1,item_2,19,22
s30_off,d(item_4),phase1,item_4,19,22
s30_off,d(item_6),phase1,item_6,19,22
s30_off,d(item_3),phase1,item_3,23,38
s30_off,d(item_3),phase2_table,kitting_table_0,55,73
s30_off,d(item_3),phase1,item_3,74,97
s30_off,d(item_7),phase1,item_7,74,97
s30_off,d(item_2),phase1,item_2,95,97
s30_off,d(item_7),phase2_table,kitting_table_0,98,120
s30_off,d(item_2),phase1,item_2,121,167
s30_off,d(item_3),phase1,item_3,121,167
s30_off,d(item_7),phase1,item_7,121,167
s30_off,d(item_4),phase1,item_4,165,167
s30_on,d(item_3),phase1,item_3,23,38
s30_on,d(item_3),phase2_table,kitting_table_0,55,73
s30_on,d(item_3),phase1,item_3,74,97
s30_on,d(item_7),phase1,item_7,74,97
s30_on,d(item_7),phase2_table,kitting_table_0,98,120
s30_on,d(item_3),phase1,item_3,121,167
s30_on,d(item_7),phase1,item_7,121,167
s40_off,ac,phase1,ac_switch_0,0,4
s40_off,d(item_4),phase1,item_4,0,4
s40_off,d(item_7),phase1,item_7,0,4
s40_off,coffee,phase1,coffee_machine_0,55,64
s40_off,d(item_3),phase1,item_3,55,59
s40_off,d(item_3),phase2_table,kitting_table_0,65,114
s40_off,d(item_3),phase1,item_3,115,141
s40_off,coffee,phase1,coffee_machine_0,142,187
s40_off,d(item_5),phase1,item_5,188,271
s40_off,d(item_6),phase1,item_6,188,271
s40_off,ac,phase1,ac_switch_0,287,378
s40_off,d(item_5),robot_carried,item_5,340,375
s40_on,ac,phase1,ac_switch_0,0,4
s40_on,coffee,phase1,coffee_machine_0,55,64
s40_on,d(item_3),phase1,item_3,55,59
s40_on,d(item_3),phase2_table,kitting_table_0,65,114
s40_on,d(item_3),phase1,item_3,115,141
s40_on,coffee,phase1,coffee_machine_0,142,187
s40_on,d(item_6),phase1,item_6,188,271
s40_on,ac,phase1,ac_switch_0,287,378
