condition,step,microaction,hypothesis,judged_action,predicate,likelihood,output_belief
s00_off,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",4.0,0.586
s00_off,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",4.0,0.707
s00_on,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",4.0,0.799
s00_on,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",4.0,0.880
s20_off,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",4.0,0.565
s20_off,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",4.0,0.502
s20_on,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",4.0,0.869
s20_on,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",4.0,0.860
s30_off,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",4.0,0.520
s30_off,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",4.0,0.749
s30_on,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",4.0,0.778
s30_on,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",4.0,0.885
s40_off,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",4.0,0.636
s40_off,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",4.0,0.294
s40_on,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",4.0,0.725
s40_on,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",4.0,0.322
