ticks: base 379 new 379  eps=0.0005
t=0 base: most_likely=d(item_3) conf=0.385 dist=d(item_3)=0.385 coffee=0.317 d(item_6)=0.131 unknown=0.096 ac=0.069 d(item_4)=0.001 d(item_5)=0.001 d(item_7)=0.001
t=0 new: most_likely=d(item_3) conf=0.398 dist=d(item_3)=0.398 coffee=0.328 d(item_6)=0.135 unknown=0.100 ac=0.036 d(item_4)=0.001 d(item_5)=0.001 d(item_7)=0.001

== most_likely differences ==
  t= 60 base=coffee(0.549) new=d(item_3)(0.725)  human: deliver_item/pick_up/grasp
  t= 61 base=coffee(0.549) new=d(item_3)(0.725)  human: deliver_item/pick_up/None
  t= 62 base=coffee(0.551) new=d(item_3)(0.911)  human: deliver_item/move_to/step
  t= 63 base=coffee(0.551) new=d(item_3)(0.928)  human: deliver_item/move_to/step
  t= 64 base=coffee(0.551) new=d(item_3)(0.928)  human: deliver_item/move_to/step
  t=115 base=d(item_3)(0.694) new=coffee(0.687)  human: deliver_item/place/release
  t=116 base=d(item_3)(0.694) new=coffee(0.687)  human: deliver_item/place/None
  t=117 base=d(item_3)(0.694) new=coffee(0.687)  human: None/None/None
  t=184 base=coffee(0.814) new=ac(0.544)  human: coffee_break/wait_at/stand
  t=185 base=coffee(0.814) new=ac(0.544)  human: coffee_break/wait_at/None
  t=186 base=coffee(0.814) new=ac(0.544)  human: None/None/None
  t=187 base=coffee(0.780) new=ac(0.549)  human: ac_activation/move_to/step
  t=188 base=coffee(0.633) new=ac(0.555)  human: ac_activation/move_to/step
  t=189 base=coffee(0.633) new=ac(0.560)  human: ac_activation/move_to/step
  t=190 base=coffee(0.633) new=ac(0.566)  human: ac_activation/move_to/step
  t=191 base=coffee(0.633) new=ac(0.571)  human: ac_activation/move_to/step
  t=192 base=coffee(0.633) new=ac(0.576)  human: ac_activation/move_to/step
  t=193 base=coffee(0.633) new=ac(0.581)  human: ac_activation/move_to/step
  t=194 base=coffee(0.633) new=ac(0.586)  human: ac_activation/move_to/step
  t=195 base=coffee(0.633) new=ac(0.591)  human: ac_activation/move_to/step
  t=196 base=coffee(0.633) new=ac(0.596)  human: ac_activation/move_to/step
  t=197 base=coffee(0.633) new=ac(0.600)  human: ac_activation/move_to/step
  t=198 base=coffee(0.633) new=ac(0.605)  human: ac_activation/move_to/step
  t=199 base=coffee(0.633) new=ac(0.609)  human: ac_activation/move_to/step
  t=200 base=coffee(0.633) new=ac(0.614)  human: ac_activation/move_to/step
  t=201 base=coffee(0.633) new=ac(0.618)  human: ac_activation/move_to/step
  t=202 base=coffee(0.633) new=ac(0.622)  human: ac_activation/move_to/step
  t=203 base=coffee(0.633) new=ac(0.625)  human: ac_activation/move_to/step
  t=204 base=coffee(0.633) new=ac(0.629)  human: ac_activation/move_to/step
  t=205 base=coffee(0.633) new=ac(0.633)  human: ac_activation/move_to/step
  t=206 base=coffee(0.633) new=ac(0.633)  human: ac_activation/move_to/None
  t=207 base=coffee(0.633) new=ac(0.633)  human: ac_activation/wait_at/stand
  t=208 base=coffee(0.633) new=ac(0.633)  human: ac_activation/wait_at/None
  t=209 base=coffee(0.633) new=ac(0.633)  human: None/None/None
  t=210 base=coffee(0.887) new=ac(0.631)  human: ac_activation/move_to/step
  t=211 base=coffee(0.887) new=ac(0.629)  human: ac_activation/move_to/step
  t=212 base=coffee(0.887) new=ac(0.627)  human: ac_activation/move_to/step
  t=213 base=coffee(0.887) new=ac(0.625)  human: ac_activation/move_to/step
  t=214 base=coffee(0.887) new=ac(0.623)  human: ac_activation/move_to/step
  t=215 base=coffee(0.887) new=ac(0.622)  human: ac_activation/move_to/step
  t=216 base=coffee(0.887) new=ac(0.620)  human: ac_activation/move_to/step
  t=217 base=coffee(0.887) new=ac(0.618)  human: ac_activation/move_to/step
  t=218 base=coffee(0.887) new=ac(0.617)  human: ac_activation/move_to/step
  t=219 base=coffee(0.887) new=ac(0.615)  human: ac_activation/move_to/step
  t=220 base=coffee(0.887) new=ac(0.614)  human: ac_activation/move_to/step
  t=221 base=coffee(0.887) new=ac(0.612)  human: ac_activation/move_to/step
  t=222 base=coffee(0.887) new=ac(0.611)  human: ac_activation/move_to/step
  t=223 base=coffee(0.887) new=ac(0.609)  human: ac_activation/move_to/step
  t=224 base=coffee(0.887) new=ac(0.608)  human: ac_activation/move_to/step
  t=225 base=coffee(0.887) new=ac(0.607)  human: ac_activation/move_to/step
  t=226 base=coffee(0.887) new=ac(0.606)  human: ac_activation/move_to/step
  t=227 base=coffee(0.887) new=ac(0.606)  human: ac_activation/move_to/None
  t=228 base=coffee(0.887) new=ac(0.606)  human: ac_activation/wait_at/stand
  t=229 base=coffee(0.887) new=ac(0.606)  human: ac_activation/wait_at/None
  t=230 base=coffee(0.887) new=ac(0.606)  human: None/None/None
  t=231 base=coffee(0.815) new=ac(0.608)  human: deliver_item/move_to/step
  t=232 base=coffee(0.815) new=ac(0.611)  human: deliver_item/move_to/step
  t=233 base=coffee(0.815) new=ac(0.614)  human: deliver_item/move_to/step
  t=234 base=coffee(0.815) new=ac(0.617)  human: deliver_item/move_to/step
  t=235 base=coffee(0.815) new=ac(0.620)  human: deliver_item/move_to/step
  t=236 base=coffee(0.815) new=ac(0.623)  human: deliver_item/move_to/step
  t=237 base=coffee(0.815) new=ac(0.625)  human: deliver_item/move_to/step
  t=238 base=coffee(0.815) new=ac(0.628)  human: deliver_item/move_to/step
  t=239 base=coffee(0.815) new=ac(0.631)  human: deliver_item/move_to/step
  t=240 base=coffee(0.815) new=ac(0.633)  human: deliver_item/move_to/step
  t=241 base=coffee(0.815) new=ac(0.636)  human: deliver_item/move_to/step
  t=242 base=coffee(0.815) new=ac(0.639)  human: deliver_item/move_to/step
  t=243 base=coffee(0.815) new=ac(0.641)  human: deliver_item/move_to/step
  t=244 base=coffee(0.815) new=ac(0.644)  human: deliver_item/move_to/step
  t=245 base=coffee(0.815) new=ac(0.646)  human: deliver_item/move_to/step
  t=246 base=coffee(0.815) new=ac(0.649)  human: deliver_item/move_to/step
  t=247 base=coffee(0.815) new=ac(0.651)  human: deliver_item/move_to/step
  t=248 base=coffee(0.815) new=ac(0.654)  human: deliver_item/move_to/step
  t=249 base=coffee(0.815) new=ac(0.656)  human: deliver_item/move_to/step
  t=250 base=coffee(0.815) new=ac(0.658)  human: deliver_item/move_to/step
  t=251 base=coffee(0.815) new=ac(0.660)  human: deliver_item/move_to/step
  t=252 base=coffee(0.815) new=ac(0.663)  human: deliver_item/move_to/step
  t=253 base=coffee(0.815) new=ac(0.665)  human: deliver_item/move_to/step
  t=254 base=coffee(0.815) new=ac(0.667)  human: deliver_item/move_to/step
  t=255 base=coffee(0.815) new=ac(0.669)  human: deliver_item/move_to/step
  t=256 base=coffee(0.815) new=ac(0.671)  human: deliver_item/move_to/step
  t=257 base=coffee(0.815) new=ac(0.673)  human: deliver_item/move_to/step
  t=258 base=coffee(0.815) new=ac(0.675)  human: deliver_item/move_to/step
  t=259 base=coffee(0.815) new=ac(0.676)  human: deliver_item/move_to/step
  t=260 base=coffee(0.815) new=ac(0.678)  human: deliver_item/move_to/step
  t=261 base=coffee(0.815) new=ac(0.680)  human: deliver_item/move_to/step
  t=262 base=coffee(0.815) new=ac(0.682)  human: deliver_item/move_to/step
  t=263 base=coffee(0.815) new=ac(0.683)  human: deliver_item/move_to/step
