condition,step,hypothesis,from,to
s00_off,39,d(item_3),move_to(?target=item_3),pick_up(?item=item_3)
s00_off,41,d(item_2),move_to(?target=item_2),"place(?item=item_3,?target=shelf_3)"
s00_off,41,d(item_3),pick_up(?item=item_3),move_to(?target=kitting_table_0)
s00_off,41,d(item_4),move_to(?target=item_4),"place(?item=item_3,?target=shelf_3)"
s00_off,41,d(item_6),move_to(?target=item_6),"place(?item=item_3,?target=shelf_3)"
s00_off,43,d(item_2),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s00_off,43,d(item_4),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s00_off,43,d(item_6),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s00_off,76,d(item_3),move_to(?target=kitting_table_0),"place(?item=item_3,?target=kitting_table_0)"
s00_off,78,d(item_2),move_to(?target=shelf_3),move_to(?target=item_2)
s00_off,78,d(item_4),move_to(?target=shelf_3),move_to(?target=item_4)
s00_off,78,d(item_6),move_to(?target=shelf_3),move_to(?target=item_6)
s00_off,109,d(item_2),move_to(?target=item_2),pick_up(?item=item_2)
s00_off,111,d(item_2),pick_up(?item=item_2),move_to(?target=kitting_table_0)
s00_off,111,d(item_4),move_to(?target=item_4),"place(?item=item_2,?target=shelf_2)"
s00_off,113,d(item_4),"place(?item=item_2,?target=shelf_2)",move_to(?target=shelf_2)
s00_off,140,d(item_2),move_to(?target=kitting_table_0),"place(?item=item_2,?target=kitting_table_0)"
s00_off,142,d(item_4),move_to(?target=shelf_2),move_to(?target=item_4)
s00_on,39,d(item_3),move_to(?target=item_3),pick_up(?item=item_3)
s00_on,41,d(item_2),move_to(?target=item_2),"place(?item=item_3,?target=shelf_3)"
s00_on,41,d(item_3),pick_up(?item=item_3),move_to(?target=kitting_table_0)
s00_on,43,d(item_2),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s00_on,76,d(item_3),move_to(?target=kitting_table_0),"place(?item=item_3,?target=kitting_table_0)"
s00_on,78,d(item_2),move_to(?target=shelf_3),move_to(?target=item_2)
s00_on,109,d(item_2),move_to(?target=item_2),pick_up(?item=item_2)
s00_on,111,d(item_2),pick_up(?item=item_2),move_to(?target=kitting_table_0)
s00_on,140,d(item_2),move_to(?target=kitting_table_0),"place(?item=item_2,?target=kitting_table_0)"
s20_off,20,d(item_3),move_to(?target=item_3),pick_up(?item=item_3)
s20_off,22,d(item_2),move_to(?target=item_2),"place(?item=item_3,?target=shelf_3)"
s20_off,22,d(item_3),pick_up(?item=item_3),move_to(?target=kitting_table_0)
s20_off,22,d(item_4),move_to(?target=item_4),"place(?item=item_3,?target=shelf_3)"
s20_off,22,d(item_6),move_to(?target=item_6),"place(?item=item_3,?target=shelf_3)"
s20_off,22,d(item_7),move_to(?target=item_7),"place(?item=item_3,?target=shelf_3)"
s20_off,24,d(item_2),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s20_off,24,d(item_4),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s20_off,24,d(item_6),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s20_off,24,d(item_7),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s20_off,52,d(item_3),move_to(?target=kitting_table_0),"place(?item=item_3,?target=kitting_table_0)"
s20_off,54,d(item_2),move_to(?target=shelf_3),move_to(?target=item_2)
s20_off,54,d(item_6),move_to(?target=shelf_3),move_to(?target=item_6)
s20_off,54,d(item_7),move_to(?target=shelf_3),move_to(?target=item_7)
s20_off,87,d(item_2),move_to(?target=item_2),pick_up(?item=item_2)
s20_off,89,d(item_2),pick_up(?item=item_2),move_to(?target=kitting_table_0)
s20_off,89,d(item_6),move_to(?target=item_6),"place(?item=item_2,?target=shelf_2)"
s20_off,89,d(item_7),move_to(?target=item_7),"place(?item=item_2,?target=shelf_2)"
s20_off,91,d(item_6),"place(?item=item_2,?target=shelf_2)",move_to(?target=shelf_2)
s20_off,91,d(item_7),"place(?item=item_2,?target=shelf_2)",move_to(?target=shelf_2)
s20_off,120,d(item_2),move_to(?target=kitting_table_0),"place(?item=item_2,?target=kitting_table_0)"
s20_off,122,d(item_6),move_to(?target=shelf_2),move_to(?target=item_6)
s20_off,122,d(item_7),move_to(?target=shelf_2),move_to(?target=item_7)
s20_on,20,d(item_3),move_to(?target=item_3),pick_up(?item=item_3)
s20_on,22,d(item_2),move_to(?target=item_2),"place(?item=item_3,?target=shelf_3)"
s20_on,22,d(item_3),pick_up(?item=item_3),move_to(?target=kitting_table_0)
s20_on,24,d(item_2),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s20_on,52,d(item_3),move_to(?target=kitting_table_0),"place(?item=item_3,?target=kitting_table_0)"
s20_on,54,d(item_2),move_to(?target=shelf_3),move_to(?target=item_2)
s20_on,87,d(item_2),move_to(?target=item_2),pick_up(?item=item_2)
s20_on,89,d(item_2),pick_up(?item=item_2),move_to(?target=kitting_table_0)
s20_on,120,d(item_2),move_to(?target=kitting_table_0),"place(?item=item_2,?target=kitting_table_0)"
s30_off,37,d(item_3),move_to(?target=item_3),pick_up(?item=item_3)
s30_off,39,d(item_2),move_to(?target=item_2),"place(?item=item_3,?target=shelf_3)"
s30_off,39,d(item_3),pick_up(?item=item_3),move_to(?target=kitting_table_0)
s30_off,39,d(item_4),move_to(?target=item_4),"place(?item=item_3,?target=shelf_3)"
s30_off,39,d(item_6),move_to(?target=item_6),"place(?item=item_3,?target=shelf_3)"
s30_off,39,d(item_7),move_to(?target=item_7),"place(?item=item_3,?target=shelf_3)"
s30_off,41,d(item_2),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s30_off,41,d(item_4),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s30_off,41,d(item_6),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s30_off,41,d(item_7),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s30_off,72,d(item_3),move_to(?target=kitting_table_0),"place(?item=item_3,?target=kitting_table_0)"
s30_off,74,d(item_2),move_to(?target=shelf_3),move_to(?target=item_2)
s30_off,74,d(item_4),move_to(?target=shelf_3),move_to(?target=item_4)
s30_off,74,d(item_6),move_to(?target=shelf_3),move_to(?target=item_6)
s30_off,74,d(item_7),move_to(?target=shelf_3),move_to(?target=item_7)
s30_off,96,d(item_7),move_to(?target=item_7),pick_up(?item=item_7)
s30_off,98,d(item_4),move_to(?target=item_4),"place(?item=item_7,?target=shelf_7)"
s30_off,98,d(item_6),move_to(?target=item_6),"place(?item=item_7,?target=shelf_7)"
s30_off,98,d(item_7),pick_up(?item=item_7),move_to(?target=kitting_table_0)
s30_off,100,d(item_4),"place(?item=item_7,?target=shelf_7)",move_to(?target=shelf_7)
s30_off,100,d(item_6),"place(?item=item_7,?target=shelf_7)",move_to(?target=shelf_7)
s30_off,119,d(item_7),move_to(?target=kitting_table_0),"place(?item=item_7,?target=kitting_table_0)"
s30_off,121,d(item_4),move_to(?target=shelf_7),move_to(?target=item_4)
s30_off,121,d(item_6),move_to(?target=shelf_7),move_to(?target=item_6)
s30_on,37,d(item_3),move_to(?target=item_3),pick_up(?item=item_3)
s30_on,39,d(item_3),pick_up(?item=item_3),move_to(?target=kitting_table_0)
s30_on,39,d(item_7),move_to(?target=item_7),"place(?item=item_3,?target=shelf_3)"
s30_on,41,d(item_7),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s30_on,72,d(item_3),move_to(?target=kitting_table_0),"place(?item=item_3,?target=kitting_table_0)"
s30_on,74,d(item_7),move_to(?target=shelf_3),move_to(?target=item_7)
s30_on,96,d(item_7),move_to(?target=item_7),pick_up(?item=item_7)
s30_on,98,d(item_7),pick_up(?item=item_7),move_to(?target=kitting_table_0)
s30_on,119,d(item_7),move_to(?target=kitting_table_0),"place(?item=item_7,?target=kitting_table_0)"
s40_off,58,d(item_3),move_to(?target=item_3),pick_up(?item=item_3)
s40_off,60,d(item_3),pick_up(?item=item_3),move_to(?target=kitting_table_0)
s40_off,60,d(item_4),move_to(?target=item_4),"place(?item=item_3,?target=shelf_3)"
s40_off,60,d(item_5),move_to(?target=item_5),"place(?item=item_3,?target=shelf_3)"
s40_off,60,d(item_6),move_to(?target=item_6),"place(?item=item_3,?target=shelf_3)"
s40_off,60,d(item_7),move_to(?target=item_7),"place(?item=item_3,?target=shelf_3)"
s40_off,62,d(item_4),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s40_off,62,d(item_5),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s40_off,62,d(item_6),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s40_off,62,d(item_7),"place(?item=item_3,?target=shelf_3)",move_to(?target=shelf_3)
s40_off,113,d(item_3),move_to(?target=kitting_table_0),"place(?item=item_3,?target=kitting_table_0)"
s40_off,115,d(item_4),move_to(?target=shelf_3),move_to(?target=item_4)
s40_off,115,d(item_5),move_to(?target=shelf_3),move_to(?target=item_5)
s40_off,115,d(item_6),move_to(?target=shelf_3),move_to(?target=item_6)
s40_off,115,d(item_7),move_to(?target=shelf_3),move_to(?target=item_7)
s40_off,153,coffee,move_to(?target=coffee_machine_0),"wait_at(?duration=PT60S,?entity=coffee_machine_0)"
s40_off,270,d(item_6),move_to(?target=item_6),pick_up(?item=item_6)
