condition,held,hypothesis,expected_action,from_step,to_step
s00_off,item_3,d(item_2),"place(?item=item_3,?target=shelf_3)",41,42
s00_off,item_3,d(item_4),"place(?item=item_3,?target=shelf_3)",41,42
s00_off,item_3,d(item_6),"place(?item=item_3,?target=shelf_3)",41,42
s00_off,item_3,d(item_2),move_to(?target=shelf_3),43,77
s00_off,item_3,d(item_4),move_to(?target=shelf_3),43,77
s00_off,item_3,d(item_6),move_to(?target=shelf_3),43,77
s00_off,item_2,d(item_4),"place(?item=item_2,?target=shelf_2)",111,112
s00_off,item_2,d(item_4),move_to(?target=shelf_2),113,141
s00_on,item_3,d(item_2),"place(?item=item_3,?target=shelf_3)",41,42
s00_on,item_3,d(item_2),move_to(?target=shelf_3),43,77
s20_off,item_3,d(item_2),"place(?item=item_3,?target=shelf_3)",22,23
s20_off,item_3,d(item_4),"place(?item=item_3,?target=shelf_3)",22,23
s20_off,item_3,d(item_6),"place(?item=item_3,?target=shelf_3)",22,23
s20_off,item_3,d(item_7),"place(?item=item_3,?target=shelf_3)",22,23
s20_off,item_3,d(item_2),move_to(?target=shelf_3),24,53
s20_off,item_3,d(item_4),move_to(?target=shelf_3),24,51
s20_off,item_3,d(item_6),move_to(?target=shelf_3),24,53
s20_off,item_3,d(item_7),move_to(?target=shelf_3),24,53
s20_off,item_2,d(item_6),"place(?item=item_2,?target=shelf_2)",89,90
s20_off,item_2,d(item_7),"place(?item=item_2,?target=shelf_2)",89,90
s20_off,item_2,d(item_6),move_to(?target=shelf_2),91,121
s20_off,item_2,d(item_7),move_to(?target=shelf_2),91,121
s20_on,item_3,d(item_2),"place(?item=item_3,?target=shelf_3)",22,23
s20_on,item_3,d(item_2),move_to(?target=shelf_3),24,53
s30_off,item_3,d(item_2),"place(?item=item_3,?target=shelf_3)",39,40
s30_off,item_3,d(item_4),"place(?item=item_3,?target=shelf_3)",39,40
s30_off,item_3,d(item_6),"place(?item=item_3,?target=shelf_3)",39,40
s30_off,item_3,d(item_7),"place(?item=item_3,?target=shelf_3)",39,40
s30_off,item_3,d(item_2),move_to(?target=shelf_3),41,73
s30_off,item_3,d(item_4),move_to(?target=shelf_3),41,73
s30_off,item_3,d(item_6),move_to(?target=shelf_3),41,73
s30_off,item_3,d(item_7),move_to(?target=shelf_3),41,73
s30_off,item_7,d(item_4),"place(?item=item_7,?target=shelf_7)",98,99
s30_off,item_7,d(item_6),"place(?item=item_7,?target=shelf_7)",98,99
s30_off,item_7,d(item_4),move_to(?target=shelf_7),100,120
s30_off,item_7,d(item_6),move_to(?target=shelf_7),100,120
s30_on,item_3,d(item_7),"place(?item=item_3,?target=shelf_3)",39,40
s30_on,item_3,d(item_7),move_to(?target=shelf_3),41,73
s40_off,item_3,d(item_4),"place(?item=item_3,?target=shelf_3)",60,61
s40_off,item_3,d(item_5),"place(?item=item_3,?target=shelf_3)",60,61
s40_off,item_3,d(item_6),"place(?item=item_3,?target=shelf_3)",60,61
s40_off,item_3,d(item_7),"place(?item=item_3,?target=shelf_3)",60,61
s40_off,item_3,d(item_4),move_to(?target=shelf_3),62,114
s40_off,item_3,d(item_5),move_to(?target=shelf_3),62,114
s40_off,item_3,d(item_6),move_to(?target=shelf_3),62,114
s40_off,item_3,d(item_7),move_to(?target=shelf_3),62,114
s40_off,item_6,d(item_5),"place(?item=item_6,?target=shelf_6)",272,274
s40_off,item_6,d(item_5),move_to(?target=shelf_6),275,330
s40_on,item_3,d(item_6),"place(?item=item_3,?target=shelf_3)",60,61
s40_on,item_3,d(item_6),move_to(?target=shelf_3),62,114
