condition,step,hypothesis,human_action,human_micro
s00_off,31,d(item_7),move_to,step
s00_off,78,d(item_3),place,release
s00_off,93,d(item_6),move_to,step
s00_off,142,d(item_2),place,release
s00_off,166,d(item_4),,
s00_on,78,d(item_3),place,release
s00_on,142,d(item_2),place,release
s20_off,52,d(item_4),move_to,step
s20_off,54,d(item_3),place,release
s20_off,122,d(item_2),place,release
s20_off,136,d(item_6),,
s20_on,54,d(item_3),place,release
s20_on,122,d(item_2),place,release
s30_off,74,d(item_3),place,release
s30_off,86,d(item_2),move_to,step
s30_off,121,d(item_7),place,release
s30_off,156,d(item_4),,
s30_on,74,d(item_3),place,release
s30_on,121,d(item_7),place,release
s40_off,115,d(item_3),place,release
s40_off,145,d(item_4),move_to,step
s40_off,184,coffee,wait_at,stand
s40_off,243,d(item_7),move_to,step
s40_off,331,d(item_6),place,release
s40_off,376,d(item_5),,
s40_on,115,d(item_3),place,release
s40_on,184,coffee,wait_at,stand
s40_on,331,d(item_6),place,release
ungated/s00_off,31,d(item_7),move_to,step
ungated/s00_off,78,d(item_3),place,release
ungated/s00_off,93,d(item_6),move_to,step
ungated/s00_off,142,d(item_2),place,release
ungated/s00_off,166,d(item_4),,
ungated/s00_on,78,d(item_3),place,release
ungated/s00_on,142,d(item_2),place,release
ungated/s20_off,54,d(item_3),place,release
ungated/s20_off,82,d(item_6),move_to,step
ungated/s20_off,122,d(item_2),place,release
ungated/s20_off,142,d(item_4),,
ungated/s20_on,54,d(item_3),place,release
ungated/s20_on,122,d(item_2),place,release
ungated/s30_off,74,d(item_3),place,release
ungated/s30_off,86,d(item_2),move_to,step
ungated/s30_off,121,d(item_7),place,release
ungated/s30_off,156,d(item_4),,
ungated/s30_on,74,d(item_3),place,release
ungated/s30_on,121,d(item_7),place,release
ungated/s40_off,115,d(item_3),place,release
ungated/s40_off,145,d(item_4),move_to,step
ungated/s40_off,184,coffee,wait_at,stand
ungated/s40_off,243,d(item_7),move_to,step
ungated/s40_off,331,d(item_6),place,release
ungated/s40_off,376,d(item_5),,
ungated/s40_on,115,d(item_3),place,release
ungated/s40_on,184,coffee,wait_at,stand
ungated/s40_on,331,d(item_6),place,release
ownshelf/s00_off,31,d(item_7),move_to,step
ownshelf/s00_off,78,d(item_3),place,release
ownshelf/s00_off,93,d(item_6),move_to,step
ownshelf/s00_off,142,d(item_2),place,release
ownshelf/s00_off,166,d(item_4),,
ownshelf/s00_on,78,d(item_3),place,release
ownshelf/s00_on,142,d(item_2),place,release
ownshelf/s20_off,52,d(item_4),move_to,step
ownshelf/s20_off,54,d(item_3),place,release
ownshelf/s20_off,122,d(item_2),place,release
ownshelf/s20_off,136,d(item_6),,
ownshelf/s20_on,54,d(item_3),place,release
ownshelf/s20_on,122,d(item_2),place,release
ownshelf/s30_off,74,d(item_3),place,release
ownshelf/s30_off,86,d(item_2),move_to,step
ownshelf/s30_off,121,d(item_7),place,release
ownshelf/s30_off,156,d(item_4),,
ownshelf/s30_on,74,d(item_3),place,release
ownshelf/s30_on,121,d(item_7),place,release
ownshelf/s40_off,115,d(item_3),place,release
ownshelf/s40_off,145,d(item_4),move_to,step
ownshelf/s40_off,184,coffee,wait_at,stand
ownshelf/s40_off,243,d(item_7),move_to,step
ownshelf/s40_off,331,d(item_6),place,release
ownshelf/s40_off,376,d(item_5),,
ownshelf/s40_on,115,d(item_3),place,release
ownshelf/s40_on,184,coffee,wait_at,stand
ownshelf/s40_on,331,d(item_6),place,release
reset_origin/s00_off,31,d(item_7),move_to,step
reset_origin/s00_off,78,d(item_3),place,release
reset_origin/s00_off,93,d(item_6),move_to,step
reset_origin/s00_off,142,d(item_2),place,release
reset_origin/s00_off,166,d(item_4),,
reset_origin/s00_on,78,d(item_3),place,release
reset_origin/s00_on,142,d(item_2),place,release
reset_origin/s20_off,52,d(item_4),move_to,step
reset_origin/s20_off,54,d(item_3),place,release
reset_origin/s20_off,122,d(item_2),place,release
reset_origin/s20_off,142,d(item_7),,
reset_origin/s20_on,54,d(item_3),place,release
reset_origin/s20_on,122,d(item_2),place,release
reset_origin/s30_off,74,d(item_3),place,release
reset_origin/s30_off,86,d(item_2),move_to,step
reset_origin/s30_off,121,d(item_7),place,release
reset_origin/s30_off,156,d(item_4),,
reset_origin/s30_on,74,d(item_3),place,release
reset_origin/s30_on,121,d(item_7),place,release
reset_origin/s40_off,115,d(item_3),place,release
reset_origin/s40_off,145,d(item_4),move_to,step
reset_origin/s40_off,184,coffee,wait_at,stand
reset_origin/s40_off,243,d(item_7),move_to,step
reset_origin/s40_off,331,d(item_6),place,release
reset_origin/s40_off,376,d(item_5),,
reset_origin/s40_on,115,d(item_3),place,release
reset_origin/s40_on,184,coffee,wait_at,stand
reset_origin/s40_on,331,d(item_6),place,release
reset_boundary/s00_off,31,d(item_7),move_to,step
reset_boundary/s00_off,78,d(item_3),place,release
reset_boundary/s00_off,93,d(item_6),move_to,step
reset_boundary/s00_off,142,d(item_2),place,release
reset_boundary/s00_off,166,d(item_4),,
reset_boundary/s00_on,78,d(item_3),place,release
reset_boundary/s00_on,142,d(item_2),place,release
reset_boundary/s20_off,52,d(item_4),move_to,step
reset_boundary/s20_off,54,d(item_3),place,release
reset_boundary/s20_off,122,d(item_2),place,release
reset_boundary/s20_off,136,d(item_6),,
reset_boundary/s20_on,54,d(item_3),place,release
reset_boundary/s20_on,122,d(item_2),place,release
reset_boundary/s30_off,74,d(item_3),place,release
reset_boundary/s30_off,86,d(item_2),move_to,step
reset_boundary/s30_off,121,d(item_7),place,release
reset_boundary/s30_off,156,d(item_4),,
reset_boundary/s30_on,74,d(item_3),place,release
reset_boundary/s30_on,121,d(item_7),place,release
reset_boundary/s40_off,115,d(item_3),place,release
reset_boundary/s40_off,145,d(item_4),move_to,step
reset_boundary/s40_off,184,coffee,wait_at,stand
reset_boundary/s40_off,243,d(item_7),move_to,step
reset_boundary/s40_off,331,d(item_6),place,release
reset_boundary/s40_off,376,d(item_5),,
reset_boundary/s40_on,115,d(item_3),place,release
reset_boundary/s40_on,184,coffee,wait_at,stand
reset_boundary/s40_on,331,d(item_6),place,release
costdif2/s00_off,31,d(item_7),move_to,step
costdif2/s00_off,78,d(item_3),place,release
costdif2/s00_off,93,d(item_6),move_to,step
costdif2/s00_off,142,d(item_2),place,release
costdif2/s00_off,166,d(item_4),,
costdif2/s00_on,78,d(item_3),place,release
costdif2/s00_on,142,d(item_2),place,release
costdif2/s20_off,52,d(item_4),move_to,step
costdif2/s20_off,54,d(item_3),place,release
costdif2/s20_off,122,d(item_2),place,release
costdif2/s20_off,136,d(item_6),,
costdif2/s20_on,54,d(item_3),place,release
costdif2/s20_on,122,d(item_2),place,release
costdif2/s30_off,74,d(item_3),place,release
costdif2/s30_off,116,d(item_2),move_to,step
costdif2/s30_off,121,d(item_7),place,release
costdif2/s30_off,186,d(item_4),,
costdif2/s30_on,74,d(item_3),place,release
costdif2/s30_on,121,d(item_7),place,release
costdif2/s40_off,115,d(item_3),place,release
costdif2/s40_off,145,d(item_4),move_to,step
costdif2/s40_off,184,coffee,wait_at,stand
costdif2/s40_off,243,d(item_7),move_to,step
costdif2/s40_off,331,d(item_6),place,release
costdif2/s40_off,376,d(item_5),,
costdif2/s40_on,115,d(item_3),place,release
costdif2/s40_on,184,coffee,wait_at,stand
costdif2/s40_on,331,d(item_6),place,release
rawlogistic/s00_off,31,d(item_7),move_to,step
rawlogistic/s00_off,78,d(item_3),place,release
rawlogistic/s00_off,93,d(item_6),move_to,step
rawlogistic/s00_off,142,d(item_2),place,release
rawlogistic/s00_off,166,d(item_4),,
rawlogistic/s00_on,78,d(item_3),place,release
rawlogistic/s00_on,142,d(item_2),place,release
rawlogistic/s20_off,52,d(item_4),move_to,step
rawlogistic/s20_off,54,d(item_3),place,release
rawlogistic/s20_off,122,d(item_2),place,release
rawlogistic/s20_off,136,d(item_6),,
rawlogistic/s20_on,54,d(item_3),place,release
rawlogistic/s20_on,122,d(item_2),place,release
rawlogistic/s30_off,74,d(item_3),place,release
rawlogistic/s30_off,86,d(item_2),move_to,step
rawlogistic/s30_off,121,d(item_7),place,release
rawlogistic/s30_off,156,d(item_4),,
rawlogistic/s30_on,74,d(item_3),place,release
rawlogistic/s30_on,121,d(item_7),place,release
rawlogistic/s40_off,115,d(item_3),place,release
rawlogistic/s40_off,145,d(item_4),move_to,step
rawlogistic/s40_off,184,coffee,wait_at,stand
rawlogistic/s40_off,243,d(item_7),move_to,step
rawlogistic/s40_off,331,d(item_6),place,release
rawlogistic/s40_off,376,d(item_5),,
rawlogistic/s40_on,115,d(item_3),place,release
rawlogistic/s40_on,184,coffee,wait_at,stand
rawlogistic/s40_on,331,d(item_6),place,release
