ticks: base 379 new 379  eps=0.0005
t=0 base: most_likely=d(item_3) conf=0.304 dist=d(item_3)=0.304 coffee=0.251 d(item_5)=0.125 d(item_6)=0.103 d(item_4)=0.077 unknown=0.076 d(item_7)=0.037 ac=0.027
t=0 new: most_likely=d(item_3) conf=0.159 dist=d(item_3)=0.159 coffee=0.153 d(item_5)=0.140 d(item_6)=0.137 d(item_4)=0.135 d(item_7)=0.131 ac=0.130 unknown=0.016

== most_likely differences ==
  t=115 base=coffee(0.646) new=unknown(0.993)  human: deliver_item/place/release
  t=116 base=coffee(0.646) new=unknown(0.993)  human: deliver_item/place/None
  t=117 base=coffee(0.646) new=unknown(0.993)  human: None/None/None
  t=118 base=coffee(0.551) new=unknown(0.993)  human: coffee_break/move_to/step
  t=119 base=coffee(0.550) new=unknown(0.993)  human: coffee_break/move_to/step
  t=120 base=coffee(0.548) new=unknown(0.993)  human: coffee_break/move_to/step
  t=121 base=coffee(0.544) new=unknown(0.993)  human: coffee_break/move_to/step
  t=122 base=coffee(0.541) new=unknown(0.993)  human: coffee_break/move_to/step
  t=123 base=coffee(0.538) new=unknown(0.993)  human: coffee_break/move_to/step
  t=124 base=coffee(0.534) new=unknown(0.993)  human: coffee_break/move_to/step
  t=125 base=coffee(0.531) new=unknown(0.993)  human: coffee_break/move_to/step
  t=126 base=coffee(0.529) new=unknown(0.993)  human: coffee_break/move_to/step
  t=127 base=coffee(0.526) new=unknown(0.993)  human: coffee_break/move_to/step
  t=128 base=coffee(0.524) new=unknown(0.993)  human: coffee_break/move_to/step
  t=129 base=coffee(0.521) new=unknown(0.993)  human: coffee_break/move_to/step
  t=130 base=coffee(0.519) new=unknown(0.993)  human: coffee_break/move_to/step
  t=131 base=coffee(0.518) new=unknown(0.993)  human: coffee_break/move_to/step
  t=132 base=coffee(0.516) new=unknown(0.993)  human: coffee_break/move_to/step
  t=133 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/move_to/step
  t=134 base=coffee(0.513) new=unknown(0.993)  human: coffee_break/move_to/step
  t=135 base=coffee(0.512) new=unknown(0.993)  human: coffee_break/move_to/step
  t=136 base=coffee(0.511) new=unknown(0.993)  human: coffee_break/move_to/step
  t=137 base=coffee(0.510) new=unknown(0.993)  human: coffee_break/move_to/step
  t=138 base=coffee(0.509) new=unknown(0.993)  human: coffee_break/move_to/step
  t=139 base=coffee(0.508) new=unknown(0.993)  human: coffee_break/move_to/step
  t=140 base=coffee(0.508) new=unknown(0.993)  human: coffee_break/move_to/step
  t=141 base=coffee(0.508) new=unknown(0.993)  human: coffee_break/move_to/step
  t=142 base=coffee(0.508) new=unknown(0.993)  human: coffee_break/move_to/step
  t=143 base=coffee(0.511) new=unknown(0.993)  human: coffee_break/move_to/step
  t=144 base=coffee(0.510) new=unknown(0.993)  human: coffee_break/move_to/step
  t=145 base=coffee(0.518) new=unknown(0.993)  human: coffee_break/move_to/step
  t=146 base=coffee(0.518) new=unknown(0.993)  human: coffee_break/move_to/step
  t=147 base=coffee(0.517) new=unknown(0.993)  human: coffee_break/move_to/step
  t=148 base=coffee(0.516) new=unknown(0.993)  human: coffee_break/move_to/step
  t=149 base=coffee(0.516) new=unknown(0.993)  human: coffee_break/move_to/step
  t=150 base=coffee(0.515) new=unknown(0.993)  human: coffee_break/move_to/step
  t=151 base=coffee(0.515) new=unknown(0.993)  human: coffee_break/move_to/step
  t=152 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/move_to/step
  t=153 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/move_to/step
  t=154 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/move_to/None
  t=155 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=156 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=157 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=158 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=159 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=160 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=161 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=162 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=163 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=164 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=165 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=166 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=167 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=168 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=169 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=170 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=171 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=172 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=173 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=174 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=175 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=176 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=177 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=178 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=179 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
  t=180 base=coffee(0.514) new=unknown(0.993)  human: coffee_break/wait_at/stand
