ticks: base 379 new 383  eps=0.0005
t=0 base: most_likely=d(item_3) conf=0.159 dist=d(item_3)=0.159 coffee=0.153 d(item_5)=0.140 d(item_6)=0.137 d(item_4)=0.135 d(item_7)=0.131 ac=0.130 unknown=0.016
t=0 new: most_likely=d(item_3) conf=0.159 dist=d(item_3)=0.159 coffee=0.153 d(item_5)=0.140 d(item_6)=0.137 d(item_4)=0.135 d(item_7)=0.131 ac=0.130 unknown=0.016

== most_likely differences ==
  t=115 base=unknown(0.993) new=ac(0.164)  human: deliver_item/place/release
  t=116 base=unknown(0.993) new=ac(0.164)  human: deliver_item/place/None
  t=117 base=unknown(0.993) new=ac(0.164)  human: None/None/None
  t=118 base=unknown(0.993) new=coffee(0.174)  human: coffee_break/move_to/step
  t=119 base=unknown(0.993) new=coffee(0.187)  human: coffee_break/move_to/step
  t=120 base=unknown(0.993) new=coffee(0.201)  human: coffee_break/move_to/step
  t=121 base=unknown(0.993) new=coffee(0.217)  human: coffee_break/move_to/step
  t=122 base=unknown(0.993) new=coffee(0.235)  human: coffee_break/move_to/step
  t=123 base=unknown(0.993) new=coffee(0.255)  human: coffee_break/move_to/step
  t=124 base=unknown(0.993) new=coffee(0.277)  human: coffee_break/move_to/step
  t=125 base=unknown(0.993) new=coffee(0.301)  human: coffee_break/move_to/step
  t=126 base=unknown(0.993) new=coffee(0.328)  human: coffee_break/move_to/step
  t=127 base=unknown(0.993) new=coffee(0.356)  human: coffee_break/move_to/step
  t=128 base=unknown(0.993) new=coffee(0.385)  human: coffee_break/move_to/step
  t=129 base=unknown(0.993) new=coffee(0.415)  human: coffee_break/move_to/step
  t=130 base=unknown(0.993) new=coffee(0.446)  human: coffee_break/move_to/step
  t=131 base=unknown(0.993) new=coffee(0.476)  human: coffee_break/move_to/step
  t=132 base=unknown(0.993) new=coffee(0.505)  human: coffee_break/move_to/step
  t=133 base=unknown(0.993) new=coffee(0.534)  human: coffee_break/move_to/step
  t=134 base=unknown(0.993) new=coffee(0.561)  human: coffee_break/move_to/step
  t=135 base=unknown(0.993) new=coffee(0.588)  human: coffee_break/move_to/step
  t=136 base=unknown(0.993) new=coffee(0.613)  human: coffee_break/move_to/step
  t=137 base=unknown(0.993) new=coffee(0.638)  human: coffee_break/move_to/step
  t=138 base=unknown(0.993) new=coffee(0.662)  human: coffee_break/move_to/step
  t=139 base=unknown(0.993) new=coffee(0.684)  human: coffee_break/move_to/step
  t=140 base=unknown(0.993) new=coffee(0.705)  human: coffee_break/move_to/step
  t=141 base=unknown(0.993) new=coffee(0.725)  human: coffee_break/move_to/step
  t=142 base=unknown(0.993) new=coffee(0.744)  human: coffee_break/move_to/step
  t=143 base=unknown(0.993) new=coffee(0.762)  human: coffee_break/move_to/step
  t=144 base=unknown(0.993) new=coffee(0.779)  human: coffee_break/move_to/step
  t=145 base=unknown(0.993) new=ac(0.196)  human: coffee_break/move_to/step
  t=146 base=unknown(0.993) new=coffee(0.217)  human: coffee_break/move_to/step
  t=147 base=unknown(0.993) new=coffee(0.242)  human: coffee_break/move_to/step
  t=148 base=unknown(0.993) new=coffee(0.272)  human: coffee_break/move_to/step
  t=149 base=unknown(0.993) new=coffee(0.305)  human: coffee_break/move_to/step
  t=150 base=unknown(0.993) new=coffee(0.343)  human: coffee_break/move_to/step
  t=151 base=unknown(0.993) new=coffee(0.383)  human: coffee_break/move_to/step
  t=152 base=unknown(0.993) new=coffee(0.426)  human: coffee_break/move_to/step
  t=153 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/move_to/step
  t=154 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/move_to/None
  t=155 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=156 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=157 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=158 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=159 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=160 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=161 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=162 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=163 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=164 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=165 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=166 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=167 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=168 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=169 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=170 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=171 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=172 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=173 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=174 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=175 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=176 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=177 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=178 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=179 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=180 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=181 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=182 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=183 base=unknown(0.993) new=coffee(0.470)  human: coffee_break/wait_at/stand
  t=184 base=unknown(0.993) new=ac(0.243)  human: coffee_break/wait_at/stand
  t=185 base=unknown(0.993) new=ac(0.243)  human: coffee_break/wait_at/None
  t=186 base=unknown(0.993) new=ac(0.243)  human: None/None/None
  t=187 base=unknown(0.993) new=d(item_6)(0.247)  human: ac_activation/move_to/step
  t=188 base=unknown(0.993) new=d(item_6)(0.251)  human: ac_activation/move_to/step
  t=189 base=unknown(0.993) new=d(item_6)(0.255)  human: ac_activation/move_to/step
  t=190 base=unknown(0.993) new=d(item_6)(0.260)  human: ac_activation/move_to/step
  t=191 base=unknown(0.993) new=d(item_6)(0.265)  human: ac_activation/move_to/step
  t=192 base=unknown(0.993) new=d(item_6)(0.270)  human: ac_activation/move_to/step
  t=193 base=unknown(0.993) new=d(item_6)(0.275)  human: ac_activation/move_to/step
  t=194 base=unknown(0.993) new=d(item_6)(0.281)  human: ac_activation/move_to/step
  t=195 base=unknown(0.993) new=d(item_6)(0.287)  human: ac_activation/move_to/step
  t=196 base=unknown(0.993) new=d(item_6)(0.294)  human: ac_activation/move_to/step
  t=197 base=unknown(0.993) new=d(item_6)(0.301)  human: ac_activation/move_to/step
  t=198 base=unknown(0.993) new=d(item_6)(0.309)  human: ac_activation/move_to/step
  t=199 base=unknown(0.993) new=d(item_6)(0.317)  human: ac_activation/move_to/step
  t=200 base=unknown(0.993) new=d(item_6)(0.326)  human: ac_activation/move_to/step
  t=201 base=unknown(0.993) new=d(item_6)(0.335)  human: ac_activation/move_to/step
  t=202 base=unknown(0.993) new=d(item_6)(0.345)  human: ac_activation/move_to/step
  t=203 base=unknown(0.993) new=d(item_6)(0.355)  human: ac_activation/move_to/step
  t=204 base=unknown(0.993) new=d(item_6)(0.366)  human: ac_activation/move_to/step
  t=205 base=unknown(0.993) new=d(item_6)(0.377)  human: ac_activation/move_to/step
  t=206 base=unknown(0.993) new=d(item_6)(0.379)  human: ac_activation/move_to/None
  t=207 base=unknown(0.993) new=d(item_6)(0.382)  human: ac_activation/wait_at/stand
  t=208 base=unknown(0.993) new=d(item_6)(0.385)  human: ac_activation/wait_at/None
  t=209 base=unknown(0.993) new=d(item_6)(0.388)  human: None/None/None
  t=210 base=unknown(0.993) new=d(item_6)(0.397)  human: ac_activation/move_to/step
  t=211 base=unknown(0.993) new=d(item_5)(0.401)  human: ac_activation/move_to/step
  t=212 base=unknown(0.993) new=d(item_5)(0.420)  human: ac_activation/move_to/step
  t=213 base=unknown(0.993) new=d(item_5)(0.436)  human: ac_activation/move_to/step
  t=214 base=unknown(0.993) new=d(item_5)(0.449)  human: ac_activation/move_to/step
  t=215 base=unknown(0.993) new=d(item_5)(0.458)  human: ac_activation/move_to/step
  t=216 base=unknown(0.993) new=d(item_5)(0.462)  human: ac_activation/move_to/step
