ticks: base 379 new 379  eps=0.0005
t=0 base: most_likely=d(item_3) conf=0.398 dist=d(item_3)=0.398 coffee=0.328 d(item_6)=0.135 unknown=0.100 ac=0.036 d(item_4)=0.001 d(item_5)=0.001 d(item_7)=0.001
t=0 new: most_likely=d(item_3) conf=0.259 dist=d(item_3)=0.259 coffee=0.250 d(item_6)=0.224 ac=0.211 unknown=0.052 d(item_4)=0.001 d(item_5)=0.001 d(item_7)=0.001

== most_likely differences ==
  t=113 base=d(item_3)(0.929) new=unknown(0.612)  human: deliver_item/move_to/step
  t=114 base=d(item_3)(0.929) new=unknown(0.612)  human: deliver_item/move_to/None
  t=115 base=coffee(0.687) new=unknown(0.993)  human: deliver_item/place/release
  t=116 base=coffee(0.687) new=unknown(0.993)  human: deliver_item/place/None
  t=117 base=coffee(0.687) new=unknown(0.993)  human: None/None/None
  t=118 base=coffee(0.645) new=unknown(0.993)  human: coffee_break/move_to/step
  t=119 base=coffee(0.640) new=unknown(0.993)  human: coffee_break/move_to/step
  t=120 base=coffee(0.634) new=unknown(0.993)  human: coffee_break/move_to/step
  t=121 base=coffee(0.627) new=unknown(0.993)  human: coffee_break/move_to/step
  t=122 base=coffee(0.621) new=unknown(0.993)  human: coffee_break/move_to/step
  t=123 base=coffee(0.616) new=unknown(0.993)  human: coffee_break/move_to/step
  t=124 base=coffee(0.611) new=unknown(0.993)  human: coffee_break/move_to/step
  t=125 base=coffee(0.606) new=unknown(0.993)  human: coffee_break/move_to/step
  t=126 base=coffee(0.602) new=unknown(0.993)  human: coffee_break/move_to/step
  t=127 base=coffee(0.598) new=unknown(0.993)  human: coffee_break/move_to/step
  t=128 base=coffee(0.594) new=unknown(0.993)  human: coffee_break/move_to/step
  t=129 base=coffee(0.591) new=unknown(0.993)  human: coffee_break/move_to/step
  t=130 base=coffee(0.588) new=unknown(0.993)  human: coffee_break/move_to/step
  t=131 base=coffee(0.586) new=unknown(0.993)  human: coffee_break/move_to/step
  t=132 base=coffee(0.583) new=unknown(0.993)  human: coffee_break/move_to/step
  t=133 base=coffee(0.581) new=unknown(0.993)  human: coffee_break/move_to/step
  t=134 base=coffee(0.579) new=unknown(0.993)  human: coffee_break/move_to/step
  t=135 base=coffee(0.577) new=unknown(0.993)  human: coffee_break/move_to/step
  t=136 base=coffee(0.576) new=unknown(0.993)  human: coffee_break/move_to/step
  t=137 base=coffee(0.574) new=unknown(0.993)  human: coffee_break/move_to/step
  t=138 base=coffee(0.573) new=unknown(0.993)  human: coffee_break/move_to/step
  t=139 base=coffee(0.571) new=unknown(0.993)  human: coffee_break/move_to/step
  t=140 base=coffee(0.570) new=unknown(0.993)  human: coffee_break/move_to/step
  t=141 base=coffee(0.569) new=unknown(0.993)  human: coffee_break/move_to/step
  t=142 base=coffee(0.568) new=unknown(0.993)  human: coffee_break/move_to/step
  t=143 base=coffee(0.567) new=unknown(0.993)  human: coffee_break/move_to/step
  t=144 base=coffee(0.566) new=unknown(0.993)  human: coffee_break/move_to/step
  t=145 base=coffee(0.565) new=unknown(0.993)  human: coffee_break/move_to/step
