ticks: base 379 new 379  eps=0.0005
t=0 base: most_likely=d(item_3) conf=0.266 dist=d(item_3)=0.266 coffee=0.257 d(item_6)=0.230 ac=0.217 unknown=0.027 d(item_4)=0.001 d(item_5)=0.001 d(item_7)=0.001
t=0 new: most_likely=d(item_3) conf=0.266 dist=d(item_3)=0.266 coffee=0.257 d(item_6)=0.230 ac=0.217 unknown=0.027 d(item_4)=0.001 d(item_5)=0.001 d(item_7)=0.001

== most_likely differences ==
  t=115 base=unknown(0.993) new=ac(0.321)  human: deliver_item/place/release
  t=116 base=unknown(0.993) new=ac(0.321)  human: deliver_item/place/None
  t=117 base=unknown(0.993) new=ac(0.321)  human: None/None/None
  t=118 base=unknown(0.993) new=coffee(0.340)  human: coffee_break/move_to/step
  t=119 base=unknown(0.993) new=coffee(0.360)  human: coffee_break/move_to/step
  t=120 base=unknown(0.993) new=coffee(0.383)  human: coffee_break/move_to/step
  t=121 base=unknown(0.993) new=coffee(0.408)  human: coffee_break/move_to/step
  t=122 base=unknown(0.993) new=coffee(0.435)  human: coffee_break/move_to/step
  t=123 base=unknown(0.993) new=coffee(0.463)  human: coffee_break/move_to/step
  t=124 base=unknown(0.993) new=coffee(0.492)  human: coffee_break/move_to/step
  t=125 base=unknown(0.993) new=coffee(0.520)  human: coffee_break/move_to/step
  t=126 base=unknown(0.993) new=coffee(0.549)  human: coffee_break/move_to/step
  t=127 base=unknown(0.993) new=coffee(0.576)  human: coffee_break/move_to/step
  t=128 base=unknown(0.993) new=coffee(0.603)  human: coffee_break/move_to/step
  t=129 base=unknown(0.993) new=coffee(0.628)  human: coffee_break/move_to/step
  t=130 base=unknown(0.993) new=coffee(0.653)  human: coffee_break/move_to/step
  t=131 base=unknown(0.993) new=coffee(0.676)  human: coffee_break/move_to/step
  t=132 base=unknown(0.993) new=coffee(0.698)  human: coffee_break/move_to/step
  t=133 base=unknown(0.993) new=coffee(0.719)  human: coffee_break/move_to/step
  t=134 base=unknown(0.993) new=coffee(0.739)  human: coffee_break/move_to/step
  t=135 base=unknown(0.993) new=coffee(0.757)  human: coffee_break/move_to/step
  t=136 base=unknown(0.993) new=coffee(0.774)  human: coffee_break/move_to/step
  t=137 base=unknown(0.993) new=coffee(0.790)  human: coffee_break/move_to/step
