condition,step,hypothesis,expected_action,origin,origin_odo
s00_off,-1,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,-1,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,-1,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,-1,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,-1,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,0,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,0,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,0,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,0,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,0,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,1,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,1,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,1,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,1,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,1,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,2,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,2,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,2,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,2,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,2,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,3,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,3,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,3,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,3,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,3,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,4,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,4,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,4,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,4,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,4,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,5,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,5,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,5,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,5,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,5,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,6,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,6,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,6,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,6,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,6,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,7,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,7,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,7,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,7,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,7,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,8,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,8,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,8,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,8,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,8,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,9,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,9,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,9,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
s00_off,9,d(item_6),move_to(?target=item_6),"(350, 200)",0.0
s00_off,9,d(item_7),move_to(?target=item_7),"(350, 200)",0.0
s00_off,10,d(item_2),move_to(?target=item_2),"(350, 200)",0.0
s00_off,10,d(item_3),move_to(?target=item_3),"(350, 200)",0.0
s00_off,10,d(item_4),move_to(?target=item_4),"(350, 200)",0.0
