beta,unknown,condition,crossings,n_cross,n_wrong_cross,wrong_theta_ticks,wrong_theta_task_ticks,correct_theta_ticks,max_conf,reveals,unknown_when_idle,coffee_max_seg2,coffee_theta_ticks_seg2,deliver_max_seg2,item6_3a_end,item6_3b_start_end,item6_3b_falls,max_task_seg3,unknown_end_seg3,ac_max_184_271,ac_most_likely_ticks_184_271,at_272
0.001,0.01,s40_on,,0,0,0,0,0,0.687,d(item_3):never(max 0.69) coffee:never(max 0.66) d(item_6):never(max 0.63),0.357,0.657,0,0.384,0.431,0.431->0.463,False,0.519,0.161,0.519,29,d(item_6) 0.555 (item_6 0.555)
0.001,0.01,s30_on,74:d(item_7)!,1,1,4,2,81,0.995,"d(item_3):never(max 0.75) d(item_7):76(pre-grasp,grasp 98)",0.995,,,,,,,,,,,
0.001,0.01,s00_on,59:d(item_3),1,0,4,2,106,0.995,"d(item_3):59(post-grasp,grasp 41) d(item_2):80(pre-grasp,grasp 111)",0.995,,,,,,,,,,,
0.001,0.02,s40_on,,0,0,0,0,0,0.739,d(item_3):never(max 0.68) coffee:never(max 0.64) d(item_6):never(max 0.51),0.478,0.637,0,0.351,0.391,0.391->0.399,False,0.475,0.278,0.475,29,d(item_6) 0.465 (item_6 0.465)
0.001,0.02,s30_on,74:d(item_7)!,1,1,4,2,81,0.995,"d(item_3):never(max 0.74) d(item_7):76(pre-grasp,grasp 98)",0.995,,,,,,,,,,,
0.001,0.02,s00_on,61:d(item_3),1,0,4,2,104,0.995,"d(item_3):61(post-grasp,grasp 41) d(item_2):80(pre-grasp,grasp 111)",0.995,,,,,,,,,,,
0.001,0.05,s40_on,331:unknown!,1,1,2,0,46,0.873,d(item_3):never(max 0.67) coffee:never(max 0.58) d(item_6):never(max 0.33),0.638,0.584,0,0.28,0.305,0.305->0.281,True,0.379,0.489,0.379,14,unknown 0.544 (item_6 0.312)
0.001,0.05,s30_on,74:d(item_7)!,1,1,4,2,81,0.995,"d(item_3):never(max 0.73) d(item_7):76(pre-grasp,grasp 98)",0.995,,,,,,,,,,,
0.001,0.05,s00_on,64:d(item_3),1,0,4,2,101,0.995,"d(item_3):64(post-grasp,grasp 41) d(item_2):80(pre-grasp,grasp 111)",0.995,,,,,,,,,,,
0.001,0.1,s40_on,331:unknown!,1,1,2,0,46,0.93,d(item_3):never(max 0.65) coffee:never(max 0.51) d(item_6):never(max 0.21),0.749,0.512,0,0.209,0.223,0.223->0.188,True,0.283,0.656,0.283,0,unknown 0.703 (item_6 0.202)
0.001,0.1,s30_on,74:d(item_7)!,1,1,4,2,81,0.995,"d(item_3):never(max 0.70) d(item_7):76(pre-grasp,grasp 98)",0.995,,,,,,,,,,,
0.001,0.1,s00_on,71:d(item_3) 142:unknown!,2,1,2,0,32,0.995,"d(item_3):71(post-grasp,grasp 41) d(item_2):never(max 0.66)",0.995,,,,,,,,,,,
