condition,step,hypothesis,human_action,human_micro
s00_off,31,d(item_7),move_to,step
s00_off,78,d(item_3),place,release
s00_off,93,d(item_6),move_to,step
s00_off,142,d(item_2),place,release
s00_off,166,d(item_4),,
s00_on,78,d(item_3),place,release
s00_on,142,d(item_2),place,release
s20_off,52,d(item_4),move_to,step
s20_off,54,d(item_3),place,release
s20_off,122,d(item_2),place,release
s20_off,136,d(item_6),,
s20_on,54,d(item_3),place,release
s20_on,122,d(item_2),place,release
s30_off,74,d(item_3),place,release
s30_off,86,d(item_2),move_to,step
s30_off,121,d(item_7),place,release
s30_off,156,d(item_4),,
s30_on,74,d(item_3),place,release
s30_on,121,d(item_7),place,release
s40_off,115,d(item_3),place,release
s40_off,145,d(item_4),move_to,step
s40_off,184,coffee,wait_at,stand
s40_off,243,d(item_7),move_to,step
s40_off,331,d(item_6),place,release
s40_off,376,d(item_5),,
s40_on,115,d(item_3),place,release
s40_on,184,coffee,wait_at,stand
s40_on,331,d(item_6),place,release
nobound/s00_off,31,d(item_7),move_to,step
nobound/s00_off,78,d(item_3),place,release
nobound/s00_off,93,d(item_6),move_to,step
nobound/s00_off,142,d(item_2),place,release
nobound/s00_off,166,d(item_4),,
nobound/s00_on,78,d(item_3),place,release
nobound/s00_on,142,d(item_2),place,release
nobound/s20_off,52,d(item_4),move_to,step
nobound/s20_off,54,d(item_3),place,release
nobound/s20_off,122,d(item_2),place,release
nobound/s20_off,136,d(item_6),,
nobound/s20_on,54,d(item_3),place,release
nobound/s20_on,122,d(item_2),place,release
nobound/s30_off,74,d(item_3),place,release
nobound/s30_off,86,d(item_2),move_to,step
nobound/s30_off,121,d(item_7),place,release
nobound/s30_off,156,d(item_4),,
nobound/s30_on,74,d(item_3),place,release
nobound/s30_on,121,d(item_7),place,release
nobound/s40_off,115,d(item_3),place,release
nobound/s40_off,145,d(item_4),move_to,step
nobound/s40_off,184,coffee,wait_at,stand
nobound/s40_off,243,d(item_7),move_to,step
nobound/s40_off,331,d(item_6),place,release
nobound/s40_off,376,d(item_5),,
nobound/s40_on,115,d(item_3),place,release
nobound/s40_on,184,coffee,wait_at,stand
nobound/s40_on,331,d(item_6),place,release
A_release/s00_off,31,d(item_7),move_to,step
A_release/s00_off,78,d(item_3),place,release
A_release/s00_off,93,d(item_6),move_to,step
A_release/s00_off,142,d(item_2),place,release
A_release/s00_off,166,d(item_4),,
A_release/s00_on,78,d(item_3),place,release
A_release/s00_on,142,d(item_2),place,release
A_release/s20_off,52,d(item_4),move_to,step
A_release/s20_off,54,d(item_3),place,release
A_release/s20_off,122,d(item_2),place,release
A_release/s20_off,136,d(item_6),,
A_release/s20_on,54,d(item_3),place,release
A_release/s20_on,122,d(item_2),place,release
A_release/s30_off,74,d(item_3),place,release
A_release/s30_off,86,d(item_2),move_to,step
A_release/s30_off,121,d(item_7),place,release
A_release/s30_off,156,d(item_4),,
A_release/s30_on,74,d(item_3),place,release
A_release/s30_on,121,d(item_7),place,release
A_release/s40_off,115,d(item_3),place,release
A_release/s40_off,145,d(item_4),move_to,step
A_release/s40_off,184,coffee,wait_at,stand
A_release/s40_off,243,d(item_7),move_to,step
A_release/s40_off,331,d(item_6),place,release
A_release/s40_off,376,d(item_5),,
A_release/s40_on,115,d(item_3),place,release
A_release/s40_on,184,coffee,wait_at,stand
A_release/s40_on,331,d(item_6),place,release
B/s00_off,31,d(item_7),move_to,step
B/s00_off,78,d(item_3),place,release
B/s00_off,93,d(item_6),move_to,step
B/s00_off,142,d(item_2),place,release
B/s00_off,166,d(item_4),,
B/s00_on,78,d(item_3),place,release
B/s00_on,142,d(item_2),place,release
B/s20_off,52,d(item_4),move_to,step
B/s20_off,54,d(item_3),place,release
B/s20_off,122,d(item_2),place,release
B/s20_off,142,d(item_7),,
B/s20_on,54,d(item_3),place,release
B/s20_on,122,d(item_2),place,release
B/s30_off,74,d(item_3),place,release
B/s30_off,86,d(item_2),move_to,step
B/s30_off,121,d(item_7),place,release
B/s30_off,156,d(item_4),,
B/s30_on,74,d(item_3),place,release
B/s30_on,121,d(item_7),place,release
B/s40_off,115,d(item_3),place,release
B/s40_off,145,d(item_4),move_to,step
B/s40_off,184,coffee,wait_at,stand
B/s40_off,243,d(item_7),move_to,step
B/s40_off,331,d(item_6),place,release
B/s40_off,376,d(item_5),,
B/s40_on,115,d(item_3),place,release
B/s40_on,184,coffee,wait_at,stand
B/s40_on,331,d(item_6),place,release
C5/s00_off,31,d(item_7),move_to,step
C5/s00_off,78,d(item_3),place,release
C5/s00_off,93,d(item_6),move_to,step
C5/s00_off,142,d(item_2),place,release
C5/s00_off,166,d(item_4),,
C5/s00_on,78,d(item_3),place,release
C5/s00_on,142,d(item_2),place,release
C5/s20_off,52,d(item_4),move_to,step
C5/s20_off,54,d(item_3),place,release
C5/s20_off,122,d(item_2),place,release
C5/s20_off,136,d(item_6),,
C5/s20_on,54,d(item_3),place,release
C5/s20_on,122,d(item_2),place,release
C5/s30_off,74,d(item_3),place,release
C5/s30_off,86,d(item_2),move_to,step
C5/s30_off,121,d(item_7),place,release
C5/s30_off,156,d(item_4),,
C5/s30_on,74,d(item_3),place,release
C5/s30_on,121,d(item_7),place,release
C5/s40_off,115,d(item_3),place,release
C5/s40_off,145,d(item_4),move_to,step
C5/s40_off,184,coffee,wait_at,stand
C5/s40_off,243,d(item_7),move_to,step
C5/s40_off,331,d(item_6),place,release
C5/s40_off,376,d(item_5),,
C5/s40_on,115,d(item_3),place,release
C5/s40_on,184,coffee,wait_at,stand
C5/s40_on,331,d(item_6),place,release
D/s00_off,31,d(item_7),move_to,step
D/s00_off,78,d(item_3),place,release
D/s00_off,93,d(item_6),move_to,step
D/s00_off,142,d(item_2),place,release
D/s00_off,166,d(item_4),,
D/s00_on,78,d(item_3),place,release
D/s00_on,142,d(item_2),place,release
D/s20_off,52,d(item_4),move_to,step
D/s20_off,54,d(item_3),place,release
D/s20_off,122,d(item_2),place,release
D/s20_off,136,d(item_6),,
D/s20_on,54,d(item_3),place,release
D/s20_on,122,d(item_2),place,release
D/s30_off,74,d(item_3),place,release
D/s30_off,86,d(item_2),move_to,step
D/s30_off,121,d(item_7),place,release
D/s30_off,161,d(item_4),,
D/s30_on,74,d(item_3),place,release
D/s30_on,121,d(item_7),place,release
D/s40_off,115,d(item_3),place,release
D/s40_off,145,d(item_4),move_to,step
D/s40_off,184,coffee,wait_at,stand
D/s40_off,243,d(item_7),move_to,step
D/s40_off,331,d(item_6),place,release
D/s40_off,376,d(item_5),,
D/s40_on,115,d(item_3),place,release
D/s40_on,184,coffee,wait_at,stand
D/s40_on,331,d(item_6),place,release
fold/s00_off,31,d(item_7),move_to,step
fold/s00_off,78,d(item_3),place,release
fold/s00_off,93,d(item_6),move_to,step
fold/s00_off,142,d(item_2),place,release
fold/s00_off,166,d(item_4),,
fold/s00_on,78,d(item_3),place,release
fold/s00_on,142,d(item_2),place,release
fold/s20_off,52,d(item_4),move_to,step
fold/s20_off,54,d(item_3),place,release
fold/s20_off,122,d(item_2),place,release
fold/s20_off,136,d(item_6),,
fold/s20_on,54,d(item_3),place,release
fold/s20_on,122,d(item_2),place,release
fold/s30_off,74,d(item_3),place,release
fold/s30_off,86,d(item_2),move_to,step
fold/s30_off,121,d(item_7),place,release
fold/s30_off,156,d(item_4),,
fold/s30_on,74,d(item_3),place,release
fold/s30_on,121,d(item_7),place,release
fold/s40_off,115,d(item_3),place,release
fold/s40_off,145,d(item_4),move_to,step
fold/s40_off,184,coffee,wait_at,stand
fold/s40_off,243,d(item_7),move_to,step
fold/s40_off,331,d(item_6),place,release
fold/s40_off,376,d(item_5),,
fold/s40_on,115,d(item_3),place,release
fold/s40_on,184,coffee,wait_at,stand
fold/s40_on,331,d(item_6),place,release
ungated/s00_off,31,d(item_7),move_to,step
ungated/s00_off,78,d(item_3),place,release
ungated/s00_off,93,d(item_6),move_to,step
ungated/s00_off,142,d(item_2),place,release
ungated/s00_off,166,d(item_4),,
ungated/s00_on,78,d(item_3),place,release
ungated/s00_on,142,d(item_2),place,release
ungated/s20_off,54,d(item_3),place,release
ungated/s20_off,82,d(item_6),move_to,step
ungated/s20_off,122,d(item_2),place,release
ungated/s20_off,142,d(item_4),,
ungated/s20_on,54,d(item_3),place,release
ungated/s20_on,122,d(item_2),place,release
ungated/s30_off,74,d(item_3),place,release
ungated/s30_off,86,d(item_2),move_to,step
ungated/s30_off,121,d(item_7),place,release
ungated/s30_off,156,d(item_4),,
ungated/s30_on,74,d(item_3),place,release
ungated/s30_on,121,d(item_7),place,release
ungated/s40_off,115,d(item_3),place,release
ungated/s40_off,145,d(item_4),move_to,step
ungated/s40_off,184,coffee,wait_at,stand
ungated/s40_off,243,d(item_7),move_to,step
ungated/s40_off,331,d(item_6),place,release
ungated/s40_off,376,d(item_5),,
ungated/s40_on,115,d(item_3),place,release
ungated/s40_on,184,coffee,wait_at,stand
ungated/s40_on,331,d(item_6),place,release
ownshelf/s00_off,31,d(item_7),move_to,step
ownshelf/s00_off,78,d(item_3),place,release
ownshelf/s00_off,93,d(item_6),move_to,step
ownshelf/s00_off,142,d(item_2),place,release
ownshelf/s00_off,166,d(item_4),,
ownshelf/s00_on,78,d(item_3),place,release
ownshelf/s00_on,142,d(item_2),place,release
ownshelf/s20_off,52,d(item_4),move_to,step
ownshelf/s20_off,54,d(item_3),place,release
ownshelf/s20_off,122,d(item_2),place,release
ownshelf/s20_off,136,d(item_6),,
ownshelf/s20_on,54,d(item_3),place,release
ownshelf/s20_on,122,d(item_2),place,release
ownshelf/s30_off,74,d(item_3),place,release
ownshelf/s30_off,86,d(item_2),move_to,step
ownshelf/s30_off,121,d(item_7),place,release
ownshelf/s30_off,161,d(item_4),,
ownshelf/s30_on,74,d(item_3),place,release
ownshelf/s30_on,121,d(item_7),place,release
ownshelf/s40_off,115,d(item_3),place,release
ownshelf/s40_off,145,d(item_4),move_to,step
ownshelf/s40_off,184,coffee,wait_at,stand
ownshelf/s40_off,243,d(item_7),move_to,step
ownshelf/s40_off,331,d(item_6),place,release
ownshelf/s40_off,376,d(item_5),,
ownshelf/s40_on,115,d(item_3),place,release
ownshelf/s40_on,184,coffee,wait_at,stand
ownshelf/s40_on,331,d(item_6),place,release
