ticks: base 379 new 379  eps=0.0005
t=0 base: most_likely=d(item_3) conf=0.159 dist=d(item_3)=0.159 coffee=0.153 d(item_5)=0.140 d(item_6)=0.137 d(item_4)=0.135 d(item_7)=0.131 ac=0.130 unknown=0.016
t=0 new: most_likely=d(item_3) conf=0.159 dist=d(item_3)=0.159 coffee=0.153 d(item_5)=0.140 d(item_6)=0.137 d(item_4)=0.135 d(item_7)=0.131 ac=0.130 unknown=0.016

== most_likely differences ==
  t=116 base=unknown(0.993) new=ac(0.474)  human: deliver_item/place/None
  t=117 base=unknown(0.993) new=ac(0.474)  human: None/None/None
  t=118 base=unknown(0.993) new=coffee(0.502)  human: coffee_break/move_to/step
  t=119 base=unknown(0.993) new=coffee(0.534)  human: coffee_break/move_to/step
  t=120 base=unknown(0.993) new=coffee(0.570)  human: coffee_break/move_to/step
  t=121 base=unknown(0.993) new=coffee(0.608)  human: coffee_break/move_to/step
  t=122 base=unknown(0.993) new=coffee(0.648)  human: coffee_break/move_to/step
  t=123 base=unknown(0.993) new=coffee(0.687)  human: coffee_break/move_to/step
  t=124 base=unknown(0.993) new=coffee(0.725)  human: coffee_break/move_to/step
  t=125 base=unknown(0.993) new=coffee(0.759)  human: coffee_break/move_to/step
  t=126 base=unknown(0.993) new=coffee(0.789)  human: coffee_break/move_to/step
  t=127 base=unknown(0.993) new=coffee(0.815)  human: coffee_break/move_to/step
  t=128 base=unknown(0.993) new=coffee(0.836)  human: coffee_break/move_to/step
  t=129 base=unknown(0.993) new=coffee(0.853)  human: coffee_break/move_to/step
  t=130 base=unknown(0.993) new=coffee(0.866)  human: coffee_break/move_to/step
  t=131 base=unknown(0.993) new=coffee(0.876)  human: coffee_break/move_to/step
  t=132 base=unknown(0.993) new=coffee(0.884)  human: coffee_break/move_to/step
  t=133 base=unknown(0.993) new=coffee(0.890)  human: coffee_break/move_to/step
  t=134 base=unknown(0.993) new=coffee(0.894)  human: coffee_break/move_to/step
  t=135 base=unknown(0.993) new=coffee(0.897)  human: coffee_break/move_to/step
  t=136 base=unknown(0.993) new=coffee(0.899)  human: coffee_break/move_to/step
  t=137 base=unknown(0.993) new=coffee(0.901)  human: coffee_break/move_to/step
  t=138 base=unknown(0.993) new=coffee(0.902)  human: coffee_break/move_to/step
  t=139 base=unknown(0.993) new=coffee(0.903)  human: coffee_break/move_to/step
  t=140 base=unknown(0.993) new=coffee(0.903)  human: coffee_break/move_to/step
  t=141 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=142 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=143 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=144 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=145 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=146 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=147 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=148 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=149 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=150 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=151 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=152 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=153 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/step
  t=154 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/move_to/None
  t=155 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=156 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=157 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=158 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=159 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=160 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=161 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=162 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=163 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=164 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=165 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=166 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=167 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=168 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=169 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=170 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=171 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=172 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=173 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=174 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=175 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=176 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=177 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=178 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=179 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=180 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=181 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=182 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=183 base=unknown(0.993) new=coffee(0.904)  human: coffee_break/wait_at/stand
  t=185 base=unknown(0.993) new=ac(0.904)  human: coffee_break/wait_at/None
  t=186 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=187 base=unknown(0.993) new=ac(0.900)  human: ac_activation/move_to/step
  t=188 base=unknown(0.993) new=ac(0.895)  human: ac_activation/move_to/step
  t=189 base=unknown(0.993) new=ac(0.890)  human: ac_activation/move_to/step
  t=190 base=unknown(0.993) new=ac(0.884)  human: ac_activation/move_to/step
  t=191 base=unknown(0.993) new=ac(0.878)  human: ac_activation/move_to/step
  t=192 base=unknown(0.993) new=ac(0.870)  human: ac_activation/move_to/step
  t=193 base=unknown(0.993) new=ac(0.862)  human: ac_activation/move_to/step
  t=194 base=unknown(0.993) new=ac(0.852)  human: ac_activation/move_to/step
  t=195 base=unknown(0.993) new=ac(0.841)  human: ac_activation/move_to/step
  t=196 base=unknown(0.993) new=ac(0.829)  human: ac_activation/move_to/step
  t=197 base=unknown(0.993) new=ac(0.815)  human: ac_activation/move_to/step
  t=198 base=unknown(0.993) new=ac(0.798)  human: ac_activation/move_to/step
  t=199 base=unknown(0.993) new=ac(0.780)  human: ac_activation/move_to/step
  t=200 base=unknown(0.993) new=ac(0.759)  human: ac_activation/move_to/step
  t=201 base=unknown(0.993) new=ac(0.736)  human: ac_activation/move_to/step
  t=202 base=unknown(0.993) new=ac(0.709)  human: ac_activation/move_to/step
  t=203 base=unknown(0.993) new=ac(0.680)  human: ac_activation/move_to/step
  t=204 base=unknown(0.993) new=ac(0.647)  human: ac_activation/move_to/step
  t=205 base=unknown(0.993) new=ac(0.611)  human: ac_activation/move_to/step
  t=206 base=unknown(0.993) new=ac(0.611)  human: ac_activation/move_to/None
  t=207 base=unknown(0.993) new=ac(0.611)  human: ac_activation/wait_at/stand
  t=208 base=unknown(0.993) new=ac(0.611)  human: ac_activation/wait_at/None
  t=209 base=unknown(0.993) new=ac(0.611)  human: None/None/None
  t=210 base=unknown(0.993) new=ac(0.522)  human: ac_activation/move_to/step
  t=332 base=unknown(0.993) new=ac(0.904)  human: deliver_item/place/None
  t=333 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=334 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=335 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=336 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=337 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=338 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=339 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=340 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=341 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=342 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=343 base=unknown(0.993) new=ac(0.904)  human: None/None/None
  t=344 base=unknown(0.993) new=ac(0.904)  human: None/None/None
