condition,variant,ac_max_184_271,ac_most_likely_ticks_184_271,at_272,coffee_max_seg2,coffee_theta_ticks_seg2,correct_theta_ticks,crossings,deliver_max_seg2,item6_3a_end,item6_3b_falls,item6_3b_start_end,max_conf,max_task_seg3,n_cross,n_wrong_cross,reveals,unknown_end_seg3,unknown_when_idle,wrong_theta_task_ticks,wrong_theta_ticks
s00_off,base,,,,,,64,39:d(item_3),,,,,0.995,,1,0,"d(item_3):39(pre-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
s00_on,base,,,,,,92,11:d(item_3),,,,,0.995,,1,0,"d(item_3):11(pre-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
s20_off,base,,,,,,99,31:d(item_3),,,,,0.995,,1,0,"d(item_3):31(post-grasp,grasp 22) d(item_2):never(max 0.00)",,0.995,0,70
s20_on,base,,,,,,124,6:d(item_3),,,,,0.995,,1,0,"d(item_3):6(pre-grasp,grasp 22) d(item_2):never(max 0.00)",,0.995,0,70
s30_off,base,,,,,,82,28:d(item_3),,,,,0.995,,1,0,"d(item_3):28(pre-grasp,grasp 39) d(item_7):never(max 0.00)",,0.995,0,49
s30_on,base,,,,,,90,21:d(item_3),,,,,0.995,,1,0,"d(item_3):21(pre-grasp,grasp 39) d(item_7):never(max 0.00)",,0.995,0,49
s40_off,base,0.904,26,unknown 0.993 (item_6 0.001),0.904,59,171,19:d(item_3) 125:coffee 214:unknown,0.001,0.001,True,0.001->0.001,0.993,0.904,3,0,"d(item_3):19(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.992,0.301,63,167
s40_on,base,0.904,26,unknown 0.993 (item_6 0.001),0.904,59,171,19:d(item_3) 125:coffee 214:unknown,0.001,0.001,False,0.001->0.001,0.993,0.904,3,0,"d(item_3):19(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.992,0.301,63,167
s00_off,nobound,,,,,,64,39:d(item_3),,,,,0.995,,1,0,"d(item_3):39(pre-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
s00_on,nobound,,,,,,92,11:d(item_3),,,,,0.995,,1,0,"d(item_3):11(pre-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
s20_off,nobound,,,,,,99,31:d(item_3),,,,,0.995,,1,0,"d(item_3):31(post-grasp,grasp 22) d(item_2):never(max 0.00)",,0.995,0,70
s20_on,nobound,,,,,,124,6:d(item_3),,,,,0.995,,1,0,"d(item_3):6(pre-grasp,grasp 22) d(item_2):never(max 0.00)",,0.995,0,70
s30_off,nobound,,,,,,82,28:d(item_3),,,,,0.995,,1,0,"d(item_3):28(pre-grasp,grasp 39) d(item_7):never(max 0.00)",,0.995,0,49
s30_on,nobound,,,,,,90,21:d(item_3),,,,,0.995,,1,0,"d(item_3):21(pre-grasp,grasp 39) d(item_7):never(max 0.00)",,0.995,0,49
s40_off,nobound,0.001,0,unknown 0.993 (item_6 0.001),0.001,0,186,19:d(item_3),0.001,0.001,True,0.001->0.001,0.993,0.001,1,0,"d(item_3):19(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.993,0,174
s40_on,nobound,0.001,0,unknown 0.993 (item_6 0.001),0.001,0,186,19:d(item_3),0.001,0.001,True,0.001->0.001,0.993,0.001,1,0,"d(item_3):19(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.993,0,174
s00_off,A_release,,,,,,64,39:d(item_3),,,,,0.995,,1,0,"d(item_3):39(pre-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
s00_on,A_release,,,,,,92,11:d(item_3),,,,,0.995,,1,0,"d(item_3):11(pre-grasp,grasp 41) d(item_2):never(max 0.00)",,0.995,0,66
