beta,unknown,condition,crossings,n_cross,n_wrong_cross,wrong_theta_ticks,wrong_theta_task_ticks,correct_theta_ticks,max_conf,reveals,unknown_when_idle,coffee_max_seg2,coffee_theta_ticks_seg2,deliver_max_seg2,item6_3a_end,item6_3b_start_end,item6_3b_falls,max_task_seg3,unknown_end_seg3,ac_max_184_271,ac_most_likely_ticks_184_271,at_272
0.005,0.05,s40_on,28:d(item_3) 130:coffee 235:unknown!,3,1,177,78,141,0.993,"d(item_3):28(pre-grasp,grasp 60) coffee:130(no-grasp,grasp None) d(item_6):never(max 0.00)",0.137,0.943,54,0.001,0.001,0.001->0.001,True,0.947,0.709,0.947,37,unknown 0.973 (item_6 0.001)
0.005,0.05,s30_on,29:d(item_3),1,0,49,0,81,0.995,"d(item_3):29(pre-grasp,grasp 39) d(item_7):never(max 0.01)",0.995,,,,,,,,,,,
0.005,0.05,s00_on,16:d(item_3),1,0,66,0,87,0.995,"d(item_3):16(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.07,s40_on,29:d(item_3) 131:coffee 226:unknown,3,0,180,76,143,0.993,"d(item_3):29(pre-grasp,grasp 60) coffee:131(no-grasp,grasp None) d(item_6):never(max 0.00)",0.168,0.925,53,0.001,0.001,0.001->0.001,True,0.929,0.772,0.929,35,unknown 0.979 (item_6 0.001)
0.005,0.07,s30_on,30:d(item_3),1,0,49,0,80,0.995,"d(item_3):30(pre-grasp,grasp 39) d(item_7):never(max 0.01)",0.995,,,,,,,,,,,
0.005,0.07,s00_on,17:d(item_3),1,0,66,0,86,0.995,"d(item_3):17(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.1,s40_on,30:d(item_3) 132:coffee 224:unknown,3,0,178,74,143,0.993,"d(item_3):30(pre-grasp,grasp 60) coffee:132(no-grasp,grasp None) d(item_6):never(max 0.00)",0.206,0.9,52,0.001,0.001,0.001->0.001,True,0.904,0.828,0.904,33,unknown 0.984 (item_6 0.001)
0.005,0.1,s30_on,31:d(item_3),1,0,49,0,79,0.995,"d(item_3):31(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.1,s00_on,18:d(item_3),1,0,66,0,85,0.995,"d(item_3):18(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.14,s40_on,32:d(item_3) 133:coffee 222:unknown,3,0,176,72,142,0.993,"d(item_3):32(pre-grasp,grasp 60) coffee:133(no-grasp,grasp None) d(item_6):never(max 0.00)",0.248,0.869,51,0.001,0.001,0.001->0.001,True,0.872,0.869,0.872,31,unknown 0.987 (item_6 0.001)
0.005,0.14,s30_on,33:d(item_3),1,0,49,0,79,0.995,"d(item_3):33(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.14,s00_on,19:d(item_3),1,0,66,0,84,0.995,"d(item_3):19(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.2,s40_on,35:d(item_3) 136:coffee 220:unknown,3,0,166,62,138,0.993,"d(item_3):35(pre-grasp,grasp 60) coffee:136(no-grasp,grasp None) d(item_6):never(max 0.00)",0.3,0.826,48,0.001,0.001,0.001->0.001,True,0.828,0.903,0.828,29,unknown 0.989 (item_6 0.001)
0.005,0.2,s30_on,36:d(item_3),1,0,49,0,75,0.995,"d(item_3):36(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.005,0.2,s00_on,21:d(item_3),1,0,66,0,82,0.995,"d(item_3):21(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.007,0.05,s40_on,22:d(item_3) 127:coffee 221:unknown,3,0,178,74,159,0.993,"d(item_3):22(pre-grasp,grasp 60) coffee:127(no-grasp,grasp None) d(item_6):never(max 0.00)",0.191,0.947,57,0.001,0.001,0.001->0.001,True,0.947,0.934,0.947,32,unknown 0.993 (item_6 0.001)
0.007,0.05,s30_on,24:d(item_3),1,0,49,0,86,0.995,"d(item_3):24(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.007,0.05,s00_on,13:d(item_3),1,0,66,0,90,0.995,"d(item_3):13(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.007,0.07,s40_on,23:d(item_3) 127:coffee 219:unknown,3,0,177,73,160,0.993,"d(item_3):23(pre-grasp,grasp 60) coffee:127(no-grasp,grasp None) d(item_6):never(max 0.00)",0.219,0.929,57,0.001,0.001,0.001->0.001,True,0.929,0.95,0.929,30,unknown 0.993 (item_6 0.001)
0.007,0.07,s30_on,25:d(item_3),1,0,49,0,85,0.995,"d(item_3):25(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.007,0.07,s00_on,13:d(item_3),1,0,66,0,90,0.995,"d(item_3):13(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.007,0.1,s40_on,24:d(item_3) 128:coffee 218:unknown,3,0,171,67,159,0.993,"d(item_3):24(pre-grasp,grasp 60) coffee:128(no-grasp,grasp None) d(item_6):never(max 0.00)",0.255,0.904,56,0.001,0.001,0.001->0.001,True,0.904,0.963,0.904,29,unknown 0.993 (item_6 0.001)
0.007,0.1,s30_on,26:d(item_3),1,0,49,0,84,0.995,"d(item_3):26(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.007,0.1,s00_on,14:d(item_3),1,0,66,0,89,0.995,"d(item_3):14(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.007,0.14,s40_on,25:d(item_3) 129:coffee 217:unknown,3,0,168,64,158,0.993,"d(item_3):25(pre-grasp,grasp 60) coffee:129(no-grasp,grasp None) d(item_6):never(max 0.00)",0.294,0.872,55,0.001,0.001,0.001->0.001,True,0.872,0.972,0.872,28,unknown 0.993 (item_6 0.001)
0.007,0.14,s30_on,27:d(item_3),1,0,49,0,83,0.995,"d(item_3):27(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.007,0.14,s00_on,15:d(item_3),1,0,66,0,88,0.995,"d(item_3):15(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.007,0.2,s40_on,28:d(item_3) 131:coffee 216:unknown,3,0,163,59,154,0.993,"d(item_3):28(pre-grasp,grasp 60) coffee:131(no-grasp,grasp None) d(item_6):never(max 0.00)",0.342,0.828,53,0.001,0.001,0.001->0.001,True,0.828,0.978,0.828,26,unknown 0.993 (item_6 0.001)
0.007,0.2,s30_on,30:d(item_3),1,0,49,0,80,0.995,"d(item_3):30(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.007,0.2,s00_on,17:d(item_3),1,0,66,0,86,0.995,"d(item_3):17(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.01,0.05,s40_on,17:d(item_3) 124:coffee 215:unknown,3,0,176,72,173,0.993,"d(item_3):17(pre-grasp,grasp 60) coffee:124(no-grasp,grasp None) d(item_6):never(max 0.00)",0.242,0.947,60,0.001,0.001,0.001->0.001,True,0.947,0.99,0.947,28,unknown 0.993 (item_6 0.001)
0.01,0.05,s30_on,19:d(item_3),1,0,49,0,92,0.995,"d(item_3):19(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.01,0.05,s00_on,10:d(item_3),1,0,66,0,93,0.995,"d(item_3):10(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.01,0.07,s40_on,18:d(item_3) 125:coffee 215:unknown,3,0,170,66,171,0.993,"d(item_3):18(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.268,0.929,59,0.001,0.001,0.001->0.001,True,0.929,0.991,0.929,27,unknown 0.993 (item_6 0.001)
0.01,0.07,s30_on,20:d(item_3),1,0,49,0,91,0.995,"d(item_3):20(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.01,0.07,s00_on,10:d(item_3),1,0,66,0,93,0.995,"d(item_3):10(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.01,0.1,s40_on,19:d(item_3) 125:coffee 214:unknown,3,0,167,63,171,0.993,"d(item_3):19(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.301,0.904,59,0.001,0.001,0.001->0.001,False,0.904,0.992,0.904,26,unknown 0.993 (item_6 0.001)
0.01,0.1,s30_on,21:d(item_3),1,0,49,0,90,0.995,"d(item_3):21(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.01,0.1,s00_on,11:d(item_3),1,0,66,0,92,0.995,"d(item_3):11(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.01,0.14,s40_on,20:d(item_3) 126:coffee 213:unknown,3,0,164,60,170,0.993,"d(item_3):20(pre-grasp,grasp 60) coffee:126(no-grasp,grasp None) d(item_6):never(max 0.00)",0.338,0.872,58,0.001,0.001,0.001->0.001,True,0.872,0.993,0.872,25,unknown 0.993 (item_6 0.001)
0.01,0.14,s30_on,22:d(item_3),1,0,49,0,89,0.995,"d(item_3):22(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.01,0.14,s00_on,12:d(item_3),1,0,66,0,91,0.995,"d(item_3):12(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.01,0.2,s40_on,22:d(item_3) 127:coffee 212:unknown,3,0,160,56,168,0.993,"d(item_3):22(pre-grasp,grasp 60) coffee:127(no-grasp,grasp None) d(item_6):never(max 0.00)",0.384,0.828,57,0.001,0.001,0.001->0.001,True,0.828,0.993,0.828,19,unknown 0.993 (item_6 0.001)
0.01,0.2,s30_on,24:d(item_3),1,0,49,0,86,0.995,"d(item_3):24(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.01,0.2,s00_on,13:d(item_3),1,0,66,0,90,0.995,"d(item_3):13(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.014,0.05,s40_on,13:d(item_3) 123:coffee 212:unknown,3,0,167,63,181,0.993,"d(item_3):13(pre-grasp,grasp 60) coffee:123(no-grasp,grasp None) d(item_6):never(max 0.00)",0.287,0.947,61,0.001,0.001,0.001->0.001,True,0.947,0.993,0.947,25,unknown 0.993 (item_6 0.001)
