condition,step,hypothesis,human_action,human_micro
s00_off,31,d(item_7),move_to,step
s00_off,78,d(item_3),place,release
s00_off,93,d(item_6),move_to,step
s00_off,142,d(item_2),place,release
s00_off,166,d(item_4),,
s00_on,78,d(item_3),place,release
s00_on,142,d(item_2),place,release
s20_off,52,d(item_4),move_to,step
s20_off,54,d(item_3),place,release
s20_off,122,d(item_2),place,release
s20_off,136,d(item_6),,
s20_on,54,d(item_3),place,release
s20_on,122,d(item_2),place,release
s30_off,74,d(item_3),place,release
s30_off,86,d(item_2),move_to,step
s30_off,121,d(item_7),place,release
s30_off,161,d(item_4),,
s30_on,74,d(item_3),place,release
s30_on,121,d(item_7),place,release
s40_off,115,d(item_3),place,release
s40_off,145,d(item_4),move_to,step
s40_off,184,coffee,wait_at,stand
s40_off,243,d(item_7),move_to,step
s40_off,331,d(item_6),place,release
s40_off,376,d(item_5),,
s40_on,115,d(item_3),place,release
s40_on,184,coffee,wait_at,stand
s40_on,331,d(item_6),place,release
empty_only/s00_off,31,d(item_7),move_to,step
empty_only/s00_off,78,d(item_3),place,release
empty_only/s00_off,93,d(item_6),move_to,step
empty_only/s00_off,142,d(item_2),place,release
empty_only/s00_off,166,d(item_4),,
empty_only/s00_on,78,d(item_3),place,release
empty_only/s00_on,142,d(item_2),place,release
empty_only/s20_off,52,d(item_4),move_to,step
empty_only/s20_off,54,d(item_3),place,release
empty_only/s20_off,122,d(item_2),place,release
empty_only/s20_off,136,d(item_6),,
empty_only/s20_on,54,d(item_3),place,release
empty_only/s20_on,122,d(item_2),place,release
empty_only/s30_off,74,d(item_3),place,release
empty_only/s30_off,86,d(item_2),move_to,step
empty_only/s30_off,121,d(item_7),place,release
empty_only/s30_off,156,d(item_4),,
empty_only/s30_on,74,d(item_3),place,release
empty_only/s30_on,121,d(item_7),place,release
empty_only/s40_off,115,d(item_3),place,release
empty_only/s40_off,145,d(item_4),move_to,step
empty_only/s40_off,184,coffee,wait_at,stand
empty_only/s40_off,243,d(item_7),move_to,step
empty_only/s40_off,331,d(item_6),place,release
empty_only/s40_off,376,d(item_5),,
empty_only/s40_on,115,d(item_3),place,release
empty_only/s40_on,184,coffee,wait_at,stand
empty_only/s40_on,331,d(item_6),place,release
episode_only/s00_off,31,d(item_7),move_to,step
episode_only/s00_off,78,d(item_3),place,release
episode_only/s00_off,93,d(item_6),move_to,step
episode_only/s00_off,142,d(item_2),place,release
episode_only/s00_off,166,d(item_4),,
episode_only/s00_on,78,d(item_3),place,release
episode_only/s00_on,142,d(item_2),place,release
episode_only/s20_off,52,d(item_4),move_to,step
episode_only/s20_off,54,d(item_3),place,release
episode_only/s20_off,122,d(item_2),place,release
episode_only/s20_off,136,d(item_6),,
episode_only/s20_on,54,d(item_3),place,release
episode_only/s20_on,122,d(item_2),place,release
episode_only/s30_off,74,d(item_3),place,release
episode_only/s30_off,86,d(item_2),move_to,step
episode_only/s30_off,121,d(item_7),place,release
episode_only/s30_off,161,d(item_4),,
episode_only/s30_on,74,d(item_3),place,release
episode_only/s30_on,121,d(item_7),place,release
episode_only/s40_off,115,d(item_3),place,release
episode_only/s40_off,145,d(item_4),move_to,step
episode_only/s40_off,184,coffee,wait_at,stand
episode_only/s40_off,243,d(item_7),move_to,step
episode_only/s40_off,331,d(item_6),place,release
episode_only/s40_off,376,d(item_5),,
episode_only/s40_on,115,d(item_3),place,release
episode_only/s40_on,184,coffee,wait_at,stand
episode_only/s40_on,331,d(item_6),place,release
neither/s00_off,31,d(item_7),move_to,step
neither/s00_off,78,d(item_3),place,release
neither/s00_off,93,d(item_6),move_to,step
neither/s00_off,142,d(item_2),place,release
neither/s00_off,166,d(item_4),,
neither/s00_on,78,d(item_3),place,release
neither/s00_on,142,d(item_2),place,release
neither/s20_off,52,d(item_4),move_to,step
neither/s20_off,54,d(item_3),place,release
neither/s20_off,122,d(item_2),place,release
neither/s20_off,136,d(item_6),,
neither/s20_on,54,d(item_3),place,release
neither/s20_on,122,d(item_2),place,release
neither/s30_off,74,d(item_3),place,release
neither/s30_off,86,d(item_2),move_to,step
neither/s30_off,121,d(item_7),place,release
neither/s30_off,156,d(item_4),,
neither/s30_on,74,d(item_3),place,release
neither/s30_on,121,d(item_7),place,release
neither/s40_off,115,d(item_3),place,release
neither/s40_off,145,d(item_4),move_to,step
neither/s40_off,184,coffee,wait_at,stand
neither/s40_off,243,d(item_7),move_to,step
neither/s40_off,331,d(item_6),place,release
neither/s40_off,376,d(item_5),,
neither/s40_on,115,d(item_3),place,release
neither/s40_on,184,coffee,wait_at,stand
neither/s40_on,331,d(item_6),place,release
