ticks: base 200 new 200  eps=0.0005
t=0 base: most_likely=d(item_3) conf=0.206 dist=d(item_3)=0.206 d(item_6)=0.206 d(item_4)=0.205 d(item_7)=0.185 d(item_2)=0.178 unknown=0.021
t=0 new: most_likely=d(item_3) conf=0.206 dist=d(item_3)=0.206 d(item_6)=0.206 d(item_4)=0.205 d(item_7)=0.185 d(item_2)=0.178 unknown=0.021

== most_likely differences ==
  t= 54 base=unknown(0.995) new=d(item_2)(0.249)  human: deliver_item/place/release
  t= 55 base=unknown(0.995) new=d(item_2)(0.249)  human: deliver_item/place/None
  t= 56 base=unknown(0.995) new=d(item_2)(0.249)  human: None/None/None
  t= 57 base=unknown(0.995) new=d(item_2)(0.331)  human: deliver_item/move_to/step
  t= 58 base=unknown(0.995) new=d(item_2)(0.340)  human: deliver_item/move_to/step
  t= 59 base=unknown(0.995) new=d(item_2)(0.350)  human: deliver_item/move_to/step
  t= 60 base=unknown(0.995) new=d(item_2)(0.360)  human: deliver_item/move_to/step
  t= 61 base=unknown(0.995) new=d(item_2)(0.370)  human: deliver_item/move_to/step
  t= 62 base=unknown(0.995) new=d(item_2)(0.381)  human: deliver_item/move_to/step
  t= 63 base=unknown(0.995) new=d(item_2)(0.392)  human: deliver_item/move_to/step
  t= 64 base=unknown(0.995) new=d(item_2)(0.402)  human: deliver_item/move_to/step
  t= 65 base=unknown(0.995) new=d(item_2)(0.412)  human: deliver_item/move_to/step
  t= 66 base=unknown(0.995) new=d(item_2)(0.422)  human: deliver_item/move_to/step
  t= 67 base=unknown(0.995) new=d(item_2)(0.431)  human: deliver_item/move_to/step
  t= 68 base=unknown(0.995) new=d(item_2)(0.439)  human: deliver_item/move_to/step
  t= 69 base=unknown(0.995) new=d(item_2)(0.446)  human: deliver_item/move_to/step
  t= 70 base=unknown(0.995) new=d(item_2)(0.452)  human: deliver_item/move_to/step
  t= 71 base=unknown(0.995) new=d(item_2)(0.458)  human: deliver_item/move_to/step
  t= 72 base=unknown(0.995) new=d(item_2)(0.463)  human: deliver_item/move_to/step
  t= 73 base=unknown(0.995) new=d(item_2)(0.467)  human: deliver_item/move_to/step
  t= 74 base=unknown(0.995) new=d(item_2)(0.471)  human: deliver_item/move_to/step
  t= 75 base=unknown(0.995) new=d(item_2)(0.474)  human: deliver_item/move_to/step
  t= 76 base=unknown(0.995) new=d(item_2)(0.476)  human: deliver_item/move_to/step
  t= 77 base=unknown(0.995) new=d(item_2)(0.479)  human: deliver_item/move_to/step
  t= 78 base=unknown(0.995) new=d(item_2)(0.481)  human: deliver_item/move_to/step
  t= 79 base=unknown(0.995) new=d(item_2)(0.483)  human: deliver_item/move_to/step
  t= 80 base=unknown(0.995) new=d(item_2)(0.485)  human: deliver_item/move_to/step
  t= 81 base=unknown(0.995) new=d(item_2)(0.487)  human: deliver_item/move_to/step
  t= 82 base=unknown(0.995) new=d(item_2)(0.489)  human: deliver_item/move_to/step
  t= 83 base=unknown(0.995) new=d(item_2)(0.490)  human: deliver_item/move_to/step
  t= 84 base=unknown(0.995) new=d(item_2)(0.492)  human: deliver_item/move_to/step
  t= 85 base=unknown(0.995) new=d(item_2)(0.495)  human: deliver_item/move_to/step
  t= 86 base=unknown(0.995) new=d(item_2)(0.497)  human: deliver_item/move_to/step
  t= 87 base=unknown(0.995) new=d(item_2)(0.499)  human: deliver_item/move_to/step
  t= 88 base=unknown(0.995) new=d(item_2)(0.499)  human: deliver_item/move_to/None
  t= 89 base=unknown(0.995) new=d(item_2)(0.499)  human: deliver_item/pick_up/grasp
  t= 90 base=unknown(0.995) new=d(item_2)(0.499)  human: deliver_item/pick_up/None
  t= 91 base=unknown(0.995) new=d(item_2)(0.499)  human: deliver_item/move_to/step
  t= 92 base=unknown(0.995) new=d(item_2)(0.548)  human: deliver_item/move_to/step
  t= 93 base=unknown(0.995) new=d(item_2)(0.602)  human: deliver_item/move_to/step
  t= 94 base=unknown(0.995) new=d(item_2)(0.658)  human: deliver_item/move_to/step
  t= 95 base=unknown(0.995) new=d(item_2)(0.712)  human: deliver_item/move_to/step
  t= 96 base=unknown(0.995) new=d(item_2)(0.759)  human: deliver_item/move_to/step
  t= 97 base=unknown(0.995) new=d(item_2)(0.798)  human: deliver_item/move_to/step
  t= 98 base=unknown(0.995) new=d(item_2)(0.829)  human: deliver_item/move_to/step
  t= 99 base=unknown(0.995) new=d(item_2)(0.852)  human: deliver_item/move_to/step
  t=100 base=unknown(0.995) new=d(item_2)(0.869)  human: deliver_item/move_to/step
  t=101 base=unknown(0.995) new=d(item_2)(0.881)  human: deliver_item/move_to/step
  t=102 base=unknown(0.995) new=d(item_2)(0.889)  human: deliver_item/move_to/step
  t=103 base=unknown(0.995) new=d(item_2)(0.894)  human: deliver_item/move_to/step
  t=104 base=unknown(0.995) new=d(item_2)(0.898)  human: deliver_item/move_to/step
  t=105 base=unknown(0.995) new=d(item_2)(0.901)  human: deliver_item/move_to/step
  t=106 base=unknown(0.995) new=d(item_2)(0.903)  human: deliver_item/move_to/step
  t=107 base=unknown(0.995) new=d(item_2)(0.904)  human: deliver_item/move_to/step
  t=108 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=109 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=110 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=111 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=112 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=113 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=114 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=115 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=116 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=117 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=118 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=119 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=120 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/step
  t=121 base=unknown(0.995) new=d(item_2)(0.905)  human: deliver_item/move_to/None
  t=122 base=unknown(0.995) new=d(item_6)(0.332)  human: deliver_item/place/release
  t=123 base=unknown(0.995) new=d(item_6)(0.332)  human: deliver_item/place/None
  t=124 base=unknown(0.995) new=d(item_6)(0.332)  human: None/None/None
