ticks: base 200 new 200  eps=0.0005
t=0 base: most_likely=d(item_3) conf=0.206 dist=d(item_3)=0.206 d(item_6)=0.206 d(item_4)=0.205 d(item_7)=0.185 d(item_2)=0.178 unknown=0.021
t=0 new: most_likely=d(item_3) conf=0.206 dist=d(item_3)=0.206 d(item_6)=0.206 d(item_4)=0.205 d(item_7)=0.185 d(item_2)=0.178 unknown=0.021

== most_likely differences ==
  t= 54 base=d(item_2)(0.249) new=unknown(0.995)  human: deliver_item/place/release
  t= 55 base=d(item_2)(0.249) new=unknown(0.995)  human: deliver_item/place/None
  t= 56 base=d(item_2)(0.249) new=unknown(0.995)  human: None/None/None
  t= 57 base=d(item_2)(0.331) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 58 base=d(item_2)(0.340) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 59 base=d(item_2)(0.350) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 60 base=d(item_2)(0.360) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 61 base=d(item_2)(0.370) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 62 base=d(item_2)(0.381) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 63 base=d(item_2)(0.392) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 64 base=d(item_2)(0.402) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 65 base=d(item_2)(0.412) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 66 base=d(item_2)(0.422) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 67 base=d(item_2)(0.431) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 68 base=d(item_2)(0.439) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 69 base=d(item_2)(0.446) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 70 base=d(item_2)(0.452) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 71 base=d(item_2)(0.458) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 72 base=d(item_2)(0.463) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 73 base=d(item_2)(0.467) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 74 base=d(item_2)(0.471) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 75 base=d(item_2)(0.474) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 76 base=d(item_2)(0.476) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 77 base=d(item_2)(0.479) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 78 base=d(item_2)(0.481) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 79 base=d(item_2)(0.483) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 80 base=d(item_2)(0.485) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 81 base=d(item_2)(0.487) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 82 base=d(item_2)(0.489) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 83 base=d(item_2)(0.490) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 84 base=d(item_2)(0.492) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 85 base=d(item_2)(0.495) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 86 base=d(item_2)(0.497) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 87 base=d(item_2)(0.499) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 88 base=d(item_2)(0.499) new=unknown(0.995)  human: deliver_item/move_to/None
  t= 89 base=d(item_2)(0.499) new=unknown(0.995)  human: deliver_item/pick_up/grasp
  t= 90 base=d(item_2)(0.499) new=unknown(0.995)  human: deliver_item/pick_up/None
  t= 91 base=d(item_2)(0.499) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 92 base=d(item_2)(0.548) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 93 base=d(item_2)(0.602) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 94 base=d(item_2)(0.658) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 95 base=d(item_2)(0.712) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 96 base=d(item_2)(0.759) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 97 base=d(item_2)(0.798) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 98 base=d(item_2)(0.829) new=unknown(0.995)  human: deliver_item/move_to/step
  t= 99 base=d(item_2)(0.852) new=unknown(0.995)  human: deliver_item/move_to/step
  t=100 base=d(item_2)(0.869) new=unknown(0.995)  human: deliver_item/move_to/step
  t=101 base=d(item_2)(0.881) new=unknown(0.995)  human: deliver_item/move_to/step
  t=102 base=d(item_2)(0.889) new=unknown(0.995)  human: deliver_item/move_to/step
  t=103 base=d(item_2)(0.894) new=unknown(0.995)  human: deliver_item/move_to/step
  t=104 base=d(item_2)(0.898) new=unknown(0.995)  human: deliver_item/move_to/step
  t=105 base=d(item_2)(0.901) new=unknown(0.995)  human: deliver_item/move_to/step
  t=106 base=d(item_2)(0.903) new=unknown(0.995)  human: deliver_item/move_to/step
  t=107 base=d(item_2)(0.904) new=unknown(0.995)  human: deliver_item/move_to/step
  t=108 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=109 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=110 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=111 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=112 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=113 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=114 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=115 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=116 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=117 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=118 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=119 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=120 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/step
  t=121 base=d(item_2)(0.905) new=unknown(0.995)  human: deliver_item/move_to/None
  t=122 base=d(item_6)(0.332) new=unknown(0.995)  human: deliver_item/place/release
  t=123 base=d(item_6)(0.332) new=unknown(0.995)  human: deliver_item/place/None
  t=124 base=d(item_6)(0.332) new=unknown(0.995)  human: None/None/None
