condition,boundary,hypothesis,advances_in_ended_episode,base_tick_before,base_at_boundary,all_live_bases_equal
s00_off,78,d(item_2),3,1.100e-05,0.250000,True
s00_off,78,d(item_4),3,2.690e-04,0.250000,True
s00_off,78,d(item_6),3,1.933e-01,0.250000,True
s00_off,142,d(item_4),3,4.710e-01,0.500000,True
s00_on,78,d(item_2),3,1.100e-05,0.500000,True
s20_off,54,d(item_2),3,1.227e-03,0.250000,True
s20_off,54,d(item_6),3,8.567e-01,0.250000,True
s20_off,54,d(item_7),3,5.576e-03,0.250000,True
s20_off,122,d(item_6),3,1.353e-03,0.333333,True
s20_off,122,d(item_7),3,8.147e-01,0.333333,True
s20_on,54,d(item_2),3,1.227e-03,0.500000,True
s30_off,74,d(item_2),3,1.128e-03,0.200000,True
s30_off,74,d(item_4),3,8.290e-03,0.200000,True
s30_off,74,d(item_6),3,1.200e-04,0.200000,True
s30_off,74,d(item_7),3,5.394e-03,0.200000,True
s30_off,121,d(item_4),3,1.099e-02,0.333333,True
s30_off,121,d(item_6),3,2.693e-03,0.333333,True
s30_on,74,d(item_7),3,5.394e-03,0.500000,True
s40_off,115,ac,0,9.091e-01,0.142857,True
s40_off,115,coffee,0,9.091e-01,0.142857,True
s40_off,115,d(item_4),3,0.000e+00,0.142857,True
s40_off,115,d(item_5),3,0.000e+00,0.142857,True
s40_off,115,d(item_6),3,0.000e+00,0.142857,True
s40_off,115,d(item_7),3,0.000e+00,0.142857,True
s40_off,184,ac,0,8.756e-01,0.200000,True
s40_off,184,d(item_5),0,8.756e-01,0.200000,True
s40_off,184,d(item_6),0,8.756e-01,0.200000,True
s40_off,184,d(item_7),0,8.756e-01,0.200000,True
s40_off,331,ac,0,9.164e+00,0.333333,True
s40_off,331,d(item_5),3,9.064e-03,0.333333,True
s40_on,115,ac,0,9.091e-01,0.250000,True
s40_on,115,coffee,0,9.091e-01,0.250000,True
s40_on,115,d(item_6),3,0.000e+00,0.250000,True
s40_on,184,ac,0,9.024e-01,0.333333,True
s40_on,184,d(item_6),0,9.024e-01,0.333333,True
s40_on,331,ac,0,9.164e+00,0.500000,True
empty_only/s00_off,78,d(item_2),3,1.100e-05,0.000000,False
empty_only/s00_off,78,d(item_4),3,2.690e-04,0.000000,False
empty_only/s00_off,78,d(item_6),3,1.933e-01,0.000001,False
empty_only/s00_off,142,d(item_4),3,0.000e+00,0.000000,True
empty_only/s00_on,78,d(item_2),3,1.100e-05,0.000000,True
empty_only/s20_off,54,d(item_2),3,1.227e-03,0.000000,False
empty_only/s20_off,54,d(item_6),3,8.567e-01,0.000027,False
empty_only/s20_off,54,d(item_7),3,5.576e-03,0.000000,False
empty_only/s20_off,122,d(item_6),3,0.000e+00,0.000000,True
empty_only/s20_off,122,d(item_7),3,2.000e-06,0.000000,True
empty_only/s20_on,54,d(item_2),3,1.227e-03,0.000000,True
empty_only/s30_off,74,d(item_2),3,1.128e-03,0.000000,True
empty_only/s30_off,74,d(item_4),3,8.290e-03,0.000000,True
empty_only/s30_off,74,d(item_6),3,1.200e-04,0.000000,True
empty_only/s30_off,74,d(item_7),3,5.394e-03,0.000000,True
empty_only/s30_off,121,d(item_4),3,0.000e+00,0.000000,True
empty_only/s30_off,121,d(item_6),3,0.000e+00,0.000000,True
empty_only/s30_on,74,d(item_7),3,5.394e-03,0.000000,True
empty_only/s40_off,115,ac,0,9.091e-01,10.000000,False
empty_only/s40_off,115,coffee,0,9.091e-01,10.000000,False
empty_only/s40_off,115,d(item_4),3,0.000e+00,0.000000,False
empty_only/s40_off,115,d(item_5),3,0.000e+00,0.000000,False
empty_only/s40_off,115,d(item_6),3,0.000e+00,0.000000,False
empty_only/s40_off,115,d(item_7),3,0.000e+00,0.000000,False
empty_only/s40_off,184,ac,0,9.091e-01,9.998636,False
empty_only/s40_off,184,d(item_5),0,0.000e+00,0.000000,False
empty_only/s40_off,184,d(item_6),0,0.000e+00,0.000000,False
empty_only/s40_off,184,d(item_7),0,0.000e+00,0.000000,False
empty_only/s40_off,331,ac,0,1.000e+01,10.000000,False
empty_only/s40_off,331,d(item_5),3,0.000e+00,0.000000,False
empty_only/s40_on,115,ac,0,9.091e-01,10.000000,False
empty_only/s40_on,115,coffee,0,9.091e-01,10.000000,False
empty_only/s40_on,115,d(item_6),3,0.000e+00,0.000000,False
empty_only/s40_on,184,ac,0,9.091e-01,9.998636,False
empty_only/s40_on,184,d(item_6),0,0.000e+00,0.000000,False
empty_only/s40_on,331,ac,0,1.000e+01,10.000000,True
episode_only/s00_off,78,d(item_2),3,1.100e-05,0.322581,True
episode_only/s00_off,78,d(item_4),3,2.690e-04,0.322581,True
episode_only/s00_off,78,d(item_6),3,1.933e-01,0.322581,True
episode_only/s00_off,142,d(item_4),3,4.710e-01,0.909091,True
episode_only/s00_on,78,d(item_2),3,1.100e-05,0.909091,True
episode_only/s20_off,54,d(item_2),3,1.227e-03,0.322581,True
episode_only/s20_off,54,d(item_6),3,8.567e-01,0.322581,True
episode_only/s20_off,54,d(item_7),3,5.576e-03,0.322581,True
episode_only/s20_off,122,d(item_6),3,1.353e-03,0.476190,True
episode_only/s20_off,122,d(item_7),3,8.147e-01,0.476190,True
episode_only/s20_on,54,d(item_2),3,1.227e-03,0.909091,True
episode_only/s30_off,74,d(item_2),3,1.128e-03,0.243902,True
episode_only/s30_off,74,d(item_4),3,8.290e-03,0.243902,True
episode_only/s30_off,74,d(item_6),3,1.200e-04,0.243902,True
episode_only/s30_off,74,d(item_7),3,5.394e-03,0.243902,True
episode_only/s30_off,121,d(item_4),3,1.099e-02,0.476190,True
episode_only/s30_off,121,d(item_6),3,2.693e-03,0.476190,True
episode_only/s30_on,74,d(item_7),3,5.394e-03,0.909091,True
episode_only/s40_off,115,ac,0,9.091e-01,0.163934,True
episode_only/s40_off,115,coffee,0,9.091e-01,0.163934,True
episode_only/s40_off,115,d(item_4),3,0.000e+00,0.163934,True
episode_only/s40_off,115,d(item_5),3,0.000e+00,0.163934,True
episode_only/s40_off,115,d(item_6),3,0.000e+00,0.163934,True
episode_only/s40_off,115,d(item_7),3,0.000e+00,0.163934,True
episode_only/s40_off,184,ac,0,8.756e-01,0.243902,True
episode_only/s40_off,184,d(item_5),0,8.756e-01,0.243902,True
episode_only/s40_off,184,d(item_6),0,8.756e-01,0.243902,True
episode_only/s40_off,184,d(item_7),0,8.756e-01,0.243902,True
episode_only/s40_off,331,ac,0,9.164e+00,0.476190,True
episode_only/s40_off,331,d(item_5),3,9.064e-03,0.476190,True
episode_only/s40_on,115,ac,0,9.091e-01,0.322581,True
episode_only/s40_on,115,coffee,0,9.091e-01,0.322581,True
episode_only/s40_on,115,d(item_6),3,0.000e+00,0.322581,True
episode_only/s40_on,184,ac,0,9.024e-01,0.476190,True
episode_only/s40_on,184,d(item_6),0,9.024e-01,0.476190,True
episode_only/s40_on,331,ac,0,9.164e+00,0.909091,True
neither/s00_off,78,d(item_2),3,1.100e-05,0.000000,False
neither/s00_off,78,d(item_4),3,2.690e-04,0.000000,False
neither/s00_off,78,d(item_6),3,1.933e-01,0.000008,False
neither/s00_off,142,d(item_4),3,0.000e+00,0.000000,True
neither/s00_on,78,d(item_2),3,1.100e-05,0.000000,True
neither/s20_off,54,d(item_2),3,1.227e-03,0.000000,False
neither/s20_off,54,d(item_6),3,8.567e-01,0.000269,False
neither/s20_off,54,d(item_7),3,5.576e-03,0.000002,False
neither/s20_off,122,d(item_6),3,0.000e+00,0.000000,True
neither/s20_off,122,d(item_7),3,2.000e-06,0.000000,True
neither/s20_on,54,d(item_2),3,1.227e-03,0.000000,True
neither/s30_off,74,d(item_2),3,1.128e-03,0.000000,False
neither/s30_off,74,d(item_4),3,8.290e-03,0.000001,False
neither/s30_off,74,d(item_6),3,1.200e-04,0.000000,False
neither/s30_off,74,d(item_7),3,5.394e-03,0.000000,False
neither/s30_off,121,d(item_4),3,0.000e+00,0.000000,True
neither/s30_off,121,d(item_6),3,0.000e+00,0.000000,True
neither/s30_on,74,d(item_7),3,5.394e-03,0.000000,True
neither/s40_off,115,ac,0,9.091e-01,10.000000,False
neither/s40_off,115,coffee,0,9.091e-01,10.000000,False
neither/s40_off,115,d(item_4),3,0.000e+00,0.000000,False
neither/s40_off,115,d(item_5),3,0.000e+00,0.000000,False
neither/s40_off,115,d(item_6),3,0.000e+00,0.000000,False
neither/s40_off,115,d(item_7),3,0.000e+00,0.000000,False
neither/s40_off,184,ac,0,9.091e-01,9.998636,False
neither/s40_off,184,d(item_5),0,0.000e+00,0.000000,False
neither/s40_off,184,d(item_6),0,0.000e+00,0.000000,False
neither/s40_off,184,d(item_7),0,0.000e+00,0.000000,False
neither/s40_off,331,ac,0,1.000e+01,10.000000,False
neither/s40_off,331,d(item_5),3,0.000e+00,0.000000,False
neither/s40_on,115,ac,0,9.091e-01,10.000000,False
neither/s40_on,115,coffee,0,9.091e-01,10.000000,False
neither/s40_on,115,d(item_6),3,0.000e+00,0.000000,False
neither/s40_on,184,ac,0,9.091e-01,9.998636,False
neither/s40_on,184,d(item_6),0,0.000e+00,0.000000,False
neither/s40_on,331,ac,0,1.000e+01,10.000000,True
