condition,step,hypothesis,expected_action,excess_cm,base,belief,walked_cm
s00_off,0,d(item_2),move_to(?target=item_2),11.1,0.020022,0.1891,20.0
s00_off,0,d(item_3),move_to(?target=item_3),0.0,0.020022,0.2002,20.0
s00_off,0,d(item_4),move_to(?target=item_4),6.5,0.020022,0.1937,20.0
s00_off,0,d(item_6),move_to(?target=item_6),0.8,0.020022,0.1995,20.0
s00_off,0,d(item_7),move_to(?target=item_7),2.7,0.020022,0.1975,20.0
s00_off,1,d(item_2),move_to(?target=item_2),23.3,0.020489,0.1811,40.0
s00_off,1,d(item_3),move_to(?target=item_3),-0.0,0.020489,0.2049,40.0
s00_off,1,d(item_4),move_to(?target=item_4),13.5,0.020489,0.1911,40.0
s00_off,1,d(item_6),move_to(?target=item_6),1.6,0.020489,0.2033,40.0
s00_off,1,d(item_7),move_to(?target=item_7),5.6,0.020489,0.1991,40.0
s00_off,2,d(item_2),move_to(?target=item_2),36.8,0.021015,0.1719,60.0
s00_off,2,d(item_3),move_to(?target=item_3),0.0,0.021015,0.2102,60.0
s00_off,2,d(item_4),move_to(?target=item_4),20.9,0.021015,0.1882,60.0
s00_off,2,d(item_6),move_to(?target=item_6),2.4,0.021015,0.2076,60.0
s00_off,2,d(item_7),move_to(?target=item_7),8.7,0.021015,0.2011,60.0
s00_off,3,d(item_2),move_to(?target=item_2),51.5,0.021605,0.1616,80.0
s00_off,3,d(item_3),move_to(?target=item_3),-0.0,0.021605,0.2161,80.0
s00_off,3,d(item_4),move_to(?target=item_4),28.9,0.021605,0.185,80.0
s00_off,3,d(item_6),move_to(?target=item_6),3.3,0.021605,0.2125,80.0
s00_off,3,d(item_7),move_to(?target=item_7),11.9,0.021605,0.2033,80.0
s00_off,4,d(item_2),move_to(?target=item_2),67.6,0.022264,0.1501,100.0
s00_off,4,d(item_3),move_to(?target=item_3),0.0,0.022264,0.2226,100.0
s00_off,4,d(item_4),move_to(?target=item_4),37.5,0.022264,0.1814,100.0
s00_off,4,d(item_6),move_to(?target=item_6),4.3,0.022264,0.2179,100.0
s00_off,4,d(item_7),move_to(?target=item_7),15.2,0.022264,0.2057,100.0
s00_off,5,d(item_2),move_to(?target=item_2),85.1,0.022995,0.1376,120.0
s00_off,5,d(item_3),move_to(?target=item_3),0.0,0.022995,0.23,120.0
s00_off,5,d(item_4),move_to(?target=item_4),46.7,0.022995,0.1772,120.0
s00_off,5,d(item_6),move_to(?target=item_6),5.3,0.022995,0.2239,120.0
s00_off,5,d(item_7),move_to(?target=item_7),18.8,0.022995,0.2084,120.0
s00_off,6,d(item_2),move_to(?target=item_2),104.2,0.023798,0.1242,140.0
s00_off,6,d(item_3),move_to(?target=item_3),0.0,0.023798,0.238,140.0
s00_off,6,d(item_4),move_to(?target=item_4),56.6,0.023798,0.1724,140.0
s00_off,6,d(item_6),move_to(?target=item_6),6.3,0.023798,0.2304,140.0
s00_off,6,d(item_7),move_to(?target=item_7),22.6,0.023798,0.2112,140.0
s00_off,7,d(item_2),move_to(?target=item_2),124.7,0.024711,0.1104,160.0
s00_off,7,d(item_3),move_to(?target=item_3),0.0,0.024711,0.2471,160.0
s00_off,7,d(item_4),move_to(?target=item_4),67.2,0.024711,0.167,160.0
s00_off,7,d(item_6),move_to(?target=item_6),7.5,0.024711,0.2379,160.0
s00_off,7,d(item_7),move_to(?target=item_7),27.9,0.024711,0.2129,160.0
s00_off,8,d(item_2),move_to(?target=item_2),146.6,0.025706,0.0964,180.0
s00_off,8,d(item_3),move_to(?target=item_3),-0.0,0.025706,0.2571,180.0
s00_off,8,d(item_4),move_to(?target=item_4),78.6,0.025706,0.1609,180.0
s00_off,8,d(item_6),move_to(?target=item_6),8.7,0.025706,0.2459,180.0
s00_off,8,d(item_7),move_to(?target=item_7),33.8,0.025706,0.214,180.0
s00_off,9,d(item_2),move_to(?target=item_2),170.1,0.026788,0.0827,200.0
s00_off,9,d(item_3),move_to(?target=item_3),0.0,0.026788,0.2679,200.0
s00_off,9,d(item_4),move_to(?target=item_4),90.8,0.026788,0.1539,200.0
s00_off,9,d(item_6),move_to(?target=item_6),9.9,0.026788,0.2546,200.0
s00_off,9,d(item_7),move_to(?target=item_7),40.7,0.026788,0.2141,200.0
s00_off,10,d(item_2),move_to(?target=item_2),194.9,0.027957,0.0697,220.0
s00_off,10,d(item_3),move_to(?target=item_3),0.0,0.027957,0.2796,220.0
s00_off,10,d(item_4),move_to(?target=item_4),103.9,0.027957,0.1461,220.0
s00_off,10,d(item_6),move_to(?target=item_6),11.3,0.027957,0.2638,220.0
s00_off,10,d(item_7),move_to(?target=item_7),48.7,0.027957,0.2128,220.0
s00_off,11,d(item_2),move_to(?target=item_2),221.0,0.029217,0.0577,240.0
s00_off,11,d(item_3),move_to(?target=item_3),0.0,0.029217,0.2922,240.0
s00_off,11,d(item_4),move_to(?target=item_4),118.0,0.029217,0.1374,240.0
s00_off,11,d(item_6),move_to(?target=item_6),12.7,0.029217,0.2736,240.0
s00_off,11,d(item_7),move_to(?target=item_7),57.9,0.029217,0.2098,240.0
s00_off,12,d(item_2),move_to(?target=item_2),248.4,0.030575,0.0471,260.0
s00_off,12,d(item_3),move_to(?target=item_3),0.0,0.030575,0.3057,260.0
s00_off,12,d(item_4),move_to(?target=item_4),133.0,0.030575,0.1279,260.0
s00_off,12,d(item_6),move_to(?target=item_6),14.2,0.030575,0.284,260.0
s00_off,12,d(item_7),move_to(?target=item_7),68.7,0.030575,0.2047,260.0
s00_off,13,d(item_2),move_to(?target=item_2),277.0,0.032041,0.0378,280.0
s00_off,13,d(item_3),move_to(?target=item_3),0.0,0.032041,0.3204,280.0
s00_off,13,d(item_4),move_to(?target=item_4),149.0,0.032041,0.1179,280.0
s00_off,13,d(item_6),move_to(?target=item_6),15.9,0.032041,0.295,280.0
s00_off,13,d(item_7),move_to(?target=item_7),81.3,0.032041,0.1969,280.0
