condition,step,hypothesis,odds_accumulated,odds_recognizer,abs_log_error
s00_off,0,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",9.445302e+00,9.445302e+00,0.00e+00
s00_off,0,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,0,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",9.674827e+00,9.674827e+00,0.00e+00
s00_off,0,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.961438e+00,9.961438e+00,0.00e+00
s00_off,0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",9.862885e+00,9.862885e+00,0.00e+00
s00_off,1,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",8.838804e+00,8.838804e+00,0.00e+00
s00_off,1,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,1,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",9.327540e+00,9.327540e+00,0.00e+00
s00_off,1,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.920910e+00,9.920910e+00,0.00e+00
s00_off,1,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",9.718753e+00,9.718753e+00,0.00e+00
s00_off,2,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",8.182215e+00,8.182215e+00,0.00e+00
s00_off,2,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,2,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",8.957303e+00,8.957303e+00,0.00e+00
s00_off,2,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.878268e+00,9.878268e+00,0.00e+00
s00_off,2,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",9.567163e+00,9.567163e+00,0.00e+00
s00_off,3,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",7.480570e+00,7.480570e+00,4.44e-16
s00_off,3,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,3,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",8.563575e+00,8.563575e+00,0.00e+00
s00_off,3,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.833348e+00,9.833348e+00,4.44e-16
s00_off,3,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",9.407650e+00,9.407650e+00,0.00e+00
s00_off,4,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",6.742930e+00,6.742930e+00,0.00e+00
s00_off,4,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,4,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",8.146220e+00,8.146220e+00,4.44e-16
s00_off,4,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.785968e+00,9.785968e+00,0.00e+00
s00_off,4,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",9.239727e+00,9.239727e+00,0.00e+00
s00_off,5,"deliver_item(?item=item_2,?kitting_table=kitting_table_0)",5.982660e+00,5.982660e+00,2.22e-16
s00_off,5,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)",1.000000e+01,1.000000e+01,0.00e+00
s00_off,5,"deliver_item(?item=item_4,?kitting_table=kitting_table_0)",7.705653e+00,7.705653e+00,0.00e+00
s00_off,5,"deliver_item(?item=item_6,?kitting_table=kitting_table_0)",9.735929e+00,9.735929e+00,0.00e+00
s00_off,5,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",9.062888e+00,9.062888e+00,0.00e+00
