condition,step,trigger,data_class,hypothesis_matches_actual,degenerate,candidate,is_current_task,is_winner,cost,window_steps,min_d,argmin_t,robot_action_at_min,human_action_at_min,s,steps_below,n_intervals,first_step,last_step,intervals,robot_phase_steps,human_phase_steps
s00_off,0,no_current_task,counterfactual,True,False,item_4,False,False,1538,1518,12.21,432,approach_shelf,approach_shelf,10,0,0,,,,,
s00_off,0,no_current_task,counterfactual,True,False,item_4,False,False,1538,1518,12.21,432,approach_shelf,approach_shelf,25,39,2,418.0,1517.0,418-445;1507-1517,approach_shelf:28;carry_to_table:11,approach_shelf:28;carry_to_table:10;placement:1
s00_off,0,no_current_task,counterfactual,True,False,item_4,False,False,1538,1518,12.21,432,approach_shelf,approach_shelf,50,108,2,401.0,1517.0,401-462;1472-1517,approach_shelf:62;carry_to_table:46,approach_shelf:62;carry_to_table:45;placement:1
s00_off,0,no_current_task,counterfactual,True,False,item_4,False,False,1538,1518,12.21,432,approach_shelf,approach_shelf,100,234,2,369.0,1517.0,369-494;1410-1517,approach_shelf:126;carry_to_table:108,approach_shelf:126;carry_to_table:107;placement:1
s00_off,0,no_current_task,counterfactual,True,False,item_6,False,False,908,909,261.07,521,carry_to_table,approach_shelf,10,0,0,,,,,
s00_off,0,no_current_task,counterfactual,True,False,item_6,False,False,908,909,261.07,521,carry_to_table,approach_shelf,25,0,0,,,,,
s00_off,0,no_current_task,counterfactual,True,False,item_6,False,False,908,909,261.07,521,carry_to_table,approach_shelf,50,0,0,,,,,
s00_off,0,no_current_task,counterfactual,True,False,item_6,False,False,908,909,261.07,521,carry_to_table,approach_shelf,100,0,0,,,,,
s00_off,0,no_current_task,counterfactual,True,False,item_7,False,True,586,586,352.21,383,carry_to_table,approach_shelf,10,0,0,,,,,
s00_off,0,no_current_task,counterfactual,True,False,item_7,False,True,586,586,352.21,383,carry_to_table,approach_shelf,25,0,0,,,,,
s00_off,0,no_current_task,counterfactual,True,False,item_7,False,True,586,586,352.21,383,carry_to_table,approach_shelf,50,0,0,,,,,
s00_off,0,no_current_task,counterfactual,True,False,item_7,False,True,586,586,352.21,383,carry_to_table,approach_shelf,100,0,0,,,,,
s00_off,7,task_committed,counterfactual,True,False,item_7,True,True,463,463,355.83,253,carry_to_table,approach_shelf,10,0,0,,,,,
s00_off,7,task_committed,counterfactual,True,False,item_7,True,True,463,463,355.83,253,carry_to_table,approach_shelf,25,0,0,,,,,
s00_off,7,task_committed,counterfactual,True,False,item_7,True,True,463,463,355.83,253,carry_to_table,approach_shelf,50,0,0,,,,,
s00_off,7,task_committed,counterfactual,True,False,item_7,True,True,463,463,355.83,253,carry_to_table,approach_shelf,100,0,0,,,,,
s00_off,7,task_committed,counterfactual,True,False,item_4,False,False,1537,1378,47.17,380,approach_shelf,approach_shelf,10,0,0,,,,,
s00_off,7,task_committed,counterfactual,True,False,item_4,False,False,1537,1378,47.17,380,approach_shelf,approach_shelf,25,0,0,,,,,
s00_off,7,task_committed,counterfactual,True,False,item_4,False,False,1537,1378,47.17,380,approach_shelf,approach_shelf,50,19,1,371.0,389.0,371-389,approach_shelf:19,approach_shelf:19
