t,d_item_4,robot_phase_item_4,d_item_6,robot_phase_item_6,d_item_7,robot_phase_item_7,human_phase
0,185.45845053461207,approach_shelf,185.45845053461207,approach_shelf,185.45845053461207,approach_shelf,carry_to_table
1,184.31747133137299,approach_shelf,185.43485614933297,approach_shelf,184.19047459384194,approach_shelf,carry_to_table
2,183.1884579169336,approach_shelf,185.4311904038384,approach_shelf,182.92553534592378,approach_shelf,carry_to_table
3,182.07163288847914,approach_shelf,185.44745447991843,approach_shelf,181.6636962250943,approach_shelf,carry_to_table
4,180.96722190515717,approach_shelf,185.48364313495242,approach_shelf,180.4050222826858,approach_shelf,carry_to_table
5,179.87545362879283,approach_shelf,185.5397447103543,approach_shelf,179.14958023269787,approach_shelf,carry_to_table
6,178.79655965638128,approach_shelf,185.61574115033622,approach_shelf,177.89743849861873,approach_shelf,carry_to_table
7,177.73077444396665,approach_shelf,185.71160803091948,approach_shelf,176.64866726151732,approach_shelf,carry_to_table
8,176.67833522151682,approach_shelf,185.82731459908481,approach_shelf,175.40333850942855,approach_shelf,carry_to_table
9,175.639481898409,approach_shelf,185.9628238219153,approach_shelf,174.1615260880502,approach_shelf,carry_to_table
10,174.61445695914387,approach_shelf,186.11809244555,approach_shelf,172.92330575277143,approach_shelf,carry_to_table
11,173.60350534891916,approach_shelf,186.29307106373003,approach_shelf,171.6887552220495,approach_shelf,carry_to_table
12,172.60687434870025,approach_shelf,186.48770419568618,approach_shelf,170.45795423214977,approach_shelf,carry_to_table
13,171.62481343944447,approach_shelf,186.70193037308323,approach_shelf,169.2309845932623,approach_shelf,carry_to_table
14,170.65757415515012,approach_shelf,186.93568223570807,approach_shelf,168.00793024700582,approach_shelf,carry_to_table
15,169.7054099244255,approach_shelf,187.18888663555774,approach_shelf,166.78887732532718,approach_shelf,carry_to_table
16,168.76857590029718,approach_shelf,187.46146474896085,approach_shelf,165.5739142108013,approach_shelf,carry_to_table
17,167.84732877800508,approach_shelf,187.75333219633728,approach_shelf,164.3631315983332,approach_shelf,carry_to_table
18,166.94192660056802,approach_shelf,188.06439916918507,approach_shelf,163.1566225582606,approach_shelf,carry_to_table
19,166.05262855193664,approach_shelf,188.39457056385956,approach_shelf,161.95448260084956,approach_shelf,carry_to_table
20,165.1796947375971,approach_shelf,188.74374612169714,approach_shelf,160.756809742174,approach_shelf,carry_to_table
21,164.32338595253077,approach_shelf,189.11182057501944,approach_shelf,159.56370457136126,approach_shelf,carry_to_table
22,163.48396343648926,approach_shelf,189.49868379854558,approach_shelf,158.37527031918296,approach_shelf,carry_to_table
23,162.66168861659654,approach_shelf,189.90422096572806,approach_shelf,157.1916129279624,approach_shelf,carry_to_table
24,161.85682283735275,approach_shelf,190.32831270952587,approach_shelf,156.0128411227644,approach_shelf,carry_to_table
25,161.0696270781741,approach_shelf,190.77083528712188,approach_shelf,154.83906648382367,approach_shelf,carry_to_table
26,160.30036165867597,approach_shelf,191.23166074809214,approach_shelf,153.67040352016224,approach_shelf,carry_to_table
27,159.54928593197408,approach_shelf,191.7106571055368,approach_shelf,152.50696974433492,approach_shelf,carry_to_table
28,159.36005574152384,pick_up,192.20768850968506,approach_shelf,151.3488857482339,approach_shelf,carry_to_table
29,159.13654629952052,carry_to_table,192.72261542349315,approach_shelf,150.1962752798714,approach_shelf,carry_to_table
30,158.86225410532472,carry_to_table,193.2552947997629,approach_shelf,149.04926532104864,approach_shelf,carry_to_table
31,158.58796694821314,carry_to_table,193.80558025931808,approach_shelf,147.907986165806,approach_shelf,carry_to_table
