t,d_item_4,robot_phase_item_4,d_item_6,robot_phase_item_6,d_item_7,robot_phase_item_7,human_phase
0,185.45845053461207,carry_to_table,185.45845053461207,return_held_item,185.45845053461207,return_held_item,carry_to_table
1,185.14580843284878,carry_to_table,184.31747133137299,return_held_item,184.31747133137299,return_held_item,carry_to_table
2,184.8331766055893,carry_to_table,183.1884579169336,return_held_item,183.1884579169336,return_held_item,carry_to_table
3,184.5205551050575,carry_to_table,182.07163288847914,return_held_item,182.07163288847914,return_held_item,carry_to_table
4,184.2079439838303,carry_to_table,180.96722190515717,return_held_item,180.96722190515717,return_held_item,carry_to_table
5,183.89534329484033,carry_to_table,179.87545362879283,return_held_item,179.87545362879283,return_held_item,carry_to_table
6,183.5827530913789,carry_to_table,178.79655965638128,return_held_item,178.79655965638128,return_held_item,carry_to_table
7,183.27017342709914,carry_to_table,177.73077444396665,return_held_item,177.73077444396665,return_held_item,carry_to_table
8,182.95760435601906,carry_to_table,176.67833522151682,return_held_item,176.67833522151682,return_held_item,carry_to_table
9,182.64504593252465,carry_to_table,175.639481898409,return_held_item,175.639481898409,return_held_item,carry_to_table
10,182.3324982113728,carry_to_table,174.61445695914387,return_held_item,174.61445695914387,return_held_item,carry_to_table
11,182.0199612476947,carry_to_table,173.60350534891916,return_held_item,173.60350534891916,return_held_item,carry_to_table
12,181.7074350969991,carry_to_table,172.60687434870025,return_held_item,172.60687434870025,return_held_item,carry_to_table
13,181.39491981517497,carry_to_table,171.62481343944447,return_held_item,171.62481343944447,return_held_item,carry_to_table
14,181.08241545849557,carry_to_table,170.65757415515012,return_held_item,170.65757415515012,return_held_item,carry_to_table
15,180.7699220836211,carry_to_table,169.7054099244255,return_held_item,169.7054099244255,return_held_item,carry_to_table
16,180.45743974760222,carry_to_table,168.76857590029718,return_held_item,168.76857590029718,return_held_item,carry_to_table
17,180.14496850788345,carry_to_table,167.84732877800508,return_held_item,167.84732877800508,return_held_item,carry_to_table
18,179.83250842230663,carry_to_table,166.94192660056802,return_held_item,166.94192660056802,return_held_item,carry_to_table
19,179.52005954911402,carry_to_table,166.05262855193664,return_held_item,166.05262855193664,return_held_item,carry_to_table
20,179.20762194695206,carry_to_table,165.1796947375971,return_held_item,165.1796947375971,return_held_item,carry_to_table
21,178.89519567487483,carry_to_table,164.32338595253077,return_held_item,164.32338595253077,return_held_item,carry_to_table
22,178.58278079234742,carry_to_table,163.48396343648926,return_held_item,163.48396343648926,return_held_item,carry_to_table
23,178.2703773592497,carry_to_table,162.66168861659654,return_held_item,162.66168861659654,return_held_item,carry_to_table
24,177.95798543587966,carry_to_table,161.85682283735275,return_held_item,161.85682283735275,return_held_item,carry_to_table
25,177.64560508295727,carry_to_table,161.0696270781741,return_held_item,161.0696270781741,return_held_item,carry_to_table
26,177.33323636162822,carry_to_table,160.30036165867597,return_held_item,160.30036165867597,return_held_item,carry_to_table
27,177.02087933346724,carry_to_table,159.54928593197408,return_held_item,159.54928593197408,return_held_item,carry_to_table
28,176.70853406048238,carry_to_table,159.36005574152384,return_placement,159.36005574152384,return_placement,carry_to_table
29,176.3962006051183,carry_to_table,159.79219420722234,approach_shelf,158.53988077603952,approach_shelf,carry_to_table
30,176.08387903026056,carry_to_table,160.3697993103832,approach_shelf,157.51280513636956,approach_shelf,carry_to_table
31,175.7715693992391,carry_to_table,160.96754671277102,approach_shelf,156.49250929176313,approach_shelf,carry_to_table
32,175.4592717758324,carry_to_table,161.58521287910372,approach_shelf,155.47912671479338,approach_shelf,carry_to_table
33,175.14698622427142,carry_to_table,162.22257028608573,approach_shelf,154.4727934641391,approach_shelf,carry_to_table
34,174.83471280924343,carry_to_table,162.87938777464868,approach_shelf,153.47364820806186,approach_shelf,carry_to_table
35,174.52245159589614,carry_to_table,163.55543089743708,approach_shelf,152.48183224576914,approach_shelf,carry_to_table
36,174.210202649842,carry_to_table,164.2504622606277,approach_shelf,151.49748952645845,approach_shelf,carry_to_table
37,173.897966037162,carry_to_table,164.9642418592437,approach_shelf,150.5207666658308,approach_shelf,carry_to_table
38,173.5857418244098,carry_to_table,165.69652740519894,approach_shelf,149.5518129598472,approach_shelf,carry_to_table
39,173.27353007861635,carry_to_table,166.4470746473792,approach_shelf,148.59078039549544,approach_shelf,carry_to_table
40,172.9613308672938,carry_to_table,167.21563768314311,approach_shelf,147.63782365831992,approach_shelf,carry_to_table
41,172.64914425843997,carry_to_table,168.00196926069586,approach_shelf,146.6931001364602,approach_shelf,carry_to_table
42,172.33697032054246,carry_to_table,168.80582107186055,approach_shelf,145.75676992093193,approach_shelf,carry_to_table
43,172.0248091225834,carry_to_table,169.62694403484312,approach_shelf,144.8289958018732,approach_shelf,carry_to_table
44,171.7126607340437,carry_to_table,170.46508856665113,approach_shelf,143.90994326047144,approach_shelf,carry_to_table
45,171.40052522490743,carry_to_table,171.32000484489316,approach_shelf,142.99978045627475,approach_shelf,carry_to_table
46,171.08840266566656,carry_to_table,172.19144305874738,approach_shelf,142.09867820958436,approach_shelf,carry_to_table
47,170.77629312732552,carry_to_table,173.0791536489449,approach_shelf,141.20680997861547,approach_shelf,carry_to_table
48,170.46419668140564,carry_to_table,173.982887536671,approach_shelf,140.3243518311066,approach_shelf,carry_to_table
49,170.15211339995017,carry_to_table,174.90239634133764,approach_shelf,139.45148241005248,approach_shelf,carry_to_table
50,169.84004335552868,carry_to_table,175.83743258722922,approach_shelf,138.58838289322702,approach_shelf,carry_to_table
51,169.527986621242,carry_to_table,176.78774989906972,approach_shelf,137.73523694616347,approach_shelf,carry_to_table
52,169.21594327072717,carry_to_table,177.7531031865978,approach_shelf,136.8922306682504,approach_shelf,carry_to_table
53,168.90391337816223,carry_to_table,178.7332488182771,approach_shelf,136.0595525316055,approach_shelf,carry_to_table
54,168.59189701827097,carry_to_table,179.72794478430066,approach_shelf,135.2373933123881,approach_shelf,carry_to_table
55,168.27989426632834,carry_to_table,180.7369508490798,approach_shelf,134.4259460142124,approach_shelf,carry_to_table
56,167.96790519816525,carry_to_table,181.76002869343512,approach_shelf,133.62540578333116,approach_shelf,carry_to_table
57,167.65592989017358,carry_to_table,182.79694204673024,approach_shelf,132.83596981526296,approach_shelf,carry_to_table
58,167.34396841931164,carry_to_table,183.84745680921057,approach_shelf,132.0578372525484,approach_shelf,carry_to_table
59,167.03202086310918,carry_to_table,184.91134116482698,approach_shelf,131.29120907333154,approach_shelf,carry_to_table
60,166.72008729967285,carry_to_table,185.98836568483824,approach_shelf,130.53628797047782,approach_shelf,carry_to_table
61,166.4081678076912,carry_to_table,187.07830342249963,approach_shelf,129.7932782209593,approach_shelf,carry_to_table
62,166.09626246644052,carry_to_table,188.18092999915308,approach_shelf,129.0623855452577,approach_shelf,carry_to_table
63,165.78437135579006,carry_to_table,189.29602368204428,approach_shelf,128.34381695656296,approach_shelf,carry_to_table
64,165.4724945562074,carry_to_table,190.4233654541942,approach_shelf,127.63778059957123,approach_shelf,carry_to_table
65,165.16063214876445,carry_to_table,191.56273907665795,approach_shelf,126.9444855787222,approach_shelf,carry_to_table
66,164.84878421514276,carry_to_table,192.71393114350465,approach_shelf,126.26414177574763,approach_shelf,carry_to_table
67,164.53695083763918,carry_to_table,193.87673112985166,approach_shelf,125.59695965644775,approach_shelf,carry_to_table
68,164.22513209917201,carry_to_table,195.05093143328423,approach_shelf,124.94315006665322,approach_shelf,carry_to_table
69,163.91332808328653,carry_to_table,196.23632740898995,approach_shelf,124.30292401738036,approach_shelf,carry_to_table
70,163.60153887416072,carry_to_table,197.43271739893171,approach_shelf,123.67649245924069,approach_shelf,carry_to_table
