condition,step,trigger,hypothesis_matches_actual,candidate,is_current_task,is_winner,cost,T_r,T_h,min_d,s,hold_first_conflict_t,hold_position_within_s,status,delta,delta_over_cost,unchecked_share_at_delta,n_viol_at_delta_minus_1,n_pushed_past_T_h,n_separated,clears_via_tail,clears_via_tail_only,delta_ext_human_held_at_end,max_delta_searched
s00_off,41,theta_crossed,True,item_6,True,True,1025,1025.5,699.2,136.39,10,,False,cleared,0,0.0,0.31819282354608974,0,0,0,False,False,unresolvable,699
s00_off,41,theta_crossed,True,item_6,True,True,1025,1025.5,699.2,136.39,25,,False,cleared,0,0.0,0.31819282354608974,0,0,0,False,False,unresolvable,699
s00_off,41,theta_crossed,True,item_6,True,True,1025,1025.5,699.2,136.39,50,,False,cleared,0,0.0,0.31819282354608974,0,0,0,False,False,unresolvable,699
s00_off,41,theta_crossed,True,item_6,True,True,1025,1025.5,699.2,136.39,100,447.0,True,cleared,0,0.0,0.31819282354608974,0,0,0,False,False,unresolvable,699
s00_off,41,theta_crossed,True,item_4,False,False,1387,1387.0,699.2,226.31,10,,False,cleared,0,0.0,0.49589960823542806,0,0,0,False,False,unresolvable,699
s00_off,41,theta_crossed,True,item_4,False,False,1387,1387.0,699.2,226.31,25,,False,cleared,0,0.0,0.49589960823542806,0,0,0,False,False,unresolvable,699
s00_off,41,theta_crossed,True,item_4,False,False,1387,1387.0,699.2,226.31,50,,False,cleared,0,0.0,0.49589960823542806,0,0,0,False,False,unresolvable,699
s00_off,41,theta_crossed,True,item_4,False,False,1387,1387.0,699.2,226.31,100,447.0,True,cleared,0,0.0,0.49589960823542806,0,0,0,False,False,unresolvable,699
s00_off,63,task_committed,True,item_6,True,True,582,581.7,279.2,301.67,10,,False,cleared,0,0.0,0.5200333416768177,0,0,0,False,False,unresolvable,279
s00_off,63,task_committed,True,item_6,True,True,582,581.7,279.2,301.67,25,,False,cleared,0,0.0,0.5200333416768177,0,0,0,False,False,unresolvable,279
s00_off,63,task_committed,True,item_6,True,True,582,581.7,279.2,301.67,50,,False,cleared,0,0.0,0.5200333416768177,0,0,0,False,False,unresolvable,279
s00_off,63,task_committed,True,item_6,True,True,582,581.7,279.2,301.67,100,,False,cleared,0,0.0,0.5200333416768177,0,0,0,False,False,unresolvable,279
s00_off,63,task_committed,True,item_4,False,False,1468,1468.3,279.2,326.65,10,,False,cleared,0,0.0,0.8098600632245473,0,0,0,False,False,unresolvable,279
s00_off,63,task_committed,True,item_4,False,False,1468,1468.3,279.2,326.65,25,,False,cleared,0,0.0,0.8098600632245473,0,0,0,False,False,unresolvable,279
s00_off,63,task_committed,True,item_4,False,False,1468,1468.3,279.2,326.65,50,,False,cleared,0,0.0,0.8098600632245473,0,0,0,False,False,unresolvable,279
s00_off,63,task_committed,True,item_4,False,False,1468,1468.3,279.2,326.65,100,,False,cleared,0,0.0,0.8098600632245473,0,0,0,False,False,unresolvable,279
s00_off,111,theta_crossed,True,item_4,True,True,1106,1105.8,588.3,140.68,10,,False,cleared,0,0.0,0.4679955639704633,0,0,0,False,False,unresolvable,588
s00_off,111,theta_crossed,True,item_4,True,True,1106,1105.8,588.3,140.68,25,,False,cleared,0,0.0,0.4679955639704633,0,0,0,False,False,unresolvable,588
s00_off,111,theta_crossed,True,item_4,True,True,1106,1105.8,588.3,140.68,50,,False,cleared,0,0.0,0.4679955639704633,0,0,0,False,False,unresolvable,588
s00_off,111,theta_crossed,True,item_4,True,True,1106,1105.8,588.3,140.68,100,,False,cleared,0,0.0,0.4679955639704633,0,0,0,False,False,unresolvable,588
s00_off,131,task_committed,True,item_4,True,True,689,689.0,208.3,480.02,10,,False,cleared,0,0.0,0.6977252606518862,0,0,0,False,False,unresolvable,208
s00_off,131,task_committed,True,item_4,True,True,689,689.0,208.3,480.02,25,,False,cleared,0,0.0,0.6977252606518862,0,0,0,False,False,unresolvable,208
s00_off,131,task_committed,True,item_4,True,True,689,689.0,208.3,480.02,50,,False,cleared,0,0.0,0.6977252606518862,0,0,0,False,False,unresolvable,208
s00_off,131,task_committed,True,item_4,True,True,689,689.0,208.3,480.02,100,,False,cleared,0,0.0,0.6977252606518862,0,0,0,False,False,unresolvable,208
s00_on,41,theta_crossed,True,item_6,True,True,1025,1025.5,699.2,136.39,10,,False,cleared,0,0.0,0.31819282354608974,0,0,0,False,False,unresolvable,699
s00_on,41,theta_crossed,True,item_6,True,True,1025,1025.5,699.2,136.39,25,,False,cleared,0,0.0,0.31819282354608974,0,0,0,False,False,unresolvable,699
s00_on,41,theta_crossed,True,item_6,True,True,1025,1025.5,699.2,136.39,50,,False,cleared,0,0.0,0.31819282354608974,0,0,0,False,False,unresolvable,699
s00_on,41,theta_crossed,True,item_6,True,True,1025,1025.5,699.2,136.39,100,447.0,True,cleared,0,0.0,0.31819282354608974,0,0,0,False,False,unresolvable,699
