condition,step,trigger,candidate,is_winner,is_current_task,hypothesis_matches_actual,cost,min_d,argmin_t,min_at_window_end
s10_on,142,task_committed,item_5,False,False,False,3198,4.01,317,False
s20_off,24,task_committed,item_4,True,True,True,570,5.85,569,True
s10_on,142,task_committed,item_1,True,True,False,1110,6.96,146,False
s20_on,11,theta_crossed,item_4,True,True,True,812,15.29,812,True
s20_off,22,theta_crossed,item_4,True,True,True,612,16.31,595,True
s10_off,257,theta_crossed,item_5,True,True,True,1308,24.49,1308,True
s10_on,257,theta_crossed,item_5,True,True,True,1308,24.49,1308,True
s20_on,23,task_committed,item_4,True,True,True,570,25.85,569,True
s20_on,11,theta_crossed,item_7,False,False,True,1841,41.29,336,False
s10_off,262,task_committed,item_5,True,True,True,1190,63.49,1189,True
s10_on,262,task_committed,item_5,True,True,True,1190,63.49,1189,True
s10_on,107,theta_crossed,item_1,True,True,False,1820,89.56,159,False
s20_off,22,theta_crossed,item_7,False,False,True,1687,93.66,109,False
s20_on,23,task_committed,item_7,False,False,True,1695,111.9,106,False
s20_off,24,task_committed,item_7,False,False,True,1695,125.63,96,False
s00_off,41,theta_crossed,item_6,True,True,True,1025,136.39,259,False
s00_on,41,theta_crossed,item_6,True,True,True,1025,136.39,259,False
s00_on,95,no_current_task,item_4,True,False,True,1426,139.75,446,False
s00_off,111,theta_crossed,item_4,True,True,True,1106,140.68,131,False
s00_on,81,theta_crossed,item_6,True,True,True,222,154.79,89,False
s20_on,23,task_committed,item_6,False,False,True,1100,159.36,28,False
s20_off,24,task_committed,item_6,False,False,True,1100,159.87,28,False
s20_off,22,theta_crossed,item_6,False,False,True,1078,185.43,2,False
s10_on,107,theta_crossed,item_5,False,False,False,2655,189.08,0,False
s00_on,81,theta_crossed,item_4,False,False,True,1828,203.16,0,False
s00_off,41,theta_crossed,item_4,False,False,True,1387,226.31,282,False
s00_on,41,theta_crossed,item_4,False,False,True,1387,226.31,282,False
s20_on,95,task_committed,item_6,True,True,True,810,279.86,529,True
s20_on,11,theta_crossed,item_6,False,False,True,1189,292.3,215,False
s20_on,82,theta_crossed,item_6,True,True,True,1053,299.26,753,True
s20_off,96,task_committed,item_6,True,True,True,810,299.86,509,True
s00_off,63,task_committed,item_6,True,True,True,582,301.67,279,True
s00_on,63,task_committed,item_6,True,True,True,582,301.67,279,True
s20_off,89,theta_crossed,item_6,True,True,True,933,303.26,629,True
s00_off,63,task_committed,item_4,False,False,True,1468,326.65,0,False
s00_on,63,task_committed,item_4,False,False,True,1468,326.65,0,False
s20_on,82,theta_crossed,item_7,False,False,True,1733,380.52,388,False
s00_off,131,task_committed,item_4,True,True,True,689,480.02,208,True
s00_on,131,task_committed,item_4,True,True,True,689,480.02,208,True
s20_off,89,theta_crossed,item_7,False,False,True,1778,493.61,353,False
s20_on,95,task_committed,item_7,False,False,True,1844,611.12,339,False
s20_off,96,task_committed,item_7,False,False,True,1844,618.83,329,False
s10_on,200,no_current_task,item_5,True,False,False,2448,661.3,1,False
