condition,step,trigger,data_class,hypothesis_matches_actual,A_cheaper,B,A_is_winner,A_is_current,cost_A,cost_B,d_cost,min_d_A,min_d_B,d_min_d,disagree_min_d,below10_A,below10_B,d_below10,disagree_below10,below25_A,below25_B,d_below25,disagree_below25,below50_A,below50_B,d_below50,disagree_below50,below100_A,below100_B,d_below100,disagree_below100,delta10_A,delta10_B,d_delta10,disagree_delta10,delta25_A,delta25_B,d_delta25,disagree_delta25,delta50_A,delta50_B,d_delta50,disagree_delta50,delta100_A,delta100_B,d_delta100,disagree_delta100
s00_off,0,no_current_task,counterfactual,True,item_7,item_6,True,False,586,908,322,352.2,261.1,-91.1,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s00_off,0,no_current_task,counterfactual,True,item_7,item_4,True,False,586,1538,952,352.2,12.2,-340.0,False,0,0,0,False,0,39,39,False,0,108,108,False,0,234,234,False,,,,,,,,,,,,,,,,
s00_off,0,no_current_task,counterfactual,True,item_6,item_4,False,False,908,1538,630,261.1,12.2,-248.9,False,0,0,0,False,0,39,39,False,0,108,108,False,0,234,234,False,,,,,,,,,,,,,,,,
s00_off,7,task_committed,counterfactual,True,item_7,item_6,True,True,463,817,354,355.8,256.5,-99.3,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s00_off,7,task_committed,counterfactual,True,item_7,item_4,True,True,463,1537,1074,355.8,47.2,-308.7,False,0,0,0,False,0,0,0,False,0,19,19,False,0,105,105,False,,,,,,,,,,,,,,,,
s00_off,7,task_committed,counterfactual,True,item_6,item_4,False,False,817,1537,720,256.5,47.2,-209.3,False,0,0,0,False,0,0,0,False,0,19,19,False,0,105,105,False,,,,,,,,,,,,,,,,
s00_off,33,no_current_task,counterfactual,True,item_6,item_4,True,False,1185,1432,247,130.4,352.1,221.7,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s00_off,41,theta_crossed,primary,True,item_6,item_4,True,True,1025,1387,362,136.4,226.3,89.9,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
s00_off,63,task_committed,primary,True,item_6,item_4,True,True,582,1468,886,301.7,326.7,25.0,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
s00_on,7,task_committed,counterfactual,True,item_7,item_6,True,True,463,817,354,355.8,256.5,-99.3,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s00_on,7,task_committed,counterfactual,True,item_7,item_4,True,True,463,1537,1074,355.8,47.2,-308.7,False,0,0,0,False,0,0,0,False,0,19,19,False,0,105,105,False,,,,,,,,,,,,,,,,
s00_on,7,task_committed,counterfactual,True,item_6,item_4,False,False,817,1537,720,256.5,47.2,-209.3,False,0,0,0,False,0,0,0,False,0,19,19,False,0,105,105,False,,,,,,,,,,,,,,,,
s00_on,33,no_current_task,counterfactual,True,item_6,item_4,True,False,1185,1432,247,130.4,352.1,221.7,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s00_on,41,theta_crossed,primary,True,item_6,item_4,True,True,1025,1387,362,136.4,226.3,89.9,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
s00_on,63,task_committed,primary,True,item_6,item_4,True,True,582,1468,886,301.7,326.7,25.0,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
s00_on,81,theta_crossed,primary,True,item_6,item_4,True,True,222,1828,1606,154.8,203.2,48.4,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
s10_off,0,no_current_task,counterfactual,False,item_7,item_5,True,False,1646,1996,350,45.4,303.8,258.4,True,0,0,0,False,0,0,0,False,7,0,-7,True,57,0,-57,True,,,,,,,,,,,,,,,,
s10_off,0,no_current_task,counterfactual,False,item_7,item_1,True,False,1646,2457,811,45.4,126.8,81.4,True,0,0,0,False,0,0,0,False,7,0,-7,True,57,0,-57,True,,,,,,,,,,,,,,,,
s10_off,0,no_current_task,counterfactual,False,item_5,item_1,False,False,1996,2457,461,303.8,126.8,-177.0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_off,34,task_committed,counterfactual,True,item_7,item_5,True,True,971,2029,1058,173.8,1209.7,1036.0,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_off,34,task_committed,counterfactual,True,item_7,item_1,True,True,971,2404,1433,173.8,751.1,577.3,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_off,34,task_committed,counterfactual,True,item_5,item_1,False,False,2029,2404,375,1209.7,751.1,-458.7,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_off,85,no_current_task,counterfactual,False,item_1,item_5,True,False,2260,2414,154,169.3,173.1,3.8,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_off,142,task_committed,counterfactual,False,item_1,item_5,True,True,1110,3198,2088,168.1,168.1,0.0,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_on,0,no_current_task,counterfactual,False,item_7,item_5,True,False,1646,1996,350,561.8,788.6,226.8,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_on,0,no_current_task,counterfactual,False,item_7,item_1,True,False,1646,2457,811,561.8,55.3,-506.5,False,0,0,0,False,0,0,0,False,0,0,0,False,0,89,89,False,,,,,,,,,,,,,,,,
s10_on,0,no_current_task,counterfactual,False,item_5,item_1,False,False,1996,2457,461,788.6,55.3,-733.3,False,0,0,0,False,0,0,0,False,0,0,0,False,0,89,89,False,,,,,,,,,,,,,,,,
s10_on,34,task_committed,counterfactual,True,item_7,item_5,True,True,971,2029,1058,173.8,1209.7,1036.0,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_on,34,task_committed,counterfactual,True,item_7,item_1,True,True,971,2404,1433,173.8,751.1,577.3,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_on,34,task_committed,counterfactual,True,item_5,item_1,False,False,2029,2404,375,1209.7,751.1,-458.7,False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_on,85,no_current_task,counterfactual,False,item_1,item_5,True,False,2260,2414,154,147.1,173.1,26.0,True,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,,,,,,,,,,,,,,,,
s10_on,107,theta_crossed,primary,False,item_1,item_5,True,True,1820,2655,835,89.6,189.1,99.5,True,0,0,0,False,0,0,0,False,0,0,0,False,85,0,-85,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,13.0,0.0,-13.0,True
s10_on,142,task_committed,primary,False,item_1,item_5,True,True,1110,3198,2088,7.0,4.0,-2.9,False,12,30,18,False,42,82,40,False,86,166,80,False,174,451,277,False,4.0,15.0,11.0,False,23.0,31.0,8.0,False,53.0,152.0,99.0,False,114.0,209.0,95.0,False
s20_off,0,no_current_task,counterfactual,False,item_4,item_6,True,False,1032,1372,340,20.0,225.0,205.0,True,0,0,0,False,16,0,-16,True,50,0,-50,True,618,0,-618,True,,,,,,,,,,,,,,,,
