condition,step,old,new,conf_prev,conf_now,both_above_theta,robot_task_at_tick,robot_holding_at_tick,trigger_this_tick,next_fired_trigger_step,human_actual_task
s00_off,16,item_3,item_4,0.214,0.269,False,item_7,item_7,none,33,item_3
s00_off,22,item_4,item_3,0.27,0.303,False,item_7,item_7,none,33,item_3
s00_off,78,item_3,item_7,0.797,0.351,False,item_6,item_6,none,95,item_3
s00_off,81,item_7,item_2,0.351,0.291,False,item_6,item_6,none,95,item_2
s00_off,142,item_2,item_4,0.97,0.366,False,item_4,item_4,none,168,item_2
s00_on,1,unknown,item_3,0.332,0.507,False,item_7,,none,7,item_3
s00_on,16,item_3,item_2,0.507,0.532,False,item_7,item_7,none,33,item_3
s00_on,22,item_2,item_3,0.532,0.672,False,item_7,item_7,none,33,item_3
s00_on,78,item_3,item_2,0.797,0.51,False,item_6,item_6,none,81,item_3
s10_off,1,item_1,item_2,0.154,0.3,False,item_7,,none,34,item_2
s10_off,75,item_2,item_0,0.662,0.46,False,item_7,item_7,none,85,item_2
s10_off,161,item_0,item_6,0.393,0.478,False,item_1,item_1,none,200,item_4
s10_off,209,item_6,item_0,0.485,0.327,False,item_5,,none,257,item_4
s10_off,257,item_0,item_4,0.327,0.769,False,item_5,,theta_crossed,257,item_4
s10_on,1,item_6,item_2,0.249,0.521,False,item_7,,none,34,item_2
s10_on,78,item_2,item_6,0.399,0.73,False,item_7,item_7,none,85,coffee_break
s10_on,257,item_6,item_4,0.738,0.769,False,item_5,,theta_crossed,257,item_4
s20_off,1,item_4,item_3,0.167,0.248,False,item_4,,none,22,item_3
s20_off,54,item_3,item_4,0.797,0.599,False,item_4,,none,55,item_3
s20_off,57,item_4,item_7,0.599,0.264,False,item_6,,none,89,item_2
s20_off,89,item_7,item_2,0.353,0.928,False,item_6,,theta_crossed,89,item_2
s20_off,122,item_2,item_4,0.928,0.432,False,item_6,item_6,none,139,item_2
s20_on,1,unknown,item_3,0.332,0.641,False,item_4,,none,11,item_3
s20_on,57,item_3,item_2,0.641,0.743,False,item_6,,none,82,item_2
s20_on,122,item_2,item_3,0.928,0.5,False,item_6,item_6,none,138,item_2
