condition,step,trigger,candidate,is_winner,cost,T_r,T_h,T_r_minus_T_h,unchecked_steps,share_of_cost,robot_phases_in_tail,min_at_window_end
s00_off,41,theta_crossed,item_6,True,1025,1025.5,699.2,326.3,326.3,0.318,carry_to_table|placement,False
s00_off,41,theta_crossed,item_4,False,1387,1387.0,699.2,687.8,687.8,0.496,carry_to_table|placement,False
s00_off,63,task_committed,item_6,True,582,581.7,279.2,302.5,302.5,0.52,carry_to_table|placement,True
s00_off,63,task_committed,item_4,False,1468,1468.3,279.2,1189.1,1189.1,0.81,approach_shelf|pick_up|carry_to_table|placement,False
s00_off,111,theta_crossed,item_4,True,1106,1105.8,588.3,517.5,517.5,0.468,carry_to_table|placement,False
s00_off,131,task_committed,item_4,True,689,689.0,208.3,480.7,480.7,0.698,carry_to_table|placement,True
s00_on,41,theta_crossed,item_6,True,1025,1025.5,699.2,326.3,326.3,0.318,carry_to_table|placement,False
s00_on,41,theta_crossed,item_4,False,1387,1387.0,699.2,687.8,687.8,0.496,carry_to_table|placement,False
s00_on,63,task_committed,item_6,True,582,581.7,279.2,302.5,302.5,0.52,carry_to_table|placement,True
s00_on,63,task_committed,item_4,False,1468,1468.3,279.2,1189.1,1189.1,0.81,approach_shelf|pick_up|carry_to_table|placement,False
s00_on,81,theta_crossed,item_6,True,222,221.7,1178.9,-957.2,0.0,0.0,,False
s00_on,81,theta_crossed,item_4,False,1828,1828.3,1178.9,649.4,649.4,0.355,carry_to_table|placement,False
s00_on,95,no_current_task,item_4,True,1426,1425.8,898.9,526.9,526.9,0.37,carry_to_table|placement,False
s00_on,131,task_committed,item_4,True,689,689.0,208.3,480.7,480.7,0.698,carry_to_table|placement,True
s10_off,257,theta_crossed,item_5,True,1308,1308.3,1333.5,-25.2,0.0,0.0,,True
s10_off,262,task_committed,item_5,True,1190,1189.9,1253.5,-63.6,0.0,0.0,,True
s10_on,107,theta_crossed,item_1,True,1820,1820.4,1379.6,440.8,440.8,0.242,carry_to_table|placement,False
s10_on,107,theta_crossed,item_5,False,2655,2654.6,1379.6,1275.0,1275.0,0.48,approach_shelf|pick_up|carry_to_table|placement,False
s10_on,142,task_committed,item_1,True,1110,1109.7,1403.8,-294.1,0.0,0.0,,False
s10_on,142,task_committed,item_5,False,3198,3198.0,1403.8,1794.2,1794.2,0.561,approach_shelf|pick_up|carry_to_table|placement,False
s10_on,200,no_current_task,item_5,True,2448,2448.3,1278.0,1170.3,1170.3,0.478,carry_to_table|placement,False
s10_on,257,theta_crossed,item_5,True,1308,1308.3,1333.5,-25.2,0.0,0.0,,True
s10_on,262,task_committed,item_5,True,1190,1189.9,1253.5,-63.6,0.0,0.0,,True
s20_off,22,theta_crossed,item_4,True,612,612.3,595.9,16.5,16.5,0.027,carry_to_table|placement,True
s20_off,22,theta_crossed,item_6,False,1078,1078.3,595.9,482.5,482.5,0.447,carry_to_table|placement,False
s20_off,22,theta_crossed,item_7,False,1687,1686.7,595.9,1090.8,1090.8,0.647,approach_shelf|pick_up|carry_to_table|placement,False
s20_off,24,task_committed,item_4,True,570,569.9,575.9,-5.9,0.0,0.0,,True
s20_off,24,task_committed,item_6,False,1100,1100.3,575.9,524.4,524.4,0.477,carry_to_table|placement,False
s20_off,24,task_committed,item_7,False,1695,1695.4,575.9,1119.6,1119.6,0.66,approach_shelf|pick_up|carry_to_table|placement,False
s20_off,89,theta_crossed,item_6,True,933,933.3,629.7,303.6,303.6,0.325,carry_to_table|placement,True
s20_off,89,theta_crossed,item_7,False,1778,1778.4,629.7,1148.7,1148.7,0.646,approach_shelf|pick_up|carry_to_table|placement,False
s20_off,96,task_committed,item_6,True,810,809.9,509.7,300.2,300.2,0.371,carry_to_table|placement,True
s20_off,96,task_committed,item_7,False,1844,1844.1,509.7,1334.4,1334.4,0.724,approach_shelf|pick_up|carry_to_table|placement,False
s20_on,11,theta_crossed,item_4,True,812,812.3,828.3,-16.0,0.0,0.0,,True
s20_on,11,theta_crossed,item_6,False,1189,1188.7,828.3,360.4,360.4,0.303,carry_to_table|placement,False
s20_on,11,theta_crossed,item_7,False,1841,1841.3,828.3,1013.1,1013.1,0.55,approach_shelf|pick_up|carry_to_table|placement,False
s20_on,23,task_committed,item_4,True,570,569.9,595.9,-25.9,0.0,0.0,,True
s20_on,23,task_committed,item_6,False,1100,1100.3,595.9,504.4,504.4,0.458,carry_to_table|placement,False
s20_on,23,task_committed,item_7,False,1695,1695.4,595.9,1099.6,1099.6,0.649,approach_shelf|pick_up|carry_to_table|placement,False
s20_on,82,theta_crossed,item_6,True,1053,1053.3,754.0,299.3,299.3,0.284,carry_to_table|placement,True
s20_on,82,theta_crossed,item_7,False,1733,1733.2,754.0,979.3,979.3,0.565,approach_shelf|pick_up|carry_to_table|placement,False
s20_on,95,task_committed,item_6,True,810,809.9,529.7,280.2,280.2,0.346,carry_to_table|placement,True
s20_on,95,task_committed,item_7,False,1844,1844.1,529.7,1314.4,1314.4,0.713,approach_shelf|pick_up|carry_to_table|placement,False
