condition,scenario,layout,assignment_prior,step,trigger,confidence,projection_reason,data_class,most_likely,human_actual_task,hypothesis_matches_actual,human_actual_action,robot_holding,robot_current_task,candidate,is_current_task,cost,feasible,winner,is_winner,robot_phases,human_phases,logged_min_dist,T_r,T_h,human_longest_leg,degenerate,window_steps,min_d,argmin_t,robot_action_at_min,human_action_at_min,min_at_window_end,tail_T_r_minus_T_h,tail_steps_unchecked,tail_share_of_cost
s00_off,scenario_00,env_layout0,False,0,no_current_task,0.167,none(below_theta),counterfactual,item_3,item_3,True,move_to,,,item_4,False,1538,True,item_7,False,approach_shelf|pick_up|carry_to_table|placement,approach_shelf|pick_up|carry_to_table|placement,12.213138399871863,1537.952026506654,1517.952026506654,800.1,False,1518.0,12.213138399871863,432.0,approach_shelf,approach_shelf,False,20.0,20.0,0.013004306802357512
s00_off,scenario_00,env_layout0,False,0,no_current_task,0.167,none(below_theta),counterfactual,item_3,item_3,True,move_to,,,item_6,False,908,True,item_7,False,approach_shelf|pick_up|carry_to_table|placement,approach_shelf|pick_up|carry_to_table|placement,261.07406504909306,908.2178554545258,1517.952026506654,800.1,False,909.0,261.07368420813236,521.0,carry_to_table,approach_shelf,False,-609.7341710521282,0.0,0.0
s00_off,scenario_00,env_layout0,False,0,no_current_task,0.167,none(below_theta),counterfactual,item_3,item_3,True,move_to,,,item_7,False,586,True,item_7,True,approach_shelf|pick_up|carry_to_table|placement,approach_shelf|pick_up|carry_to_table|placement,352.21365421633124,585.5024554778197,1517.952026506654,800.1,False,586.0,352.2127699344366,383.0,carry_to_table,approach_shelf,False,-932.4495710288343,0.0,0.0
s00_off,scenario_00,env_layout0,False,7,task_committed,0.212,none(below_theta),counterfactual,item_3,item_3,True,move_to,item_7,item_7,item_7,True,463,True,item_7,True,carry_to_table|placement,approach_shelf|pick_up|carry_to_table|placement,355.8309798073141,462.6684604941023,1377.952026506654,715.9,False,463.0,355.8309798073141,253.0,carry_to_table,approach_shelf,False,-915.2835660125517,0.0,0.0
s00_off,scenario_00,env_layout0,False,7,task_committed,0.212,none(below_theta),counterfactual,item_3,item_3,True,move_to,item_7,item_7,item_4,False,1537,True,item_7,False,return_held_item|return_placement|approach_shelf|pick_up|carry_to_table|placement,approach_shelf|pick_up|carry_to_table|placement,47.170505444381675,1536.9202268686622,1377.952026506654,715.9,False,1378.0,47.169723863611175,380.0,approach_shelf,approach_shelf,False,158.96820036200825,158.96820036200825,0.10343295480331582
s00_off,scenario_00,env_layout0,False,7,task_committed,0.212,none(below_theta),counterfactual,item_3,item_3,True,move_to,item_7,item_7,item_6,False,817,True,item_7,False,return_held_item|return_placement|approach_shelf|pick_up|carry_to_table|placement,approach_shelf|pick_up|carry_to_table|placement,256.49602472848255,816.8831278146043,1377.952026506654,715.9,False,817.0,256.4950570630706,405.0,carry_to_table,approach_shelf,False,-561.0688986920496,0.0,0.0
s00_off,scenario_00,env_layout0,False,33,no_current_task,0.308,none(below_theta),counterfactual,item_3,item_3,True,move_to,,,item_4,False,1432,True,item_6,False,approach_shelf|pick_up|carry_to_table|placement,approach_shelf|pick_up|carry_to_table|placement,352.11518173255934,1431.6666095448954,857.952026506654,715.9,False,858.0,352.11538911030306,422.0,approach_shelf,carry_to_table,False,573.7145830382415,573.7145830382415,0.4007319715451186
s00_off,scenario_00,env_layout0,False,33,no_current_task,0.308,none(below_theta),counterfactual,item_3,item_3,True,move_to,,,item_6,False,1185,True,item_6,True,approach_shelf|pick_up|carry_to_table|placement,approach_shelf|pick_up|carry_to_table|placement,130.42178967458526,1185.4866827313263,857.952026506654,715.9,False,858.0,130.4210534764958,419.0,approach_shelf,carry_to_table,False,327.5346562246723,327.5346562246723,0.27628708191815543
s00_off,scenario_00,env_layout0,False,41,theta_crossed,0.797,built,primary,item_3,item_3,True,pick_up,,item_6,item_6,True,1025,True,item_6,True,approach_shelf|pick_up|carry_to_table|placement,carry_to_table|placement,136.38664117585458,1025.4866827313263,699.1841796441324,698.2,False,700.0,136.38664117585458,259.0,approach_shelf,carry_to_table,False,326.3025030871938,326.3025030871938,0.31819282354608974
s00_off,scenario_00,env_layout0,False,41,theta_crossed,0.797,built,primary,item_3,item_3,True,pick_up,,item_6,item_4,False,1387,True,item_6,False,approach_shelf|pick_up|carry_to_table|placement,carry_to_table|placement,226.3141540583827,1386.9939223746323,699.1841796441324,698.2,False,700.0,226.3141540583827,282.0,approach_shelf,carry_to_table,False,687.8097427304999,687.8097427304999,0.49589960823542806
s00_off,scenario_00,env_layout0,False,63,task_committed,0.797,built,primary,item_3,item_3,True,move_to,item_6,item_6,item_6,True,582,True,item_6,True,carry_to_table|placement,carry_to_table|placement,301.48993209415767,581.67411173829,279.18417964413237,278.2,False,280.0,301.67411173829004,279.0,carry_to_table,placement,True,302.4899320941576,302.4899320941576,0.5200333416768177
s00_off,scenario_00,env_layout0,False,63,task_committed,0.797,built,primary,item_3,item_3,True,move_to,item_6,item_6,item_4,False,1468,True,item_6,False,return_held_item|return_placement|approach_shelf|pick_up|carry_to_table|placement,carry_to_table|placement,326.6510210390338,1468.3089958835808,279.18417964413237,278.2,False,280.0,326.6510210390338,0.0,return_held_item,carry_to_table,False,1189.1248162394484,1189.1248162394484,0.8098600632245473
s00_off,scenario_00,env_layout0,False,95,no_current_task,0.325,none(below_theta),counterfactual,item_2,item_2,True,move_to,,,item_4,False,1426,True,item_4,True,approach_shelf|pick_up|carry_to_table|placement,approach_shelf|pick_up|carry_to_table|placement,139.74822425114243,1425.7694629073076,898.8910886423436,602.1,False,899.0,139.7471048856409,446.0,approach_shelf,carry_to_table,False,526.878374264964,526.878374264964,0.36953966820877093
s00_off,scenario_00,env_layout0,False,111,theta_crossed,0.97,built,primary,item_2,item_2,True,pick_up,,item_4,item_4,True,1106,True,item_4,True,approach_shelf|pick_up|carry_to_table|placement,carry_to_table|placement,140.67882448875602,1105.7694629073076,588.2742594926858,587.3,False,589.0,140.67882448875602,131.0,approach_shelf,carry_to_table,False,517.4952034146218,517.4952034146218,0.4679955639704633
s00_off,scenario_00,env_layout0,False,131,task_committed,0.97,built,primary,item_2,item_2,True,move_to,item_4,item_4,item_4,True,689,True,item_4,True,carry_to_table|placement,carry_to_table|placement,479.7487794216825,689.0230389143684,208.2742594926859,207.3,False,209.0,480.02303891436844,208.0,carry_to_table,placement,True,480.74877942168246,480.74877942168246,0.6977252606518862
s00_on,scenario_00,env_layout0,True,0,no_current_task,0.332,none(below_theta),none,unknown,item_3,False,move_to,,,item_4,False,1538,True,item_7,False,approach_shelf|pick_up|carry_to_table|placement,,,1537.952026506654,,,False,,,,,,,,,
s00_on,scenario_00,env_layout0,True,0,no_current_task,0.332,none(below_theta),none,unknown,item_3,False,move_to,,,item_6,False,908,True,item_7,False,approach_shelf|pick_up|carry_to_table|placement,,,908.2178554545258,,,False,,,,,,,,,
s00_on,scenario_00,env_layout0,True,0,no_current_task,0.332,none(below_theta),none,unknown,item_3,False,move_to,,,item_7,False,586,True,item_7,True,approach_shelf|pick_up|carry_to_table|placement,,,585.5024554778197,,,False,,,,,,,,,
s00_on,scenario_00,env_layout0,True,7,task_committed,0.507,none(below_theta),counterfactual,item_3,item_3,True,move_to,item_7,item_7,item_7,True,463,True,item_7,True,carry_to_table|placement,approach_shelf|pick_up|carry_to_table|placement,355.8309798073141,462.6684604941023,1377.952026506654,715.9,False,463.0,355.8309798073141,253.0,carry_to_table,approach_shelf,False,-915.2835660125517,0.0,0.0
