condition,layout,step,trigger,row_class,admitted,hypothesis,human_actual,hyp_matches_actual,human_finished,degenerate,confidence,T_h,robot_current_task,robot_holding,pool_size,current_in_pool,cost_winner_logged,cost_winner,s,g_winner,g_n_realizable,ex_winner,ex_n_realizable,wh_winner,wh_n_realizable,lit_winner,lit_n_realizable,g_all_unrealizable,ex_all_unrealizable,wh_all_unrealizable,logged_winner_differs_from_pure_cost,g_winner_vs_logged,g_winner_changed,ex_winner_changed,wh_winner_changed,lit_winner_changed,cur_candidate,cur_T_r,cur_g_status,cur_g_delta,cur_ex_delta,cur_ex_status,cur_delta_over_T_r,cur_delta_over_T_h,best_alt,best_alt_realized_cost,best_alt_delta,cur_realized_cost,cur_margin_vs_best_alt,g_keeps_current
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",5.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",2.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",10.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",2.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",20.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",30.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",40.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",50.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",75.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",100.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",150.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",200.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",3.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",300.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",1.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",1.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",1.0,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)",1.0,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",400.0,,0.0,,0.0,,0.0,,0.0,True,True,True,False,False,False,False,False,False,,,,,,,,,,,,,,
s00_off,env_layout0,0,no_current_task,counterfactual,False,"deliver_item(?item=item_3,?kitting_table=kitting_table_0)","deliver_item(?item=item_3,?kitting_table=kitting_table_0)",True,False,False,0.20022243918393354,77.79760132533269,,,3,False,"deliver_item(?item=item_7,?kitting_table=kitting_table_0)","deliver_item(?item=item_7,?kitting_table=kitting_table_0)",600.0,,0.0,,0.0,,0.0,,0.0,True,True,True,False,False,False,False,False,False,,,,,,,,,,,,,,
